t,mining_miners_unspent_supply
2010-08-03,2392409.42
2010-08-04,2396309.37
2010-08-05,2399509.32
2010-08-06,2401059.28
2010-08-07,2400461.51
2010-08-08,2403811.5
2010-08-09,2405415.82
2010-08-10,2406415.49
2010-08-11,2407465.46
2010-08-12,2414515.41
2010-08-13,2416911.09
2010-08-14,2424211.09
2010-08-15,2427561.09
2010-08-16,2426961.73
2010-08-17,2430011.73
2010-08-18,2427463.28
2010-08-19,2430362.09
2010-08-20,2432112.09
2010-08-21,2436162.08
2010-08-22,2437462.04
2010-08-23,2438812.02
2010-08-24,2440412.82
2010-08-25,2446012.02
2010-08-26,2449762.02
2010-08-27,2451512.02
2010-08-28,2453962.0200011
2010-08-29,2458862.2500011
2010-08-30,2461412.5500006
2010-08-31,2461162.6100008
2010-09-01,2463862.5800007
2010-09-02,2463312.3900006
2010-09-03,2467012.3800006
2010-09-04,2470212.3300006
2010-09-05,2472061.9000006
2010-09-06,2472261.8200007
2010-09-07,2475661.8200007
2010-09-08,2478761.7900008
2010-09-09,2481911.9000008
2010-09-10,2486011.8700009
2010-09-11,2491461.8500009
2010-09-12,2488261.9800006
2010-09-13,2489861.9400007
2010-09-14,2493411.90960422
2010-09-15,2496461.90960422
2010-09-16,2497161.86960422
2010-09-17,2476311.86960422
2010-09-18,2481667.03960422
2010-09-19,2479721.8900007
2010-09-20,2483331.8800007
2010-09-21,2482786.8700007
2010-09-22,2485091.8700007
2010-09-23,2485276.8700007
2010-09-24,2489086.8700007
2010-09-25,2491586.8500007
2010-09-26,2495256.8500007
2010-09-27,2481811.8700007
2010-09-28,2436368.1600006
2010-09-29,2435977.8000006
2010-09-30,2437777.7800006
2010-10-01,2441328.3300006
2010-10-02,2442177.76776873
2010-10-03,2443827.76776883
2010-10-04,2440127.76776883
2010-10-05,2442727.76776873
2010-10-06,2445752.76776883
2010-10-07,2445457.76776883
2010-10-08,2439007.76776883
2010-10-09,2438412.76776883
2010-10-10,2442967.76776883
2010-10-11,2444022.76776883
2010-10-12,2445372.76776883
2010-10-13,2434173.10776883
2010-10-14,2437123.10776883
2010-10-15,2440223.10776883
2010-10-16,2433678.10776774
2010-10-17,2438388.10776774
2010-10-18,2443038.12776774
2010-10-19,2450838.11776774
2010-10-20,2456293.11776774
2010-10-21,2456368.11776774
2010-10-22,2459523.11776774
2010-10-23,2462528.16776774
2010-10-24,2466778.16776774
2010-10-25,2471178.14776774
2010-10-26,2478978.14776774
2010-10-27,2478778.14776774
2010-10-28,2476233.14776774
2010-10-29,2480433.14776774
2010-10-30,2485483.12776774
2010-10-31,2487081.56776774
2010-11-01,2489686.55776774
2010-11-02,2493736.55776774
2010-11-03,2496836.53776774
2010-11-04,2498841.53776774
2010-11-05,2498491.53776774
2010-11-06,2503991.53776774
2010-11-07,2507941.53776774
2010-11-08,2473842.34776774
2010-11-09,2477191.51776774
2010-11-10,2481201.51776774
2010-11-11,2486551.51776774
2010-11-12,2489351.51776774
2010-11-13,2493051.51776774
2010-11-14,2483701.51776774
2010-11-15,2485951.98776774
2010-11-16,2484351.98776774
2010-11-17,2489951.98776774
2010-11-18,2496101.98776774
2010-11-19,2495602.06776774
2010-11-20,2498703.06776774
2010-11-21,2502053.78776774
2010-11-22,2505053.86776774
2010-11-23,2505003.88776774
2010-11-24,2505053.76776774
2010-11-25,2508303.71776774
2010-11-26,2510303.92776774
2010-11-27,2511403.42776774
2010-11-28,2517553.41776774
2010-11-29,2517003.31776774
2010-11-30,2521353.31776774
2010-12-01,2513803.12776774
2010-12-02,2512853.16776774
2010-12-03,2506402.32776774
2010-12-04,2513297.34669991
2010-12-05,2519147.32669991
2010-12-06,2526877.28575407
2010-12-07,2524026.06355642
2010-12-08,2529224.93827076
2010-12-09,2534073.85791232
2010-12-10,2538773.90791232
2010-12-11,2543222.52309912
2010-12-12,2546617.49522721
2010-12-13,2524801.70440971
2010-12-14,2528047.26180814
2010-12-15,2534392.23204538
2010-12-16,2536442.20204538
2010-12-17,2540991.92204538
2010-12-18,2546691.80949014
2010-12-19,2544341.82513533
2010-12-20,2542289.37586496
2010-12-21,2545889.38044864
2010-12-22,2542989.31044864
2010-12-23,2548039.32044864
2010-12-24,2552482.01406603
2010-12-25,2555682.04406603
2010-12-26,2558481.30294037
2010-12-27,2549176.88238893
2010-12-28,2555626.6543692
2010-12-29,2556026.66774738
2010-12-30,2557276.40774738
2010-12-31,2561975.05391167
2011-01-01,2566375.14306425
2011-01-02,2567825.09807603
2011-01-03,2563374.05820368
2011-01-04,2566023.13174477
2011-01-05,2560872.3428541
2011-01-06,2558220.65541949
2011-01-07,2560707.27741944
2011-01-08,2563657.24507377
2011-01-09,2565357.28507377
2011-01-10,2570907.26507377
2011-01-11,2573357.18892486
2011-01-12,2576806.67751238
2011-01-13,2566706.38871985
2011-01-14,2558156.20031059
2011-01-15,2561156.24288007
2011-01-16,2562906.24855477
2011-01-17,2568606.38662957
2011-01-18,2567456.33662957
2011-01-19,2565906.34899774
2011-01-20,2571156.19252232
2011-01-21,2567356.10061646
2011-01-22,2566155.93514058
2011-01-23,2561205.02328595
2011-01-24,2565700.93680658
2011-01-25,2568800.99586577
2011-01-26,2569901.07586577
2011-01-27,2570951.19680658
2011-01-28,2572901.16680658
2011-01-29,2577149.75680658
2011-01-30,2577401.21030192
2011-01-31,2575451.72030192
2011-02-01,2567951.0193304
2011-02-02,2571551.0293304
2011-02-03,2575550.93752014
2011-02-04,2578449.16690865
2011-02-05,2575499.09874105
2011-02-06,2578949.08986693
2011-02-07,2582499.33707634
2011-02-08,2586449.50132543
2011-02-09,2587999.38684271
2011-02-10,2589700.24436951
2011-02-11,2585400.32814791
2011-02-12,2586449.94732006
2011-02-13,2580500.01914031
2011-02-14,2565546.96776306
2011-02-15,2569695.14122499
2011-02-16,2574345.50580698
2011-02-17,2580345.56926891
2011-02-18,2576195.13557932
2011-02-19,2577845.51557932
2011-02-20,2581645.22557932
2011-02-21,2584745.50557932
2011-02-22,2587045.47104754
2011-02-23,2590391.50104754
2011-02-24,2588791.46874226
2011-02-25,2587341.5415333
2011-02-26,2583441.6115333
2011-02-27,2584892.1315333
2011-02-28,2583791.7615333
2011-03-01,2582692.0558333
2011-03-02,2584992.3298333
2011-03-03,2587348.7376333
2011-03-04,2591847.7166333
2011-03-05,2589199.24641248
2011-03-06,2589900.88551248
2011-03-07,2588503.12384992
2011-03-08,2593054.67384994
2011-03-09,2594155.47190545
2011-03-10,2596056.66344994
2011-03-11,2595561.92517909
2011-03-12,2596809.6391861
2011-03-13,2597360.41297906
2011-03-14,2583607.94708754
2011-03-15,2584057.42905134
2011-03-16,2575707.76765135
2011-03-17,2576908.16704429
2011-03-18,2569057.27758871
2011-03-19,2571358.02538166
2011-03-20,2573808.98435412
2011-03-21,2575465.68435412
2011-03-22,2575771.12405412
2011-03-23,2577178.12613448
2011-03-24,2578124.2895003
2011-03-25,2581073.03491454
2011-03-26,2581322.2348813
2011-03-27,2581024.155114
2011-03-28,2581372.619314
2011-03-29,2582722.14175969
2011-03-30,2583520.51165969
2011-03-31,2585371.42125969
2011-04-01,2587472.19914146
2011-04-02,2591473.37954148
2011-04-03,2595375.54865477
2011-04-04,2589472.16737205
2011-04-05,2590873.72787165
2011-04-06,2590073.91717166
2011-04-07,2591123.73727166
2011-04-08,2591073.67717166
2011-04-09,2593175.78707166
2011-04-10,2595477.41707166
2011-04-11,2590523.14693853
2011-04-12,2585521.07051878
2011-04-13,2580319.78196973
2011-04-14,2581330.07456973
2011-04-15,2582627.56901322
2011-04-16,2579975.8909555
2011-04-17,2581822.9630555
2011-04-18,2578122.26354126
2011-04-19,2578473.35433763
2011-04-20,2578826.9582727
2011-04-21,2580077.0385565
2011-04-22,2579178.5682565
2011-04-23,2573126.4090054
2011-04-24,2574276.32641657
2011-04-25,2572231.41439395
2011-04-26,2572129.13327134
2011-04-27,2566632.03551283
2011-04-28,2564479.74188577
2011-04-29,2562991.8988795
2011-04-30,2561214.19580367
2011-05-01,2559391.43902725
2011-05-02,2557865.08753954
2011-05-03,2556542.05106755
2011-05-04,2543001.01909902
2011-05-05,2541933.75265877
2011-05-06,2543742.87754129
2011-05-07,2537833.44214359
2011-05-08,2541463.56820272
2011-05-09,2541259.4539415
2011-05-10,2537578.47124042
2011-05-11,2531322.11328692
2011-05-12,2528879.02871369
2011-05-13,2521955.13149328
2011-05-14,2522543.4184883
2011-05-15,2522234.50735918
2011-05-16,2519724.17281255
2011-05-17,2519864.18986806
2011-05-18,2517338.81713638
2011-05-19,2509849.03777224
2011-05-20,2507096.36287286
2011-05-21,2507048.37893596
2011-05-22,2508585.60202971
2011-05-23,2501386.9922037
2011-05-24,2499957.18405445
2011-05-25,2496952.98210598
2011-05-26,2489859.38831225
2011-05-27,2487343.30648501
2011-05-28,2485475.58375944
2011-05-29,2485446.48305762
2011-05-30,2483697.06094039
2011-05-31,2481876.25346766
2011-06-01,2477886.3551322
2011-06-02,2464365.75357324
2011-06-03,2461970.22998188
2011-06-04,2460952.73894992
2011-06-05,2459926.56369766
2011-06-06,2455204.93553233
2011-06-07,2449410.67227898
2011-06-08,2440243.6926692
2011-06-09,2436388.35175948
2011-06-10,2431838.1003928
2011-06-11,2407230.07839144
2011-06-12,2402990.88745335
2011-06-13,2378871.32775924
2011-06-14,2360105.61084773
2011-06-15,2351918.84289503
2011-06-16,2314503.28392701
2011-06-17,2309202.84904195
2011-06-18,2310289.93016624
2011-06-19,2299826.84741823
2011-06-20,2298001.20573839
2011-06-21,2300141.68422405
2011-06-22,2299545.73223405
2011-06-23,2300793.63972736
2011-06-24,2293207.68935178
2011-06-25,2291503.54018704
2011-06-26,2289150.58346805
2011-06-27,2280350.25084215
2011-06-28,2273372.82818677
2011-06-29,2271046.30996192
2011-06-30,2271378.87885351
2011-07-01,2270290.8569976
2011-07-02,2269978.00578264
2011-07-03,2268776.03321644
2011-07-04,2267923.03373973
2011-07-05,2258935.41842025
2011-07-06,2257915.88240241
2011-07-07,2257625.86652436
2011-07-08,2257776.82649492
2011-07-09,2258059.21274426
2011-07-10,2256433.7098285
2011-07-11,2254776.29523534
2011-07-12,2255344.98712547
2011-07-13,2255657.44450223
2011-07-14,2254079.75207566
2011-07-15,2254274.66463161
2011-07-16,2254713.84685843
2011-07-17,2254037.38433606
2011-07-18,2249735.13427893
2011-07-19,2248380.44547711
