t,addresses_min_10k_count
2010-01-01,4
2010-01-02,4
2010-01-03,4
2010-01-04,4
2010-01-05,4
2010-01-06,4
2010-01-07,4
2010-01-08,4
2010-01-09,4
2010-01-10,4
2010-01-11,4
2010-01-12,4
2010-01-13,4
2010-01-14,4
2010-01-15,4
2010-01-16,4
2010-01-17,4
2010-01-18,4
2010-01-19,4
2010-01-20,4
2010-01-21,4
2010-01-22,4
2010-01-23,4
2010-01-24,4
2010-01-25,4
2010-01-26,4
2010-01-27,4
2010-01-28,4
2010-01-29,4
2010-01-30,4
2010-01-31,4
2010-02-01,4
2010-02-02,4
2010-02-03,4
2010-02-04,5
2010-02-05,6
2010-02-06,6
2010-02-07,6
2010-02-08,6
2010-02-09,7
2010-02-10,8
2010-02-11,8
2010-02-12,8
2010-02-13,8
2010-02-14,8
2010-02-15,8
2010-02-16,8
2010-02-17,7
2010-02-18,7
2010-02-19,7
2010-02-20,7
2010-02-21,8
2010-02-22,9
2010-02-23,9
2010-02-24,9
2010-02-25,9
2010-02-26,8
2010-02-27,8
2010-02-28,8
2010-03-01,8
2010-03-02,8
2010-03-03,8
2010-03-04,9
2010-03-05,9
2010-03-06,8
2010-03-07,8
2010-03-08,8
2010-03-09,8
2010-03-10,8
2010-03-11,8
2010-03-12,8
2010-03-13,8
2010-03-14,8
2010-03-15,8
2010-03-16,8
2010-03-17,8
2010-03-18,8
2010-03-19,8
2010-03-20,8
2010-03-21,8
2010-03-22,8
2010-03-23,8
2010-03-24,8
2010-03-25,9
2010-03-26,9
2010-03-27,9
2010-03-28,9
2010-03-29,9
2010-03-30,9
2010-03-31,9
2010-04-01,9
2010-04-02,9
2010-04-03,9
2010-04-04,9
2010-04-05,9
2010-04-06,9
2010-04-07,9
2010-04-08,9
2010-04-09,9
2010-04-10,10
2010-04-11,11
2010-04-12,11
2010-04-13,11
2010-04-14,11
2010-04-15,12
2010-04-16,12
2010-04-17,12
2010-04-18,12
2010-04-19,13
2010-04-20,13
2010-04-21,13
2010-04-22,14
2010-04-23,14
2010-04-24,14
2010-04-25,14
2010-04-26,14
2010-04-27,14
2010-04-28,14
2010-04-29,14
2010-04-30,15
2010-05-01,15
2010-05-02,15
2010-05-03,15
2010-05-04,15
2010-05-05,16
2010-05-06,16
2010-05-07,16
2010-05-08,17
2010-05-09,17
2010-05-10,17
2010-05-11,17
2010-05-12,17
2010-05-13,17
2010-05-14,17
2010-05-15,17
2010-05-16,17
2010-05-17,18
2010-05-18,18
2010-05-19,18
2010-05-20,18
2010-05-21,19
2010-05-22,19
2010-05-23,18
2010-05-24,18
2010-05-25,18
2010-05-26,18
2010-05-27,18
2010-05-28,18
2010-05-29,17
2010-05-30,17
2010-05-31,18
2010-06-01,18
2010-06-02,18
2010-06-03,19
2010-06-04,20
2010-06-05,20
2010-06-06,20
2010-06-07,21
2010-06-08,21
2010-06-09,20
2010-06-10,21
2010-06-11,21
2010-06-12,21
2010-06-13,21
2010-06-14,21
2010-06-15,21
2010-06-16,20
2010-06-17,19
2010-06-18,19
2010-06-19,20
2010-06-20,21
2010-06-21,21
2010-06-22,21
2010-06-23,22
2010-06-24,22
2010-06-25,22
2010-06-26,21
2010-06-27,21
2010-06-28,21
2010-06-29,22
2010-06-30,22
2010-07-01,22
2010-07-02,23
2010-07-03,25
2010-07-04,25
2010-07-05,24
2010-07-06,24
2010-07-07,24
2010-07-08,25
2010-07-09,25
2010-07-10,25
2010-07-11,25
2010-07-12,23
2010-07-13,23
2010-07-14,25
2010-07-15,22
2010-07-16,22
2010-07-17,22
2010-07-18,23
2010-07-19,23
2010-07-20,23
2010-07-21,24
2010-07-22,24
2010-07-23,23
2010-07-24,23
2010-07-25,23
2010-07-26,24
2010-07-27,24
2010-07-28,24
2010-07-29,24
2010-07-30,24
2010-07-31,24
2010-08-01,24
2010-08-02,24
2010-08-03,24
2010-08-04,24
2010-08-05,24
2010-08-06,24
2010-08-07,24
2010-08-08,24
2010-08-09,24
2010-08-10,24
2010-08-11,24
2010-08-12,24
2010-08-13,24
2010-08-14,24
2010-08-15,24
2010-08-16,24
2010-08-17,25
2010-08-18,25
2010-08-19,25
2010-08-20,25
2010-08-21,25
2010-08-22,25
2010-08-23,25
2010-08-24,25
2010-08-25,26
2010-08-26,28
2010-08-27,28
2010-08-28,28
2010-08-29,27
2010-08-30,27
2010-08-31,27
2010-09-01,27
2010-09-02,27
2010-09-03,27
2010-09-04,27
2010-09-05,27
2010-09-06,27
2010-09-07,27
2010-09-08,27
2010-09-09,27
2010-09-10,27
2010-09-11,27
2010-09-12,27
2010-09-13,27
2010-09-14,27
2010-09-15,27
2010-09-16,28
2010-09-17,28
2010-09-18,30
2010-09-19,31
2010-09-20,32
2010-09-21,31
2010-09-22,32
2010-09-23,32
2010-09-24,33
2010-09-25,34
2010-09-26,34
2010-09-27,35
2010-09-28,35
2010-09-29,36
2010-09-30,36
2010-10-01,37
2010-10-02,34
2010-10-03,35
2010-10-04,32
2010-10-05,34
2010-10-06,35
2010-10-07,37
2010-10-08,35
2010-10-09,35
2010-10-10,35
2010-10-11,35
2010-10-12,35
2010-10-13,36
2010-10-14,34
2010-10-15,35
2010-10-16,37
2010-10-17,37
2010-10-18,38
2010-10-19,39
2010-10-20,39
2010-10-21,40
2010-10-22,40
2010-10-23,40
2010-10-24,39
2010-10-25,39
2010-10-26,39
2010-10-27,41
2010-10-28,42
2010-10-29,42
2010-10-30,41
2010-10-31,41
2010-11-01,42
2010-11-02,41
2010-11-03,41
2010-11-04,42
2010-11-05,42
2010-11-06,42
2010-11-07,42
2010-11-08,41
2010-11-09,41
2010-11-10,41
2010-11-11,41
2010-11-12,42
2010-11-13,42
2010-11-14,43
2010-11-15,43
2010-11-16,43
2010-11-17,43
2010-11-18,43
2010-11-19,43
2010-11-20,44
2010-11-21,44
2010-11-22,44
