t,indicators_sopr_more_155
2010-12-23,2.74453836864639
2010-12-24,2.74453836864639
2010-12-25,2.74453836864639
2010-12-26,2.74453836864639
2010-12-27,2.74453836864639
2010-12-28,2.74453836864639
2010-12-29,3.35513746505126
2010-12-30,5.76237623762376
2010-12-31,5.76237623762376
2011-01-01,5.76237623762376
2011-01-02,4.03488199000442
2011-01-03,4.73115913131382
2011-01-04,4.89983333333333
2011-01-05,4.37893098447062
2011-01-06,4.37893098447062
2011-01-07,4.37893098447062
2011-01-08,4.37893098447062
2011-01-09,5.37287853577371
2011-01-10,4.51288499202019
2011-01-11,4.51288499202019
2011-01-12,5.05244430693069
2011-01-13,6.30146583972024
2011-01-14,5.5532417048452
2011-01-15,5.5532417048452
2011-01-16,6.19536150703822
2011-01-17,6.36691358024691
2011-01-18,6.36691358024691
2011-01-19,5.12159680638722
2011-01-20,5.12159680638722
2011-01-21,5.12159680638722
2011-01-22,7.17591033439644
2011-01-23,6.76570015975784
2011-01-24,5.80289855072464
2011-01-25,5.80289855072464
2011-01-26,6.16439824241775
2011-01-27,6.43217885752105
2011-01-28,7.01976157323413
2011-01-29,6.85329141449764
2011-01-30,6.85329141449764
2011-01-31,8.1735448163144
2011-02-01,9.34038934648476
2011-02-02,12.1607969328826
2011-02-03,9.0307250157744
2011-02-04,11.6152921945746
2011-02-05,11.5340037216792
2011-02-06,14.8727198027938
2011-02-07,13.6827372290725
2011-02-08,12.7142857142857
2011-02-09,13.4982475314827
2011-02-10,15.1557169141972
2011-02-11,15.055351345082
2011-02-12,17.1455624824898
2011-02-13,16.7386824962015
2011-02-14,14.7326502809185
2011-02-15,16.8446218324652
2011-02-16,15.8485385616546
2011-02-17,17.8424772938165
2011-02-18,16.5721695303617
2011-02-19,14.9018815552249
2011-02-20,13.2602672561961
2011-02-21,13.6513253848682
2011-02-22,13.767644092931
2011-02-23,9.87155560434735
2011-02-24,13.8646026085337
2011-02-25,14.2820776631063
2011-02-26,11.4521254428006
2011-02-27,14.7502887934003
2011-02-28,12.6378106332327
2011-03-01,14.7473479779871
2011-03-02,15.2031467940797
2011-03-03,14.0246343341032
2011-03-04,13.5440700223026
2011-03-05,15.5055397914813
2011-03-06,13.5929414634146
2011-03-07,14.8026315789474
2011-03-08,11.6412578055308
2011-03-09,15.6038572236083
2011-03-10,14.8714782426671
2011-03-11,14.2904844641756
2011-03-12,14.2904844641756
2011-03-13,13.8196117924407
2011-03-14,14.3499435119432
2011-03-15,12.8169691660237
2011-03-16,12.6451614368903
2011-03-17,12.9055288629236
2011-03-18,13.4356448638116
2011-03-19,7.46467661691542
2011-03-20,7.46467661691542
2011-03-21,11.7409196387143
2011-03-22,12.6549477861739
2011-03-23,12.9173201260629
2011-03-24,9.81630119381672
2011-03-25,13.7621893677257
2011-03-26,8.86534164619552
2011-03-27,12.2937555097025
2011-03-28,12.4913560966045
2011-03-29,9.2826545322273
2011-03-30,14.0747875984018
2011-03-31,12.999454446263
2011-04-01,12.999454446263
2011-04-02,12.999454446263
2011-04-03,12.6221069882742
2011-04-04,11.3456666733431
2011-04-05,8.05354198216389
2011-04-06,7.57876190967006
2011-04-07,12.7504840271055
2011-04-08,8.45205343182392
2011-04-09,4.05117270788913
2011-04-10,8.50292736783956
2011-04-11,12.5161042950895
2011-04-12,8.58696229093589
2011-04-13,6.81783145665849
2011-04-14,15.3521029900558
2011-04-15,10.5904185201199
2011-04-16,8.73803923705943
2011-04-17,11.0817172235415
2011-04-18,14.3992975575436
2011-04-19,16.120259243621
2011-04-20,8.64383235489794
2011-04-21,9.23181617092149
2011-04-22,18.7813215232712
2011-04-23,8.92330571086026
2011-04-24,20.229909396185
2011-04-25,23.2068104049371
2011-04-26,10.5923234652092
2011-04-27,25.0548857353703
2011-04-28,11.9643746660619
2011-04-29,25.2511516906732
2011-04-30,38.5958110535647
2011-05-01,24.8066490503461
2011-05-02,29.4622633581476
2011-05-03,29.7820011185772
2011-05-04,10.9637852514118
2011-05-05,45.4485090070393
2011-05-06,13.9413742598655
2011-05-07,58.4034329885138
2011-05-08,37.6974835198424
2011-05-09,38.5197160064909
2011-05-10,75.2476358822535
2011-05-11,24.4835262277442
2011-05-12,22.6375014769093
2011-05-13,81.1640262630948
2011-05-14,60.0732037460287
2011-05-15,53.1088282988471
2011-05-16,94.0277685112885
2011-05-17,85.8265383526125
2011-05-18,53.6861165316476
2011-05-19,34.9548340208235
2011-05-20,29.8777126127478
2011-05-21,69.3783686656518
2011-05-22,72.9979398302144
2011-05-23,34.7646236065262
2011-05-24,30.5539825127273
2011-05-25,48.9304677236484
2011-05-26,56.8534439155915
2011-05-27,93.3254834468246
2011-05-28,82.3532837732318
2011-05-29,75.989106284641
2011-05-30,49.9656080600147
2011-05-31,72.403164977728
2011-06-01,67.845784561385
2011-06-02,46.8304613265649
2011-06-03,127.452184722007
2011-06-04,127.292919154124
2011-06-05,211.425018314308
2011-06-06,167.958706702316
2011-06-07,165.284786977607
2011-06-08,127.686508608884
2011-06-09,126.523105075581
2011-06-10,130.810763193882
2011-06-11,162.564114057241
2011-06-12,123.760137901418
2011-06-13,192.521658478001
2011-06-14,160.91827196544
2011-06-15,69.4415650398674
2011-06-16,103.817787052124
2011-06-17,74.1933952017399
2011-06-18,100.084171804239
2011-06-19,96.9215603097812
2011-06-20,103.947826969958
2011-06-21,115.655740111269
2011-06-22,72.4650630527017
2011-06-23,265.742580285514
2011-06-24,129.551980590632
2011-06-25,131.751763516283
2011-06-26,262.607298695767
2011-06-27,46.1943895635993
2011-06-28,73.0460349251043
2011-06-29,78.3142506596016
2011-06-30,72.9912805217282
2011-07-01,63.3142619740431
2011-07-02,82.0360130641268
2011-07-03,105.472592506187
2011-07-04,133.831922832986
2011-07-05,167.993582406448
2011-07-06,134.359826217003
2011-07-07,62.7385909088862
2011-07-08,133.796289483496
2011-07-09,111.879854920353
2011-07-10,155.30654657851
2011-07-11,184.891556770449
2011-07-12,47.7108766439756
2011-07-13,36.0036129560317
2011-07-14,70.9686442517531
2011-07-15,65.0192693245081
2011-07-16,101.366727953527
2011-07-17,58.372332899653
2011-07-18,49.5410628418811
2011-07-19,22.3543124730591
2011-07-20,40.0203599168678
2011-07-21,42.4468382230067
2011-07-22,45.6944334895767
2011-07-23,21.0733108917746
2011-07-24,19.56783143038
2011-07-25,121.971786494166
2011-07-26,40.5568928503477
2011-07-27,22.7400648849998
2011-07-28,32.1847776554739
2011-07-29,27.2556587376919
2011-07-30,13.100088547903
2011-07-31,38.7145570280565
2011-08-01,23.9772989746261
2011-08-02,178.880082694448
2011-08-03,39.9058468127867
2011-08-04,76.4124754461229
2011-08-05,92.5362288424665
2011-08-06,10.7530404108862
2011-08-07,14.0468602814234
2011-08-08,11.1696297433525
2011-08-09,45.675396209175
2011-08-10,154.46426687707
2011-08-11,147.674577630414
2011-08-12,32.1300822274825
2011-08-13,11.259439004451
2011-08-14,12.4028916326696
2011-08-15,39.4450528262954
2011-08-16,23.7360123918107
2011-08-17,21.5872811785457
2011-08-18,37.8786670655848
2011-08-19,46.0999570105274
2011-08-20,13.1563378787088
2011-08-21,40.1697768707559
2011-08-22,10.7426036252832
2011-08-23,134.887868799783
2011-08-24,40.9590149437823
2011-08-25,29.7779930206728
2011-08-26,20.3137057356166
2011-08-27,16.5639990444138
2011-08-28,9.98011884803029
2011-08-29,36.087569834782
2011-08-30,11.3626670979985
2011-08-31,10.9809527933081
2011-09-01,14.8061472536493
2011-09-02,24.0292276713161
2011-09-03,11.8533190947413
2011-09-04,22.8783790365785
2011-09-05,12.2143108092748
2011-09-06,9.87147366298504
2011-09-07,8.27172398442099
2011-09-08,8.64482600882538
2011-09-09,10.998255915496
2011-09-10,15.8658272085688
2011-09-11,10.2732371000283
2011-09-12,12.6309902426081
2011-09-13,7.20446900345226
2011-09-14,8.7192063388527
2011-09-15,6.25020144895017
2011-09-16,6.25358784759076
2011-09-17,6.94779287265605
2011-09-18,5.93904658076156
2011-09-19,7.68621188165944
2011-09-20,13.0945719384606
2011-09-21,8.84404809783688
2011-09-22,9.52314795395242
2011-09-23,32.6212049972524
2011-09-24,6.71140523298098
2011-09-25,6.67937996134924
2011-09-26,5.81736783053466
2011-09-27,72.4545664984422
2011-09-28,3.15253677971111
2011-09-29,5.17813591349805
2011-09-30,5.33582036173452
2011-10-01,4.13364229579416
2011-10-02,5.32896126086976
2011-10-03,27.3393590775995
2011-10-04,4.20140832973175
2011-10-05,7.92874727768362
2011-10-06,3.0487354518302
2011-10-07,4.7146996652698
2011-10-08,1.62357405657887
2011-10-09,4.71790294792718
2011-10-10,4.75662708117462
2011-10-11,1.47188514230941
2011-10-12,4.46446166837792
2011-10-13,7.27155973911652
2011-10-14,5.050594844234
2011-10-15,5.12524786994183
2011-10-16,3.83519285053377
2011-10-17,2.77477730244701
2011-10-18,0.642894816475742
2011-10-19,0.461042235534569
2011-10-20,0.51863938515884
2011-10-21,3.98268055728671
2011-10-22,0.685312110158478
2011-10-23,1.61172451287009
2011-10-24,1.18760497552779
2011-10-25,0.555826136201055
2011-10-26,3.02409052861104
2011-10-27,3.04503991330517
2011-10-28,2.52641727500295
2011-10-29,2.84655482864488
2011-10-30,4.17460569569123
2011-10-31,2.70432337427757
2011-11-01,0.705263501047362
2011-11-02,0.789326771167855
2011-11-03,0.631056168332432
2011-11-04,0.436987098422775
2011-11-05,1.07355220281161
2011-11-06,0.573163601655427
2011-11-07,2.98895391172196
2011-11-08,2.30726032812016
2011-11-09,1.03302552178045
2011-11-10,7.98297714426034
2011-11-11,0.457850584717463
2011-11-12,0.642659706490282
2011-11-13,0.592350765345503
2011-11-14,0.609189899440066
2011-11-15,0.325994192501453
2011-11-16,2.09106541520034
2011-11-17,0.261307507894124
2011-11-18,0.245483703854092
2011-11-19,0.330788374331969
2011-11-20,0.103218060778737
2011-11-21,0.307556882664572
2011-11-22,0.136945625864875
2011-11-23,1.01665112077137
2011-11-24,0.149394275611535
2011-11-25,2.19508501634165
2011-11-26,0.16089626386122
2011-11-27,0.21155466414025
2011-11-28,0.139916607184386
2011-11-29,0.717230020481718
2011-11-30,0.138216892538725
2011-12-01,0.234090944221117
2011-12-02,0.251980259711798
2011-12-03,0.258858264805476
2011-12-04,0.2067390462842
2011-12-05,0.163684270065965
2011-12-06,0.168252202898569
2011-12-07,0.173987242829441
2011-12-08,1.6694993460107
2011-12-09,0.218086949466968
2011-12-10,0.33238340146162
2011-12-11,0.333205186984335
2011-12-12,0.196199622811519
2011-12-13,0.218986625237154
2011-12-14,0.231142913204556
2011-12-15,0.273535528642606
2011-12-16,0.279377922663875
2011-12-17,0.196150807586984
2011-12-18,0.148760870351611
2011-12-19,0.414429957677363
2011-12-20,0.390787646800453
2011-12-21,0.313922838495649
2011-12-22,0.434601549165602
2011-12-23,0.275124036173191
2011-12-24,0.300096371029043
2011-12-25,0.242473862916722
2011-12-26,0.204252280023778
2011-12-27,0.28063867747624
2011-12-28,0.241762138409173
2011-12-29,0.373309128708609
2011-12-30,0.323235336719231
2011-12-31,0.430199474862905
2012-01-01,0.988664994584781
2012-01-02,0.287579367821961
2012-01-03,0.615252529168488
2012-01-04,0.409142086279268
2012-01-05,0.736415743753305
2012-01-06,0.587659903930081
2012-01-07,0.550159916673806
2012-01-08,0.600217845625557
2012-01-09,0.466262819497993
2012-01-10,0.43730833962923
2012-01-11,0.501215468440916
2012-01-12,1.80208217764098
2012-01-13,0.589624281778691
2012-01-14,0.445269546864757
2012-01-15,0.478470170178243
2012-01-16,0.498714885162711
2012-01-17,0.491940185996195
