t,transactions_transfers_to_exchanges_count
2012-08-04,67
2012-08-05,80
2012-08-06,55
2012-08-07,51
2012-08-08,91
2012-08-09,68
2012-08-10,76
2012-08-11,36
2012-08-12,73
2012-08-13,102
2012-08-14,104
2012-08-15,110
2012-08-16,313
2012-08-17,525
2012-08-18,516
2012-08-19,287
2012-08-20,394
2012-08-21,392
2012-08-22,435
2012-08-23,289
2012-08-24,300
2012-08-25,226
2012-08-26,188
2012-08-27,184
2012-08-28,124
2012-08-29,116
2012-08-30,202
2012-08-31,166
2012-09-01,111
2012-09-02,104
2012-09-03,141
2012-09-04,127
2012-09-05,186
2012-09-06,136
2012-09-07,125
2012-09-08,112
2012-09-09,116
2012-09-10,121
2012-09-11,139
2012-09-12,156
2012-09-13,149
2012-09-14,173
2012-09-15,141
2012-09-16,147
2012-09-17,129
2012-09-18,214
2012-09-19,223
2012-09-20,217
2012-09-21,92
2012-09-22,181
2012-09-23,160
2012-09-24,176
2012-09-25,149
2012-09-26,189
2012-09-27,239
2012-09-28,217
2012-09-29,225
2012-09-30,241
2012-10-01,269
2012-10-02,106
2012-10-03,116
2012-10-04,176
2012-10-05,206
2012-10-06,186
2012-10-07,218
2012-10-08,285
2012-10-09,238
2012-10-10,272
2012-10-11,262
2012-10-12,281
2012-10-13,165
2012-10-14,208
2012-10-15,249
2012-10-16,227
2012-10-17,218
2012-10-18,249
2012-10-19,196
2012-10-20,173
2012-10-21,189
2012-10-22,213
2012-10-23,224
2012-10-24,257
2012-10-25,221
2012-10-26,263
2012-10-27,193
2012-10-28,172
2012-10-29,185
2012-10-30,161
2012-10-31,251
2012-11-01,219
2012-11-02,181
2012-11-03,193
2012-11-04,142
2012-11-05,197
2012-11-06,167
2012-11-07,216
2012-11-08,176
2012-11-09,180
2012-11-10,125
2012-11-11,120
2012-11-12,131
2012-11-13,108
2012-11-14,139
2012-11-15,193
2012-11-16,278
2012-11-17,435
2012-11-18,320
2012-11-19,358
2012-11-20,247
2012-11-21,232
2012-11-22,332
2012-11-23,259
2012-11-24,242
2012-11-25,166
2012-11-26,205
2012-11-27,201
2012-11-28,245
2012-11-29,206
2012-11-30,195
2012-12-01,184
2012-12-02,155
2012-12-03,209
2012-12-04,215
2012-12-05,215
2012-12-06,235
2012-12-07,142
2012-12-08,153
2012-12-09,110
2012-12-10,163
2012-12-11,148
2012-12-12,170
2012-12-13,185
2012-12-14,215
2012-12-15,155
2012-12-16,178
2012-12-17,193
2012-12-18,219
2012-12-19,176
2012-12-20,205
2012-12-21,107
2012-12-22,184
2012-12-23,158
2012-12-24,169
2012-12-25,142
2012-12-26,154
2012-12-27,217
2012-12-28,221
2012-12-29,190
2012-12-30,194
2012-12-31,223
2013-01-01,200
2013-01-02,229
2013-01-03,198
2013-01-04,373
2013-01-05,305
2013-01-06,267
2013-01-07,298
2013-01-08,251
2013-01-09,317
2013-01-10,323
2013-01-11,270
2013-01-12,241
2013-01-13,212
2013-01-14,248
2013-01-15,292
2013-01-16,301
2013-01-17,311
2013-01-18,306
2013-01-19,262
2013-01-20,220
2013-01-21,254
2013-01-22,209
2013-01-23,259
2013-01-24,362
2013-01-25,261
2013-01-26,162
2013-01-27,165
2013-01-28,234
2013-01-29,289
2013-01-30,266
2013-01-31,209
2013-02-01,260
2013-02-02,234
2013-02-03,241
2013-02-04,218
2013-02-05,245
2013-02-06,277
2013-02-07,236
2013-02-08,217
2013-02-09,230
2013-02-10,212
2013-02-11,268
2013-02-12,218
2013-02-13,242
2013-02-14,246
2013-02-15,270
2013-02-16,234
2013-02-17,326
2013-02-18,336
2013-02-19,389
2013-02-20,256
2013-02-21,268
2013-02-22,327
2013-02-23,282
2013-02-24,308
2013-02-25,265
2013-02-26,340
2013-02-27,363
2013-02-28,453
2013-03-01,389
2013-03-02,291
2013-03-03,272
2013-03-04,343
2013-03-05,423
2013-03-06,622
2013-03-07,442
2013-03-08,399
2013-03-09,345
2013-03-10,438
2013-03-11,467
2013-03-12,521
2013-03-13,462
2013-03-14,493
2013-03-15,394
2013-03-16,408
2013-03-17,239
2013-03-18,318
2013-03-19,559
2013-03-20,555
2013-03-21,586
2013-03-22,479
2013-03-23,472
2013-03-24,399
2013-03-25,445
2013-03-26,638
2013-03-27,514
2013-03-28,602
2013-03-29,508
2013-03-30,417
2013-03-31,399
2013-04-01,534
2013-04-02,651
2013-04-03,945
2013-04-04,746
2013-04-05,759
2013-04-06,614
2013-04-07,579
2013-04-08,908
2013-04-09,995
2013-04-10,1190
2013-04-11,1482
2013-04-12,1171
2013-04-13,1009
2013-04-14,735
2013-04-15,1091
2013-04-16,1151
2013-04-17,1159
2013-04-18,901
2013-04-19,1319
2013-04-20,809
2013-04-21,973
2013-04-22,936
2013-04-23,1102
2013-04-24,1165
2013-04-25,1159
2013-04-26,1136
2013-04-27,843
2013-04-28,799
2013-04-29,1074
2013-04-30,904
2013-05-01,1007
2013-05-02,1067
2013-05-03,985
2013-05-04,853
2013-05-05,976
2013-05-06,1022
2013-05-07,994
2013-05-08,1046
2013-05-09,925
2013-05-10,1061
2013-05-11,959
2013-05-12,808
2013-05-13,925
2013-05-14,961
2013-05-15,966
2013-05-16,874
2013-05-17,800
2013-05-18,704
2013-05-19,655
2013-05-20,726
2013-05-21,804
2013-05-22,764
2013-05-23,940
2013-05-24,913
2013-05-25,677
2013-05-26,720
2013-05-27,787
2013-05-28,727
2013-05-29,771
2013-05-30,769
2013-05-31,678
2013-06-01,752
2013-06-02,796
2013-06-03,830
2013-06-04,690
2013-06-05,631
2013-06-06,677
2013-06-07,835
2013-06-08,574
2013-06-09,746
2013-06-10,639
2013-06-11,778
2013-06-12,713
2013-06-13,596
2013-06-14,522
2013-06-15,449
2013-06-16,452
2013-06-17,505
2013-06-18,555
2013-06-19,562
2013-06-20,530
2013-06-21,527
2013-06-22,465
2013-06-23,425
2013-06-24,613
2013-06-25,554
2013-06-26,542
2013-06-27,488
2013-06-28,545
2013-06-29,461
2013-06-30,417
2013-07-01,660
2013-07-02,590
2013-07-03,765
2013-07-04,662
2013-07-05,639
2013-07-06,466
2013-07-07,442
2013-07-08,492
2013-07-09,543
2013-07-10,658
2013-07-11,738
2013-07-12,700
2013-07-13,517
2013-07-14,449
2013-07-15,635
2013-07-16,579
2013-07-17,525
2013-07-18,559
2013-07-19,560
2013-07-20,428
2013-07-21,469
2013-07-22,514
2013-07-23,555
2013-07-24,649
2013-07-25,619
2013-07-26,600
2013-07-27,488
2013-07-28,494
2013-07-29,691
2013-07-30,716
2013-07-31,757
2013-08-01,703
2013-08-02,614
2013-08-03,489
2013-08-04,487
2013-08-05,746
2013-08-06,714
2013-08-07,674
2013-08-08,643
2013-08-09,644
2013-08-10,533
2013-08-11,535
2013-08-12,601
2013-08-13,723
2013-08-14,825
2013-08-15,701
2013-08-16,673
2013-08-17,546
2013-08-18,547
2013-08-19,794
2013-08-20,690
2013-08-21,997
2013-08-22,848
2013-08-23,707
2013-08-24,610
2013-08-25,668
2013-08-26,752
2013-08-27,1088
2013-08-28,848
2013-08-29,710
2013-08-30,924
2013-08-31,858
2013-09-01,697
2013-09-02,780
2013-09-03,874
2013-09-04,945
2013-09-05,930
2013-09-06,876
2013-09-07,691
2013-09-08,646
2013-09-09,779
2013-09-10,848
2013-09-11,802
2013-09-12,952
2013-09-13,807
2013-09-14,586
2013-09-15,646
2013-09-16,774
2013-09-17,922
2013-09-18,847
2013-09-19,880
2013-09-20,769
2013-09-21,639
2013-09-22,598
2013-09-23,814
2013-09-24,852
2013-09-25,845
2013-09-26,892
2013-09-27,919
2013-09-28,802
2013-09-29,774
2013-09-30,879
2013-10-01,928
2013-10-02,1186
2013-10-03,664
2013-10-04,654
2013-10-05,587
2013-10-06,598
2013-10-07,682
2013-10-08,778
2013-10-09,870
2013-10-10,955
2013-10-11,804
2013-10-12,684
2013-10-13,839
2013-10-14,1060
2013-10-15,887
2013-10-16,1091
2013-10-17,878
2013-10-18,984
2013-10-19,1350
2013-10-20,948
2013-10-21,1525
2013-10-22,2368
2013-10-23,1673
2013-10-24,1685
2013-10-25,1566
2013-10-26,897
2013-10-27,871
2013-10-28,1118
2013-10-29,998
2013-10-30,1214
2013-10-31,1279
2013-11-01,1059
2013-11-02,966
2013-11-03,1026
2013-11-04,1498
2013-11-05,1823
2013-11-06,2033
2013-11-07,2163
2013-11-08,2210
2013-11-09,2561
2013-11-10,2320
2013-11-11,1922
2013-11-12,1852
2013-11-13,2071
2013-11-14,2349
2013-11-15,2051
2013-11-16,1632
2013-11-17,1747
2013-11-18,3464
2013-11-19,4156
2013-11-20,3059
2013-11-21,3207
2013-11-22,3195
2013-11-23,2840
2013-11-24,2236
2013-11-25,2868
2013-11-26,2897
2013-11-27,3351
2013-11-28,3229
2013-11-29,2924
2013-11-30,2302
2013-12-01,3075
2013-12-02,2881
2013-12-03,2369
2013-12-04,2800
2013-12-05,3160
2013-12-06,2845
2013-12-07,2988
2013-12-08,1912
2013-12-09,2380
2013-12-10,2270
2013-12-11,2259
2013-12-12,1902
2013-12-13,2050
2013-12-14,1669
2013-12-15,1775
2013-12-16,3143
2013-12-17,3443
2013-12-18,4131
