t,addresses_accumulation_balance
2010-09-23,464466.08
2010-09-24,470163.42
2010-09-25,475775.65
2010-09-26,474048.87
2010-09-27,474383.43
2010-09-28,552177.19000999
2010-09-29,554664.86000999
2010-09-30,561090.71000999
2010-10-01,515594.11000999
2010-10-02,513606.82000999
2010-10-03,509889.58000999
2010-10-04,546365.33000999
2010-10-05,468319.19000999
2010-10-06,462039.24000999
2010-10-07,456765.76000999
2010-10-08,456252.51000999
2010-10-09,448248.71000999
2010-10-10,498620.21000999
2010-10-11,499656.11000999
2010-10-12,498533.78000999
2010-10-13,499716.37000999
2010-10-14,447821.24000999
2010-10-15,440613.31000999
2010-10-16,427916.33000999
2010-10-17,428927.64000999
2010-10-18,430983.95000999
2010-10-19,433739.72000999
2010-10-20,435050.37000999
2010-10-21,477224.87000999
2010-10-22,485233.74000999
2010-10-23,486218.87000999
2010-10-24,489964.44000999
2010-10-25,493948.11000999
2010-10-26,517464.64000999
2010-10-27,516723.56000999
2010-10-28,531446.74000999
2010-10-29,523743.52000999
2010-10-30,516156.90000999
2010-10-31,527239.18000999
2010-11-01,511728.05000999
2010-11-02,511387.17000999
2010-11-03,523335.28000999
2010-11-04,520010.78000999
2010-11-05,527947.13000999
2010-11-06,543375.21000999
2010-11-07,545433.94000999
2010-11-08,506069.82000999
2010-11-09,474132.41000999
2010-11-10,473383.10000999
2010-11-11,472541.12000999
2010-11-12,466887.53000999
2010-11-13,464794.14000999
2010-11-14,467360.62000999
2010-11-15,470400.18000999
2010-11-16,469292.16000999
2010-11-17,477858.70000999
2010-11-18,478800.72
2010-11-19,473086.04
2010-11-20,472386.43
2010-11-21,484183.65
2010-11-22,485121.06
2010-11-23,489285.35
2010-11-24,492223.57
2010-11-25,502740.49
2010-11-26,501102.7
2010-11-27,499198.81
2010-11-28,504382.92
2010-11-29,506261.99
2010-11-30,427690.18
2010-12-01,437188.46
2010-12-02,466145.86
2010-12-03,470455.0
2010-12-04,464173.77
2010-12-05,469833.84
2010-12-06,471428.84
2010-12-07,472868.04
2010-12-08,478126.06
2010-12-09,467442.69
2010-12-10,473595.93
2010-12-11,490234.06
2010-12-12,491703.51
2010-12-13,487071.95
2010-12-14,483534.81
2010-12-15,469617.12
2010-12-16,468490.05
2010-12-17,467994.23
2010-12-18,460040.65
2010-12-19,461473.58
2010-12-20,470075.28
2010-12-21,460394.78
2010-12-22,459132.21
2010-12-23,458558.73
2010-12-24,460822.03
2010-12-25,459688.06
2010-12-26,458189.8
2010-12-27,462003.02
2010-12-28,462730.67
2010-12-29,462433.11
2010-12-30,464269.21
2010-12-31,466023.66
2011-01-01,465485.86
2011-01-02,465320.37
2011-01-03,475310.97
2011-01-04,476610.98
2011-01-05,485783.97
2011-01-06,486405.87
2011-01-07,487706.92
2011-01-08,488639.27234567
2011-01-09,489879.70097152
2011-01-10,492040.65
2011-01-11,494423.15
2011-01-12,495695.98
2011-01-13,487118.24
2011-01-14,489122.61
2011-01-15,490993.91
2011-01-16,501826.47883584
2011-01-17,527825.31883584
2011-01-18,540561.98883584
2011-01-19,550435.95883584
2011-01-20,559635.77883584
2011-01-21,563503.63883584
2011-01-22,556810.05883584
2011-01-23,577831.31883584
