t,addresses_non_zero_count
2010-11-15,58943
2010-11-16,59014
2010-11-17,59179
2010-11-18,59337
2010-11-19,59370
2010-11-20,59533
2010-11-21,59665
2010-11-22,59776
2010-11-23,59803
2010-11-24,59841
2010-11-25,60002
2010-11-26,60153
2010-11-27,60251
2010-11-28,60413
2010-11-29,60440
2010-11-30,60614
2010-12-01,60627
2010-12-02,60717
2010-12-03,60657
2010-12-04,60871
2010-12-05,61072
2010-12-06,61313
2010-12-07,61399
2010-12-08,61605
2010-12-09,61775
2010-12-10,61972
2010-12-11,62283
2010-12-12,62633
2010-12-13,62466
2010-12-14,62763
2010-12-15,63043
2010-12-16,63238
2010-12-17,63420
2010-12-18,63669
2010-12-19,63778
2010-12-20,63857
2010-12-21,64059
2010-12-22,64177
2010-12-23,64406
2010-12-24,64589
2010-12-25,64882
2010-12-26,65091
2010-12-27,65003
2010-12-28,65251
2010-12-29,65339
2010-12-30,65450
2010-12-31,65621
2011-01-01,65809
2011-01-02,65907
2011-01-03,65965
2011-01-04,66156
2011-01-05,66111
2011-01-06,66163
2011-01-07,66305
2011-01-08,66489
2011-01-09,66633
2011-01-10,66817
2011-01-11,66958
2011-01-12,67134
2011-01-13,67022
2011-01-14,66936
2011-01-15,67135
2011-01-16,67249
2011-01-17,67467
2011-01-18,67578
2011-01-19,67684
2011-01-20,67878
2011-01-21,67977
2011-01-22,68111
2011-01-23,68101
2011-01-24,68285
2011-01-25,68459
2011-01-26,68561
2011-01-27,68505
2011-01-28,68695
2011-01-29,68831
2011-01-30,68942
2011-01-31,69029
2011-02-01,69031
2011-02-02,69083
2011-02-03,69153
2011-02-04,69242
2011-02-05,69191
2011-02-06,69279
2011-02-07,69365
2011-02-08,69452
2011-02-09,69760
2011-02-10,70404
2011-02-11,71288
2011-02-12,72036
2011-02-13,72424
2011-02-14,72184
2011-02-15,72527
2011-02-16,72784
2011-02-17,73520
2011-02-18,73984
2011-02-19,74303
2011-02-20,74781
2011-02-21,75399
2011-02-22,75960
2011-02-23,76600
2011-02-24,77062
2011-02-25,77619
2011-02-26,77915
2011-02-27,78371
2011-02-28,78812
2011-03-01,79769
2011-03-02,80040
2011-03-03,80784
2011-03-04,81204
2011-03-05,81479
2011-03-06,81905
2011-03-07,82277
2011-03-08,82699
2011-03-09,82931
2011-03-10,83217
2011-03-11,83399
2011-03-12,83557
2011-03-13,83738
2011-03-14,83644
2011-03-15,83801
2011-03-16,83817
2011-03-17,84050
2011-03-18,84114
2011-03-19,84318
2011-03-20,84536
2011-03-21,85329
2011-03-22,85811
2011-03-23,87136
2011-03-24,87881
2011-03-25,88300
2011-03-26,88644
2011-03-27,89389
2011-03-28,89391
2011-03-29,89668
2011-03-30,89960
2011-03-31,90303
2011-04-01,90522
2011-04-02,90836
2011-04-03,91294
2011-04-04,91689
2011-04-05,92126
2011-04-06,92498
2011-04-07,92730
2011-04-08,93019
2011-04-09,93395
2011-04-10,93737
2011-04-11,93942
2011-04-12,94070
2011-04-13,94167
2011-04-14,95489
2011-04-15,95544
2011-04-16,94349
2011-04-17,94612
2011-04-18,94853
2011-04-19,95322
2011-04-20,95462
2011-04-21,95911
2011-04-22,96198
2011-04-23,96374
2011-04-24,96621
2011-04-25,97097
2011-04-26,97408
2011-04-27,97677
2011-04-28,98139
2011-04-29,98571
2011-04-30,99089
2011-05-01,99582
2011-05-02,99886
2011-05-03,100276
2011-05-04,100477
2011-05-05,100937
2011-05-06,101585
2011-05-07,101850
2011-05-08,102515
2011-05-09,102820
2011-05-10,103120
2011-05-11,103550
2011-05-12,103931
2011-05-13,104015
2011-05-14,104874
2011-05-15,105819
2011-05-16,108820
2011-05-17,110617
2011-05-18,112497
2011-05-19,114942
2011-05-20,116641
2011-05-21,117769
2011-05-22,118842
2011-05-23,119797
2011-05-24,121863
2011-05-25,124473
2011-05-26,125802
2011-05-27,126669
2011-05-28,127995
2011-05-29,128505
2011-05-30,130553
2011-05-31,132151
2011-06-01,133109
2011-06-02,133765
2011-06-03,134883
2011-06-04,137449
2011-06-05,139058
2011-06-06,140536
2011-06-07,141839
2011-06-08,141424
2011-06-09,143532
2011-06-10,145499
2011-06-11,147085
2011-06-12,148498
2011-06-13,150245
2011-06-14,152587
2011-06-15,154479
2011-06-16,156412
2011-06-17,158353
2011-06-18,161356
2011-06-19,164061
2011-06-20,167433
2011-06-21,171424
2011-06-22,175567
2011-06-23,178844
2011-06-24,181300
2011-06-25,183503
2011-06-26,185659
2011-06-27,188988
2011-06-28,191335
2011-06-29,194774
2011-06-30,196974
2011-07-01,205655
2011-07-02,220200
2011-07-03,224122
2011-07-04,227069
2011-07-05,229027
2011-07-06,232596
2011-07-07,236960
2011-07-08,242624
2011-07-09,247958
2011-07-10,258923
2011-07-11,263553
2011-07-12,268401
2011-07-13,275663
2011-07-14,285086
2011-07-15,291799
2011-07-16,296738
2011-07-17,303267
2011-07-18,305043
2011-07-19,310575
2011-07-20,315842
2011-07-21,322618
2011-07-22,327729
2011-07-23,333046
2011-07-24,338769
2011-07-25,345314
2011-07-26,349608
2011-07-27,355453
2011-07-28,361473
2011-07-29,367605
2011-07-30,373414
2011-07-31,380055
2011-08-01,386061
2011-08-02,388614
2011-08-03,389305
2011-08-04,389923
2011-08-05,395398
2011-08-06,400148
2011-08-07,405485
2011-08-08,406888
2011-08-09,411488
2011-08-10,412583
2011-08-11,413706
2011-08-12,414102
2011-08-13,416496
2011-08-14,420653
2011-08-15,421816
2011-08-16,422843
2011-08-17,425513
2011-08-18,429263
2011-08-19,434988
2011-08-20,440560
2011-08-21,446963
2011-08-22,454630
2011-08-23,460920
2011-08-24,466327
2011-08-25,472655
2011-08-26,475835
2011-08-27,478751
2011-08-28,483920
2011-08-29,486511
2011-08-30,487164
2011-08-31,487830
2011-09-01,488076
2011-09-02,488662
2011-09-03,489320
2011-09-04,490863
2011-09-05,492478
2011-09-06,492727
2011-09-07,493293
2011-09-08,493709
2011-09-09,492754
2011-09-10,491605
2011-09-11,492090
2011-09-12,492250
2011-09-13,492806
2011-09-14,493195
2011-09-15,493657
2011-09-16,494042
2011-09-17,494415
2011-09-18,494962
2011-09-19,495218
2011-09-20,499994
2011-09-21,499027
2011-09-22,502651
2011-09-23,509192
2011-09-24,515177
2011-09-25,522075
2011-09-26,527231
2011-09-27,532229
2011-09-28,532793
2011-09-29,533337
2011-09-30,533667
2011-10-01,533767
2011-10-02,534104
2011-10-03,534510
2011-10-04,534919
2011-10-05,535475
2011-10-06,535531
2011-10-07,535889
2011-10-08,536270
2011-10-09,536895
2011-10-10,537357
2011-10-11,538061
2011-10-12,538493
2011-10-13,539217
2011-10-14,539070
2011-10-15,539516
2011-10-16,539706
2011-10-17,539949
2011-10-18,540402
2011-10-19,540619
2011-10-20,541106
2011-10-21,541727
2011-10-22,542328
2011-10-23,543081
2011-10-24,543537
2011-10-25,544325
2011-10-26,544708
2011-10-27,545108
2011-10-28,545215
2011-10-29,545507
2011-10-30,545859
2011-10-31,546265
2011-11-01,547001
2011-11-02,547327
2011-11-03,547499
2011-11-04,547029
2011-11-05,547268
2011-11-06,547917
2011-11-07,548354
2011-11-08,548575
2011-11-09,549051
2011-11-10,549477
2011-11-11,549612
2011-11-12,549848
2011-11-13,550431
2011-11-14,550431
2011-11-15,550330
2011-11-16,550526
2011-11-17,550436
2011-11-18,550803
2011-11-19,551048
