t,transactions_transfers_volume_entity_adjusted_sum
2010-08-20,30809.01
2010-08-21,42065.54
2010-08-22,25433.35
2010-08-23,24697.75
2010-08-24,25901.24
2010-08-25,23327.62
2010-08-26,23877.73
2010-08-27,34131.72
2010-08-28,23146.8599979
2010-08-29,15648.22
2010-08-30,20459.3600009
2010-08-31,45058.119999
2010-09-01,32323.8199974
2010-09-02,32515.1400001
2010-09-03,28882.62
2010-09-04,32465.5
2010-09-05,88033.34
2010-09-06,81271.2399984
2010-09-07,24715.59
2010-09-08,23054.9999966
2010-09-09,34812.4699982
2010-09-10,20379.219998
2010-09-11,15450.1
2010-09-12,27299.6100003
2010-09-13,78959.9200001
2010-09-14,35011.39
2010-09-15,43039.88039648
2010-09-16,39257.11
2010-09-17,54410.34
2010-09-18,40362.13
2010-09-19,49840.99960352
2010-09-20,41636.75
2010-09-21,26978.7200001
2010-09-22,45974.72
2010-09-23,126807.73
2010-09-24,29824.84
2010-09-25,37451.96
2010-09-26,30797.75
2010-09-27,41526.94
2010-09-28,84435.37190149
2010-09-29,38723.77
2010-09-30,41868.29
2010-10-01,55813.69280516
2010-10-02,333733.41776813
2010-10-03,47460.27776625
2010-10-04,96145.37000099
2010-10-05,141162.2600001
2010-10-06,97752.22000109
2010-10-07,108869.64
2010-10-08,135460.77
2010-10-09,143576.13
2010-10-10,104639.78
2010-10-11,54100.33000109
2010-10-12,72137.6
2010-10-13,55516.2
2010-10-14,104330.73
2010-10-15,87275.18
2010-10-16,105809.74000109
2010-10-17,32834.98
2010-10-18,63923.0
2010-10-19,61544.05
2010-10-20,58261.37
2010-10-21,109621.55776615
2010-10-22,60918.8
2010-10-23,37085.81
2010-10-24,95123.25
2010-10-25,68580.97
2010-10-26,83213.72
2010-10-27,100542.05
2010-10-28,103335.0
2010-10-29,57460.84
2010-10-30,48528.91
2010-10-31,62417.16
2010-11-01,41458.23
2010-11-02,57016.26
2010-11-03,44863.97
2010-11-04,145054.41
2010-11-05,46587.91
2010-11-06,115519.92
2010-11-07,71569.44
2010-11-08,431250.06
2010-11-09,41131.92
2010-11-10,44487.53
2010-11-11,31394.72
2010-11-12,28315.63
2010-11-13,37150.52
2010-11-14,46049.0
2010-11-15,68787.24
2010-11-16,41413.44
2010-11-17,49815.98
2010-11-18,37858.38
2010-11-19,36612.81
2010-11-20,54307.2
2010-11-21,41432.84
2010-11-22,29902.89
2010-11-23,44723.2
2010-11-24,40514.1
