t,mining_miners_outflow_multiple
2011-07-17,2.8176293341817864
2011-07-18,3.7882264107772268
2011-07-19,2.653136803624236
2011-07-20,2.187232146957187
2011-07-21,2.1776531224258724
2011-07-22,2.194887808532883
2011-07-23,2.256846987503313
2011-07-24,2.231830256845433
2011-07-25,2.4821650106692923
2011-07-26,2.623345175299824
2011-07-27,2.658454258331513
2011-07-28,2.2171674573277333
2011-07-29,2.4770664887347054
2011-07-30,2.101463481676891
2011-07-31,2.3143341753649382
2011-08-01,2.4286294099746155
2011-08-02,2.3168857658588156
2011-08-03,1.9474107347630512
2011-08-04,1.4706668015336946
2011-08-05,1.39651590134941
2011-08-06,1.4370527449938657
2011-08-07,1.2560844060959655
2011-08-08,1.1240097261338764
2011-08-09,1.518047328083915
2011-08-10,1.5366899331041755
2011-08-11,1.285976776312077
2011-08-12,1.4340691127246954
2011-08-13,1.289899327279019
2011-08-14,1.4363669030130226
2011-08-15,1.3132888140244212
2011-08-16,1.4343448125589604
2011-08-17,1.7281208931902468
2011-08-18,1.893545870906056
2011-08-19,1.4341371374299687
2011-08-20,1.6603897780703525
2011-08-21,1.578089257906542
2011-08-22,1.841128564861106
2011-08-23,1.6134745773215033
2011-08-24,1.5249173507243658
2011-08-25,2.0826881963801287
2011-08-26,3.7367029202332396
2011-08-27,1.1914752430512674
2011-08-28,1.1902383796190505
2011-08-29,1.0020118063000079
2011-08-30,1.2678185357634764
2011-08-31,1.185352634716556
2011-09-01,1.4603238802411358
2011-09-02,1.120403749338156
2011-09-03,1.1643110147021771
2011-09-04,0.8417886001481357
2011-09-05,1.156066081652732
2011-09-06,1.0325026005395168
2011-09-07,1.5740875234916083
2011-09-08,1.290296633382576
2011-09-09,2.0492292338997875
2011-09-10,0.6314853559145944
2011-09-11,0.5761835276854788
2011-09-12,0.974804988516404
2011-09-13,0.638674526241341
2011-09-14,1.3851721393269159
2011-09-15,0.717029822021952
2011-09-16,0.40447350543176147
2011-09-17,0.6433675857592498
2011-09-18,0.7247048184024478
2011-09-19,0.6013255733935927
2011-09-20,0.8463977530816238
2011-09-21,0.6372714885046109
2011-09-22,0.6615353401702619
2011-09-23,0.6644930912904357
2011-09-24,0.6175886466321551
2011-09-25,0.506940056964144
2011-09-26,0.6856986374013907
2011-09-27,0.7079723972865554
2011-09-28,0.5896563432156685
2011-09-29,0.4576969772593512
2011-09-30,0.6228809612674394
2011-10-01,0.6282252251309168
2011-10-02,0.609367903887974
2011-10-03,0.6840694773954756
2011-10-04,0.48471698562491
2011-10-05,0.5446239255376494
2011-10-06,0.7944853070432136
2011-10-07,0.50614036892619
2011-10-08,0.42408064190487127
2011-10-09,0.5762906203940511
2011-10-10,0.5011936990167405
2011-10-11,0.3363498578805675
2011-10-12,0.4290114364606544
2011-10-13,0.39401383972068843
2011-10-14,0.5087908112457009
2011-10-15,0.42173214714319396
2011-10-16,0.5218670352855376
2011-10-17,0.4480034919162064
2011-10-18,0.3069769255326205
2011-10-19,0.2334441877019759
2011-10-20,0.27151806525068206
2011-10-21,0.2826557025140512
2011-10-22,0.34136798036069704
2011-10-23,0.3116735055836379
2011-10-24,0.2744670563664572
2011-10-25,0.23403783694636274
2011-10-26,0.24872747230446685
2011-10-27,0.3764957470940481
2011-10-28,0.229271624483623
2011-10-29,0.3759096908257925
2011-10-30,0.4875311188406855
2011-10-31,0.33007641319769176
2011-11-01,0.4804156121440382
2011-11-02,0.347399164479284
2011-11-03,0.5291880963411325
2011-11-04,0.5984989547878801
2011-11-05,0.40593268654504094
2011-11-06,0.3281308624880516
2011-11-07,0.30959785857732514
2011-11-08,0.3508739559038739
2011-11-09,0.6295148176727944
2011-11-10,0.4325247681930017
2011-11-11,0.4429663012488805
2011-11-12,0.6108059001533006
2011-11-13,0.46201680640381887
2011-11-14,0.6169803146707135
2011-11-15,0.47523086061421804
2011-11-16,0.34717195212495067
2011-11-17,0.49515833930267117
2011-11-18,0.25677204500177875
2011-11-19,0.2590990066082828
2011-11-20,0.4880426358934058
2011-11-21,0.3268577322617487
2011-11-22,0.668473848185133
2011-11-23,0.23277049329194993
2011-11-24,0.5007811908194653
2011-11-25,0.31504132464466716
2011-11-26,0.3270226861147176
2011-11-27,0.22787797951003735
2011-11-28,0.3932369345584428
2011-11-29,0.5687854152169843
2011-11-30,0.590011838034743
