t,distribution_gini
2010-01-01,0.323941044863246
2010-01-02,0.32538650441654
2010-01-03,0.327315546341301
2010-01-04,0.329286850856725
2010-01-05,0.33138472291603
2010-01-06,0.333072194227802
2010-01-07,0.334390397137946
2010-01-08,0.335621868962568
2010-01-09,0.336800950385124
2010-01-10,0.338918537503416
2010-01-11,0.340558450065675
2010-01-12,0.342639549597182
2010-01-13,0.344098939804321
2010-01-14,0.345491558288164
2010-01-15,0.347007555965886
2010-01-16,0.348323959285259
2010-01-17,0.349715010261411
2010-01-18,0.351293492364751
2010-01-19,0.353209109236372
2010-01-20,0.355553442816626
2010-01-21,0.357514866170378
2010-01-22,0.358934443161735
2010-01-23,0.360845334997745
2010-01-24,0.362446445188077
2010-01-25,0.364907308569542
2010-01-26,0.367014658187139
2010-01-27,0.368733752975569
2010-01-28,0.370442271083452
2010-01-29,0.372412454500398
2010-01-30,0.374690227493134
2010-01-31,0.376860512153324
2010-02-01,0.379182158813409
2010-02-02,0.380648855104001
2010-02-03,0.383180365704976
2010-02-04,0.385268210177234
2010-02-05,0.387442648012342
2010-02-06,0.389529720220726
2010-02-07,0.392086698638659
2010-02-08,0.393861927166702
2010-02-09,0.395680655124568
2010-02-10,0.397280184104828
2010-02-11,0.398574136611367
2010-02-12,0.400225932295854
2010-02-13,0.402335829700917
2010-02-14,0.404055656059337
2010-02-15,0.405475429793709
2010-02-16,0.407189381070057
2010-02-17,0.409300498028072
2010-02-18,0.41083445602604
2010-02-19,0.412272832139374
2010-02-20,0.414139583946394
2010-02-21,0.415581340345068
2010-02-22,0.417157832381128
2010-02-23,0.41920222242517
2010-02-24,0.420269883727919
2010-02-25,0.421029389009026
2010-02-26,0.42192899035461
2010-02-27,0.423097211664706
2010-02-28,0.424230170384208
2010-03-01,0.425528778110611
2010-03-02,0.426868346238532
2010-03-03,0.427942491091301
2010-03-04,0.428869143098812
2010-03-05,0.429672855644132
2010-03-06,0.430708218949224
2010-03-07,0.431837220429513
2010-03-08,0.432548371204055
2010-03-09,0.433322380604658
2010-03-10,0.434341488147924
2010-03-11,0.435296972945584
2010-03-12,0.435886147738684
2010-03-13,0.436795633964155
2010-03-14,0.43756395961076
2010-03-15,0.438153760104096
2010-03-16,0.438897556296175
2010-03-17,0.439567117925684
2010-03-18,0.440260872952472
2010-03-19,0.440869351859995
2010-03-20,0.442196980989555
2010-03-21,0.443104188292055
2010-03-22,0.443907113608071
2010-03-23,0.445037696854921
2010-03-24,0.445923799838764
2010-03-25,0.446669828824823
2010-03-26,0.44771300276818
2010-03-27,0.448719584418818
2010-03-28,0.449738923599525
2010-03-29,0.450733680507984
2010-03-30,0.451858077293135
2010-03-31,0.452961666392623
2010-04-01,0.453797210414924
2010-04-02,0.454520814315731
2010-04-03,0.455079521233762
2010-04-04,0.456054125629973
2010-04-05,0.456878964662107
2010-04-06,0.457576231724644
2010-04-07,0.458468371430335
2010-04-08,0.459211763468553
2010-04-09,0.460165678692604
2010-04-10,0.461775415358621
2010-04-11,0.463101734922384
2010-04-12,0.464508318993966
2010-04-13,0.465632892135156
2010-04-14,0.466360583256957
2010-04-15,0.467468215894149
2010-04-16,0.468312722997771
2010-04-17,0.469219575972683
2010-04-18,0.470242060182007
2010-04-19,0.471364686579
2010-04-20,0.47252483145921
2010-04-21,0.473621590989595
2010-04-22,0.474251538268229
