t,entities_new_count
2010-12-21,208
2010-12-22,215
2010-12-23,211
2010-12-24,160
2010-12-25,184
2010-12-26,169
2010-12-27,187
2010-12-28,232
2010-12-29,231
2010-12-30,239
2010-12-31,199
2011-01-01,244
2011-01-02,188
2011-01-03,226
2011-01-04,207
2011-01-05,242
2011-01-06,203
2011-01-07,242
2011-01-08,304
2011-01-09,261
2011-01-10,316
2011-01-11,311
2011-01-12,362
2011-01-13,356
2011-01-14,409
2011-01-15,401
2011-01-16,396
2011-01-17,358
2011-01-18,366
2011-01-19,403
2011-01-20,348
2011-01-21,555
2011-01-22,513
2011-01-23,484
2011-01-24,554
2011-01-25,391
2011-01-26,464
2011-01-27,388
2011-01-28,537
2011-01-29,618
2011-01-30,503
2011-01-31,631
2011-02-01,514
2011-02-02,409
2011-02-03,403
2011-02-04,488
2011-02-05,491
2011-02-06,424
2011-02-07,530
2011-02-08,459
2011-02-09,710
2011-02-10,1229
2011-02-11,1458
2011-02-12,1181
2011-02-13,1104
2011-02-14,1053
2011-02-15,931
2011-02-16,852
2011-02-17,1143
2011-02-18,1073
2011-02-19,855
2011-02-20,1003
2011-02-21,1049
2011-02-22,1055
2011-02-23,741
2011-02-24,716
2011-02-25,690
2011-02-26,826
2011-02-27,819
2011-02-28,777
2011-03-01,1398
2011-03-02,951
2011-03-03,1008
2011-03-04,765
2011-03-05,808
2011-03-06,737
2011-03-07,739
2011-03-08,738
2011-03-09,735
2011-03-10,676
2011-03-11,754
2011-03-12,702
2011-03-13,710
2011-03-14,679
2011-03-15,641
2011-03-16,706
2011-03-17,801
2011-03-18,849
2011-03-19,802
2011-03-20,814
2011-03-21,1361
2011-03-22,1127
2011-03-23,1933
2011-03-24,1163
2011-03-25,871
2011-03-26,871
2011-03-27,842
2011-03-28,854
2011-03-29,748
2011-03-30,790
2011-03-31,732
2011-04-01,627
2011-04-02,565
2011-04-03,710
2011-04-04,960
2011-04-05,876
2011-04-06,856
2011-04-07,656
2011-04-08,790
2011-04-09,767
2011-04-10,754
2011-04-11,824
2011-04-12,833
2011-04-13,735
2011-04-14,697
2011-04-15,731
2011-04-16,731
2011-04-17,795
2011-04-18,994
2011-04-19,1091
2011-04-20,929
2011-04-21,933
2011-04-22,934
2011-04-23,897
2011-04-24,933
2011-04-25,1111
2011-04-26,1019
2011-04-27,1192
2011-04-28,1311
2011-04-29,1251
2011-04-30,1598
2011-05-01,1444
2011-05-02,1135
