t,transactions_transfers_volume_miners_to_exchanges
2012-04-09,0.4
2012-04-10,0.4
2012-04-11,0.2
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.100579326136917
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,4.01544876552797
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.305848685446302
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,0.0
2012-05-15,0.0
2012-05-16,1.0
2012-05-17,0.0
2012-05-18,1.0
2012-05-19,1.15471782
2012-05-20,0.0486068987704729
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0917415599938327
2012-05-26,0.0415741434859361
2012-05-27,0.0
2012-05-28,2.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-02,3.84328081432304
2012-06-03,0.0
2012-06-04,1.57215094343675
2012-06-05,2.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,1.53372066374799
2012-06-10,0.0
2012-06-11,0.0
2012-06-12,0.469606500662671
2012-06-13,0.839148593010494
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.69015162758963
2012-06-18,5.64309938988017
2012-06-19,100.351705402631
2012-06-20,0.0
2012-06-21,7.96109385737309
2012-06-22,0.548265665388717
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,9.08327143817518
2012-06-27,0.195490769489173
2012-06-28,21.6007348880216
2012-06-29,0.0
2012-06-30,1.36881463291995
2012-07-01,0.0
2012-07-02,0.0
2012-07-03,50.0503415913901
2012-07-04,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-07,54.024693583657
2012-07-08,0.0
2012-07-09,101.771613079045
2012-07-10,25.3203901311004
2012-07-11,0.70166803873183
2012-07-12,1.441
2012-07-13,5.31085456236478e-05
2012-07-14,50.0111466531157
2012-07-15,10.1393285025538
2012-07-16,61.5518648037269
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,50.0522930578486
2012-07-20,14.908583330234
2012-07-21,0.0
2012-07-22,50.0302822377269
2012-07-23,0.0
2012-07-24,104.379514447191
2012-07-25,0.0
2012-07-26,0.0
2012-07-27,99.9017988397215
2012-07-28,38.1553302567482
2012-07-29,100.0
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,30.6093824344852
2012-08-04,0.339875141978254
2012-08-05,0.0
2012-08-06,4.74496613391774
2012-08-07,0.0
2012-08-08,10.2449363922601
2012-08-09,6.1110224658973
2012-08-10,0.0
2012-08-11,0.0
2012-08-12,0.0
2012-08-13,49.8932861034815
2012-08-14,105.738957403475
2012-08-15,49.9437883825514
2012-08-16,100.342284209416
2012-08-17,8.08994056250546
2012-08-18,0.0
2012-08-19,63.3159975918102
2012-08-20,199.940824511802
2012-08-21,0.444353596686231
2012-08-22,0.786926909843488
2012-08-23,9.0
2012-08-24,120.000524648446
2012-08-25,0.406192738487623
2012-08-26,0.0
2012-08-27,6.64654818
