t,transactions_transfers_volume_to_exchanges_sum
2012-05-27,1509.03520007
2012-05-28,51.84358775
2012-05-29,3346.42940901
2012-05-30,2981.6430289
2012-05-31,1608.56554396
2012-06-01,200.88211261
2012-06-02,485.54030673
2012-06-03,1191.4233
2012-06-04,600.79783198
2012-06-05,2818.9094136
2012-06-06,2265.78109997
2012-06-07,5930.89826344
2012-06-08,2228.16030055
2012-06-09,2318.55359615
2012-06-10,587.48306929
2012-06-11,6586.89802327
2012-06-12,12717.03089617
2012-06-13,4222.50289513
2012-06-14,13609.90595879
2012-06-15,2446.98836049
2012-06-16,1478.05299207
2012-06-17,1254.19371789
2012-06-18,1245.12026384
2012-06-19,5777.52712421
2012-06-20,2127.99002357
2012-06-21,6222.24145097
2012-06-22,10742.82461142
2012-06-23,2390.06947176
2012-06-24,571.57678412
2012-06-25,6582.97906055
2012-06-26,7157.46200139
2012-06-27,14185.65489951
2012-06-28,2870.10600861
2012-06-29,3751.26227462
2012-06-30,1063.64564385
2012-07-01,460.63268528
2012-07-02,11447.26251327
2012-07-03,1400.52889613
2012-07-04,6056.5148371
2012-07-05,2249.77015767
2012-07-06,1772.16876986
2012-07-07,136.84180166
2012-07-08,1511.93661394
2012-07-09,955.07726068
2012-07-10,1417.87957367
2012-07-11,571.88696651
2012-07-12,3700.10002685
2012-07-13,2811.32819654
2012-07-14,299.8534011
2012-07-15,3384.01217079
2012-07-16,2827.88705359
2012-07-17,5806.22365129
2012-07-18,4460.53526577
2012-07-19,2436.04778895
2012-07-20,2124.52521088
2012-07-21,2582.70962224
2012-07-22,1688.90418727
2012-07-23,1931.26145531
2012-07-24,3693.64879736
2012-07-25,5802.26799792
2012-07-26,768.73203144
2012-07-27,5276.46215571
2012-07-28,1591.00419986
2012-07-29,804.05096114
2012-07-30,1569.99641478
2012-07-31,415.10553769
2012-08-01,2691.33551341
2012-08-02,3794.73518267
2012-08-03,1595.65235915
2012-08-04,822.30100704
2012-08-05,5813.92056457
2012-08-06,1493.16752644
2012-08-07,1261.6202101
2012-08-08,3016.99605268
2012-08-09,2908.28187209
2012-08-10,2001.40145416
2012-08-11,662.60219362
2012-08-12,554.23915729
2012-08-13,3742.32678551
2012-08-14,2210.1117063
2012-08-15,802.11111233
2012-08-16,1846.70976182
2012-08-17,5766.83523386
2012-08-18,2555.24243447
2012-08-19,2745.05633913
2012-08-20,1755.67913849
2012-08-21,2737.06889588
2012-08-22,7029.39588377
2012-08-23,2308.38941506
2012-08-24,1955.82611641
2012-08-25,990.41011407
2012-08-26,1399.89060839
2012-08-27,2872.88318391
2012-08-28,2251.53832312
2012-08-29,23719.1098025
2012-08-30,3462.36997976
2012-08-31,1593.58336109
2012-09-01,424.44550991
2012-09-02,1213.06613354
2012-09-03,1610.99529982
2012-09-04,2297.97188688
2012-09-05,1716.31073214
2012-09-06,2844.4014549
2012-09-07,2290.43705748
2012-09-08,1764.44228631
2012-09-09,964.36178438
2012-09-10,1737.93735869
2012-09-11,3386.60748005
2012-09-12,2062.02225141
2012-09-13,2040.25638089
2012-09-14,1691.95250151
2012-09-15,619.00272383
2012-09-16,729.44548323
2012-09-17,744.58878934
2012-09-18,3788.11531011
2012-09-19,2203.96762238
2012-09-20,1544.9581646
2012-09-21,6160.13150243
2012-09-22,1354.08422605
2012-09-23,1284.91646727
2012-09-24,2096.10930045
2012-09-25,2460.94737248
2012-09-26,3035.13753334
2012-09-27,2270.51257581
2012-09-28,2423.92002275
2012-09-29,641.29074539
2012-09-30,522.90814367
2012-10-01,2270.71486276
2012-10-02,2917.30184518
2012-10-03,5624.36317659
2012-10-04,3824.95408734
2012-10-05,7238.82781931
2012-10-06,2115.05565759
2012-10-07,4619.89336134
2012-10-08,3910.825629
2012-10-09,1447.87360685
2012-10-10,2643.23446534
2012-10-11,1591.52593725
2012-10-12,1553.48889588
2012-10-13,1228.07970502
2012-10-14,918.47723415
2012-10-15,1490.37643358
2012-10-16,3550.66148358
2012-10-17,1875.45476263
2012-10-18,2371.72670142
2012-10-19,1815.87583244
2012-10-20,649.60364103
2012-10-21,1411.16975496
2012-10-22,3518.7033127
2012-10-23,5426.79836217
2012-10-24,8882.31399528
2012-10-25,6801.02411552
2012-10-26,3644.4657841
2012-10-27,1173.36527438
2012-10-28,6176.24127715
2012-10-29,1058.42015894
2012-10-30,2260.8451382
2012-10-31,2782.2095878
2012-11-01,2129.36357556
2012-11-02,1644.35925529
2012-11-03,2442.35433022
2012-11-04,2788.27414094
2012-11-05,7319.07513586
2012-11-06,1954.2529202
2012-11-07,7002.25251207
2012-11-08,9054.92371574
2012-11-09,4191.66753202
2012-11-10,1133.07648193
2012-11-11,505.99521651
2012-11-12,1109.62224395
2012-11-13,1982.61397592
2012-11-14,1580.59087025
2012-11-15,2764.97264061
2012-11-16,7593.3239693
2012-11-17,1200.76899768
2012-11-18,1153.68535091
2012-11-19,5000.16003042
2012-11-20,4907.3675059
2012-11-21,1896.88107662
2012-11-22,12072.51652608
2012-11-23,3212.97399419
2012-11-24,2669.72261723
2012-11-25,823.9610628
2012-11-26,3554.89924045
2012-11-27,3268.17279225
2012-11-28,4259.65446843
2012-11-29,3630.33564535
2012-11-30,3291.45892572
2012-12-01,1982.21625179
2012-12-02,2449.88859221
2012-12-03,3760.85933334
2012-12-04,5421.3195145
2012-12-05,9200.94472518
2012-12-06,4720.61201214
2012-12-07,3458.37228869
2012-12-08,1219.82391649
2012-12-09,1126.42379626
2012-12-10,2703.99752222
2012-12-11,3550.67441669
2012-12-12,3198.63648663
2012-12-13,3963.20223818
2012-12-14,5517.48799487
2012-12-15,1795.41317208
2012-12-16,2168.42352212
2012-12-17,4337.63920072
2012-12-18,5516.25566166
2012-12-19,3308.40064934
2012-12-20,2940.83064561
2012-12-21,2117.91175994
2012-12-22,1674.8822418
2012-12-23,1333.43302196
2012-12-24,2181.93628328
2012-12-25,1778.86287999
2012-12-26,1477.95510065
2012-12-27,4622.07034781
2012-12-28,1888.82075876
2012-12-29,1192.18104659
2012-12-30,855.26621667
2012-12-31,3635.75026157
2013-01-01,189.08777852
2013-01-02,3274.88853539
2013-01-03,1917.75041303
2013-01-04,3112.89527586
2013-01-05,2482.87133287
2013-01-06,857.36737182
2013-01-07,1829.34662717
2013-01-08,7413.14017568
2013-01-09,1892.76299657
2013-01-10,3077.55374107
2013-01-11,3420.74366586
2013-01-12,2388.77558039
2013-01-13,2562.79066337
2013-01-14,2819.96258827
2013-01-15,5466.6310815
2013-01-16,8254.59462119
2013-01-17,4353.42106872
2013-01-18,4464.89461198
2013-01-19,1348.04706155
2013-01-20,1393.79750558
2013-01-21,4420.10336118
2013-01-22,5141.06865427
2013-01-23,4318.50084879
2013-01-24,7938.38120283
2013-01-25,5472.40437552
2013-01-26,1271.58412449
2013-01-27,2341.91207603
2013-01-28,2904.31050368
2013-01-29,6317.77385408
2013-01-30,3720.39163243
2013-01-31,3143.21913159
2013-02-01,5479.12333245
2013-02-02,4119.84493479
2013-02-03,1079.11085585
2013-02-04,2964.67493406
2013-02-05,2531.13770085
2013-02-06,8445.01003795
2013-02-07,1673.75706102535
2013-02-08,5915.70844889
2013-02-09,3002.20693629
2013-02-10,1322.60696899
2013-02-11,3571.03362870571
2013-02-12,4717.56704625
2013-02-13,5519.59268785
2013-02-14,6250.78196199
2013-02-15,5909.15568409
2013-02-16,2852.89251999
2013-02-17,6801.12507328
2013-02-18,3293.53564822
2013-02-19,4073.3261659
2013-02-20,2309.56234279
2013-02-21,4429.19653155
2013-02-22,4594.23769922195
2013-02-23,3193.73780427
2013-02-24,800.1204542
2013-02-25,13964.47771274
2013-02-26,6903.88895933977
2013-02-27,2485.45403568
2013-02-28,10701.6424136552
2013-03-01,4108.35269101855
2013-03-02,3439.09428998
2013-03-03,1066.13533825387
2013-03-04,6316.2922325
2013-03-05,8045.86446138
2013-03-06,7571.32371955
2013-03-07,9622.75711257
2013-03-08,5422.60938854
2013-03-09,2937.98792219
2013-03-10,1780.89693389
2013-03-11,2037.89345847604
2013-03-12,5553.93658916
2013-03-13,1794.23607506
2013-03-14,2928.48504748
2013-03-15,1842.81561207658
2013-03-16,1408.72266209
2013-03-17,792.626376178199
2013-03-18,2480.26121649
2013-03-19,4398.20554455
2013-03-20,6837.07223298
2013-03-21,7063.67913596
2013-03-22,5243.23915718
2013-03-23,9482.77306717481
2013-03-24,2129.63754905
2013-03-25,5977.80312864
2013-03-26,6376.36526855
2013-03-27,3342.87540957367
2013-03-28,5612.1569973672
2013-03-29,3527.79993699
2013-03-30,1228.55325645237
2013-03-31,2211.85696156
2013-04-01,3691.95421288025
2013-04-02,8435.44213488247
2013-04-03,6434.50671466
2013-04-04,5457.54203817883
2013-04-05,6156.58291592942
2013-04-06,2581.47394046068
2013-04-07,2883.20419995473
2013-04-08,5063.47454452
2013-04-09,7268.64845156189
2013-04-10,14203.1906067465
2013-04-11,25100.51513197
2013-04-12,15736.45694702
2013-04-13,7008.13511175
2013-04-14,5365.44477851
2013-04-15,10763.949677204
2013-04-16,11939.3270664087
2013-04-17,9284.87859702
2013-04-18,6452.037361333
2013-04-19,7795.92740074788
2013-04-20,10469.0752550267
2013-04-21,5135.02061408589
2013-04-22,4645.81658868938
2013-04-23,6303.75569076751
2013-04-24,6126.33326744059
2013-04-25,4725.97126365409
2013-04-26,4507.8174747548
2013-04-27,5843.12123804024
2013-04-28,3452.87092624256
2013-04-29,3959.37257118775
2013-04-30,3780.91338842
2013-05-01,10957.7680146734
2013-05-02,9660.30304530992
2013-05-03,12356.803808117
2013-05-04,4927.07681398197
2013-05-05,2723.87020622276
2013-05-06,9135.17689485848
2013-05-07,7145.97935822436
2013-05-08,5081.9123745982
2013-05-09,4379.10958243049
2013-05-10,7304.38123933168
2013-05-11,2132.20132805638
2013-05-12,3904.45684134044
2013-05-13,2519.97141687463
2013-05-14,7050.38763155772
2013-05-15,8264.61900066849
2013-05-16,13411.3391090986
2013-05-17,6308.97393113377
2013-05-18,5129.61672781521
2013-05-19,5380.72130112287
2013-05-20,4266.19002427855
2013-05-21,3652.52790092051
2013-05-22,7061.03769648316
2013-05-23,6401.96362039126
2013-05-24,13200.1904419909
2013-05-25,2256.47856231461
2013-05-26,2239.16229788878
2013-05-27,5230.22375282568
2013-05-28,4125.7251433499
2013-05-29,5000.49527619136
2013-05-30,5290.66587562147
2013-05-31,5533.27374760004
2013-06-01,3463.54308142124
2013-06-02,8375.51949492801
2013-06-03,8267.15615939115
2013-06-04,5311.86523485291
2013-06-05,2770.79208583238
2013-06-06,5055.23144032768
2013-06-07,11386.7560658973
2013-06-08,6762.1982434951
2013-06-09,12803.0268641223
2013-06-10,8294.14547118071
2013-06-11,3919.52514641009
2013-06-12,4040.39973521108
2013-06-13,9189.7161863208
2013-06-14,4794.37624616063
2013-06-15,1932.27848096715
2013-06-16,8110.60724864757
2013-06-17,3575.45810561322
2013-06-18,4020.2195716485
2013-06-19,3315.34167424136
2013-06-20,8636.40700797791
2013-06-21,36615.7605735652
2013-06-22,4414.29926141307
2013-06-23,2611.6112902115
2013-06-24,8178.4358140534
2013-06-25,10270.967008949
2013-06-26,3472.92953524205
2013-06-27,8491.70628553421
2013-06-28,10324.8311953539
2013-06-29,2847.40226104651
2013-06-30,4384.65834161516
2013-07-01,19730.336141498
2013-07-02,10043.8818359352
2013-07-03,12549.8993323881
2013-07-04,16144.5585125956
2013-07-05,17140.1354588952
2013-07-06,8731.60799454021
2013-07-07,3221.81480231824
2013-07-08,6512.2882150923
2013-07-09,9132.07939809953
2013-07-10,15956.6093600531
2013-07-11,8993.62315240046
2013-07-12,11584.2992377651
2013-07-13,7862.39563719198
2013-07-14,5496.43299065271
2013-07-15,9373.64780361006
2013-07-16,6993.99893554444
2013-07-17,8503.76182851257
2013-07-18,39411.627017458
2013-07-19,11702.1233143803
2013-07-20,5660.01543648462
2013-07-21,3221.52937683083
2013-07-22,10684.3224810217
2013-07-23,6262.2494283659
2013-07-24,7606.58834866626
2013-07-25,5737.52375603545
2013-07-26,5599.02068492784
2013-07-27,5158.57714578745
2013-07-28,6888.12358522051
2013-07-29,14246.9843803375
2013-07-30,8191.48686759189
2013-07-31,15025.3668399858
2013-08-01,5922.29662643887
2013-08-02,12006.7353798133
2013-08-03,10585.0040328
2013-08-04,1423.20256884046
2013-08-05,20155.7733075454
2013-08-06,7107.04760714579
2013-08-07,13875.0759591356
2013-08-08,12349.7600408948
2013-08-09,8176.18860427518
2013-08-10,10100.8080451484
2013-08-11,1946.70858282557
2013-08-12,4699.75480770131
2013-08-13,9923.5846857207
2013-08-14,12295.5783148719
2013-08-15,11056.3193674697
2013-08-16,9535.52008107907
2013-08-17,10591.8890383069
2013-08-18,4737.5520261979
2013-08-19,11294.0744976041
2013-08-20,12572.5755789467
2013-08-21,19013.6818025308
2013-08-22,15218.9256635599
2013-08-23,17265.150939972
2013-08-24,2855.07666656536
2013-08-25,6063.0195047687
2013-08-26,15202.5628247256
2013-08-27,13906.0354212227
2013-08-28,9627.979467507
2013-08-29,9333.84234312093
2013-08-30,10838.8947239742
2013-08-31,11509.6361388395
2013-09-01,6053.78340186805
2013-09-02,11069.0828264429
2013-09-03,13483.0390614915
2013-09-04,12431.9349957786
2013-09-05,19700.0978617308
2013-09-06,12065.7419522362
2013-09-07,8638.41550765436
2013-09-08,5638.27198940956
2013-09-09,9983.20535386579
2013-09-10,5587.64207620167
2013-09-11,7981.21864157246
2013-09-12,14054.7684260131
2013-09-13,13352.928670077
2013-09-14,7849.72318156538
2013-09-15,2255.19691796501
2013-09-16,5835.69905018019
2013-09-17,10362.3433021499
2013-09-18,18276.6020886526
2013-09-19,8860.9400196649
2013-09-20,8579.95236544515
2013-09-21,3993.18894969581
2013-09-22,2273.98358221723
2013-09-23,10745.038567127
2013-09-24,7950.84304858016
2013-09-25,8324.28097234608
2013-09-26,8419.46272775326
2013-09-27,10736.9704198123
2013-09-28,8383.09433584992
2013-09-29,6195.86669696967
2013-09-30,9130.35176755412
2013-10-01,48291.0208572132
2013-10-02,40001.2873058709
2013-10-03,17807.9250657566
2013-10-04,15090.9688333647
2013-10-05,3421.59701659527
2013-10-06,9443.64136936697
2013-10-07,10044.8798818264
2013-10-08,11127.6074390326
2013-10-09,20907.3036678322
2013-10-10,11654.5509772138
2013-10-11,5258.94008257693
2013-10-12,13040.7640125974
2013-10-13,9618.54578319658
2013-10-14,42572.1211497939
2013-10-15,9245.40641778404
2013-10-16,18492.8307846954
2013-10-17,11252.9211678965
2013-10-18,15843.1356719504
2013-10-19,18499.8253481011
2013-10-20,16416.3241456303
2013-10-21,23737.6625254567
2013-10-22,37521.1559453213
2013-10-23,15522.9018827136
2013-10-24,24636.1710245446
2013-10-25,18805.6085022264
2013-10-26,12441.2695174293
2013-10-27,9087.17873445031
2013-10-28,8015.58232848346
2013-10-29,12126.6597378945
2013-10-30,21230.2392898244
2013-10-31,12043.2044387459
2013-11-01,7153.22517182751
2013-11-02,5030.09727206687
2013-11-03,4892.52209376643
2013-11-04,106510.905863926
2013-11-05,30286.6597320324
2013-11-06,21316.8164704401
2013-11-07,31045.962454349
2013-11-08,33757.329715344
2013-11-09,28336.1893201735
2013-11-10,20339.8189418544
2013-11-11,11998.1454429568
2013-11-12,20865.1561026304
2013-11-13,27624.3558416342
2013-11-14,22049.9381656807
2013-11-15,16160.6735011268
2013-11-16,15704.0103904329
2013-11-17,18299.1456679803
2013-11-18,24909.5557972944
2013-11-19,38022.1953726116
2013-11-20,25050.5795731103
2013-11-21,21492.155016789
2013-11-22,22766.8910569726
2013-11-23,32592.9798271099
2013-11-24,14314.7977189274
2013-11-25,22524.5277039032
2013-11-26,77731.5011360277
2013-11-27,25286.7752914218
2013-11-28,28308.1322342977
2013-11-29,66298.8507535362
2013-11-30,13097.7041729032
2013-12-01,28607.1757671257
2013-12-02,18261.7603331429
2013-12-03,6648.3873258479
2013-12-04,10088.9926968642
2013-12-05,29448.729257446
2013-12-06,23836.7895305566
2013-12-07,26590.7657253965
2013-12-08,16716.5853686493
2013-12-09,11139.9588177041
2013-12-10,10326.3574281558
2013-12-11,10055.0291625431
2013-12-12,9481.83427320538
2013-12-13,9754.59766743112
2013-12-14,5175.5339086878
2013-12-15,8663.20660189598
2013-12-16,23120.0532898921
2013-12-17,21932.5347471081
2013-12-18,51353.3695884269
2013-12-19,26823.0701587406
2013-12-20,21670.091077327
2013-12-21,11071.0155105469
2013-12-22,18943.8273004537
2013-12-23,7926.0278707597
2013-12-24,8545.50344023751
2013-12-25,9977.9938024748
2013-12-26,13260.761413033
2013-12-27,10754.0430479824
2013-12-28,5885.59596654183
2013-12-29,5511.34247106556
2013-12-30,14277.5658319038
2013-12-31,6829.50008937618
2014-01-01,6701.29691307045
2014-01-02,9215.4019368137
2014-01-03,16796.0456570444
2014-01-04,5897.5523209008
2014-01-05,20719.0883080389
2014-01-06,17617.5648688539
2014-01-07,15917.6112998792
2014-01-08,16191.1277393551
2014-01-09,8593.31491312016
2014-01-10,4930.30643041716
2014-01-11,8567.77748836499
2014-01-12,8949.35223753551
2014-01-13,24179.2935764335
2014-01-14,5946.48347815934
2014-01-15,7882.06054606358
2014-01-16,7481.80128277476
2014-01-17,9665.34551996141
2014-01-18,5945.455263891
2014-01-19,6755.60511778072
2014-01-20,10058.5407033087
2014-01-21,9666.7986813935
2014-01-22,7596.42322218512
2014-01-23,7970.89685373772
2014-01-24,10797.8435993616
2014-01-25,6317.16263243422
2014-01-26,7325.295389198
2014-01-27,21131.4832511937
2014-01-28,13913.1580837811
2014-01-29,7470.72440249718
2014-01-30,7390.80652120141
2014-01-31,7505.83438128844
2014-02-01,6492.48641420294
2014-02-02,6299.09365726518
2014-02-03,4734.59662804274
2014-02-04,6092.67952210237
2014-02-05,4041.44597822258
2014-02-06,9815.57161319145
2014-02-07,43062.7096354314
2014-02-08,10742.2368741651
2014-02-09,9078.51540651465
2014-02-10,31925.0981550702
2014-02-11,18193.8842367709
2014-02-12,9617.13086047896
2014-02-13,11562.1074544388
2014-02-14,19174.0690131602
2014-02-15,10936.7211443352
2014-02-16,17364.3856958717
2014-02-17,13128.6128724916
2014-02-18,13479.7823165884
2014-02-19,9503.00201496273
2014-02-20,16137.8235891794
2014-02-21,13285.0957367236
2014-02-22,11788.6070925201
2014-02-23,12571.1158150158
2014-02-24,46833.6774205882
2014-02-25,79066.6667503558
2014-02-26,19961.2587239617
2014-02-27,15940.0966008689
2014-02-28,12157.6613870478
2014-03-01,8359.99363994245
2014-03-02,7392.63682569347
2014-03-03,27530.997893763
2014-03-04,30280.7026113937
2014-03-05,15231.5841078202
2014-03-06,14153.5394139655
2014-03-07,10844.1374282283
2014-03-08,9622.1655547709
2014-03-09,5403.87781499758
2014-03-10,16499.320563486
2014-03-11,8172.60730274859
2014-03-12,14729.2500268562
2014-03-13,12932.8166857067
2014-03-14,10670.2706988813
2014-03-15,6852.4819620327
2014-03-16,4012.45636200133
2014-03-17,14328.9184799155
2014-03-18,13828.2607500839
2014-03-19,8479.75698680731
2014-03-20,13979.7311318415
2014-03-21,20406.3020405997
2014-03-22,9905.36274948116
2014-03-23,5218.30640654906
2014-03-24,12989.6797253763
2014-03-25,17130.5039090228
2014-03-26,18768.183871865
2014-03-27,49920.8051832578
2014-03-28,42590.0678921847
2014-03-29,14679.8188036237
2014-03-30,31379.2464677695
2014-03-31,39465.237450111
2014-04-01,18489.0821427426
2014-04-02,19371.7945126168
2014-04-03,22486.9485415647
2014-04-04,22092.2105975668
2014-04-05,17795.893113112
2014-04-06,10736.2869070679
2014-04-07,9554.18025266494
2014-04-08,8015.12659157739
2014-04-09,13789.5565962406
2014-04-10,47367.1745066774
2014-04-11,25120.3980576443
2014-04-12,10134.2362912467
2014-04-13,8971.21872769241
2014-04-14,16358.470153532
2014-04-15,20748.6360977587
2014-04-16,16416.2956506167
2014-04-17,23055.9734528586
2014-04-18,13469.6190157304
2014-04-19,7278.65484920752
2014-04-20,6434.50151010045
2014-04-21,13785.5415400531
2014-04-22,17617.4647079858
2014-04-23,10403.2591264291
2014-04-24,12394.4941426052
2014-04-25,24378.9308287682
2014-04-26,12793.5957895577
2014-04-27,12694.1573059865
2014-04-28,20878.9147444339
2014-04-29,22654.6689766956
2014-04-30,10766.7298578694
2014-05-01,10402.877808208
2014-05-02,7405.67858681803
2014-05-03,13016.2355445436
2014-05-04,11046.5168907243
2014-05-05,14751.9026796172
2014-05-06,8040.60193807145
2014-05-07,10882.3807309556
2014-05-08,10004.4541686932
2014-05-09,10788.749514057
2014-05-10,9241.2138261044
2014-05-11,9244.7600825403
2014-05-12,22406.2626009128
2014-05-13,8151.16941093891
2014-05-14,12525.3809241678
2014-05-15,16843.8455567976
2014-05-16,11677.4674407084
2014-05-17,3186.51272044301
