t,addresses_profit_relative
2010-07-18,0.9993868557194865
2010-07-19,0.9903265274910148
2010-07-20,0.9849053726962588
2010-07-21,0.9894698758473608
2010-07-22,0.9780901434099704
2010-07-23,0.9744704992435703
2010-07-24,0.9665237996337066
2010-07-25,0.00032047656750744635
2010-07-26,0.9680259587468453
2010-07-27,0.9671929192805564
2010-07-28,0.9651935270180751
2010-07-29,0.9845149851939871
2010-07-30,0.977926774144945
2010-07-31,0.9793725342851776
2010-08-01,0.9667003972715689
2010-08-02,0.9519998504085716
2010-08-03,0.9493443908999215
2010-08-04,0.9407876361605064
2010-08-05,0.9588458251272713
2010-08-06,0.9683090747066686
2010-08-07,0.9389569413511507
2010-08-08,0.9499935176782175
2010-08-09,0.9863707813222377
2010-08-10,0.9752728481468487
2010-08-11,0.971741616556609
2010-08-12,0.9821349801499779
2010-08-13,0.9614247681997613
2010-08-14,0.9689644445257746
2010-08-15,0.9592108868389807
2010-08-16,0.9599452554744525
2010-08-17,0.9818976507011473
2010-08-18,0.9684802796897192
2010-08-19,0.9591517816582777
2010-08-20,0.9516740767625442
2010-08-21,0.9557808963331824
2010-08-22,0.9550608532108432
2010-08-23,0.9423250605108197
2010-08-24,0.940683162602799
2010-08-25,0.9371560128062161
2010-08-26,0.9329136690647482
2010-08-27,0.936395315418882
2010-08-28,0.9318666738385958
2010-08-29,0.9273309366672032
2010-08-30,0.9290255750821546
2010-08-31,0.8932283295831994
2010-09-01,0.9066935311318736
2010-09-02,0.9236457590876693
2010-09-03,0.89601408050064
2010-09-04,0.9184651426948743
2010-09-05,0.9010620755687158
2010-09-06,0.8996315453836888
2010-09-07,0.8980421979732239
2010-09-08,0.8954114510690137
2010-09-09,0.891084396813086
2010-09-10,0.8963527279764942
2010-09-11,0.9318932209343168
2010-09-12,0.89134292692355
2010-09-13,0.9050961673452197
2010-09-14,0.8950134912569646
2010-09-15,0.8714400671751452
2010-09-16,0.8886673662119622
2010-09-17,0.8639788732394367
2010-09-18,0.8778105677346824
2010-09-19,0.9157022180853867
2010-09-20,0.8992515730986977
2010-09-21,0.9098346296685587
2010-09-22,0.8927353789666929
2010-09-23,0.8944206758054658
2010-09-24,0.8913770868913596
2010-09-25,0.8873121724444135
2010-09-26,0.8885237350026083
2010-09-27,0.886882096069869
2010-09-28,0.8733469423981539
2010-09-29,0.8681895573212258
2010-09-30,0.868676319609162
2010-10-01,0.8715151943712766
2010-10-02,0.8607657530375812
2010-10-03,0.8554142486726757
2010-10-04,0.8572336481595905
2010-10-05,0.8578609474761014
2010-10-06,0.9087402240541111
2010-10-07,0.9688452123069337
2010-10-08,0.9961723669588838
2010-10-09,0.999100576689064
2010-10-10,0.9980813237106143
2010-10-11,0.9953065672901139
2010-10-12,0.9936267710729146
2010-10-13,0.9988728822514177
2010-10-14,0.9950939016670184
2010-10-15,0.997735491345715
2010-10-16,0.9897708098987626
2010-10-17,0.9862686985953036
2010-10-18,0.9851250371874071
2010-10-19,0.9742047930283224
2010-10-20,0.9753904483634214
2010-10-21,0.9986788582553976
2010-10-22,0.9956075626312957
2010-10-23,0.9893303772473759
2010-10-24,0.9966149701219301
2010-10-25,0.9982059995514999
2010-10-26,0.9955150786150013
2010-10-27,0.9991930637822989
2010-10-28,0.9900281477413154
2010-10-29,0.9976156986517548
2010-10-30,0.9998287993699817
2010-10-31,0.9948316875738025
2010-11-01,0.9983934095609223
2010-11-02,0.9933982702444516
2010-11-03,0.9911606914757728
2010-11-04,0.9978392173543174
2010-11-05,0.9998637671781074
2010-11-06,0.9996432212028542
2010-11-07,0.9947783334746122
2010-11-08,0.988279643591501
2010-11-09,0.9830119925410159
2010-11-10,0.9870969944189381
2010-11-11,0.9818048747276689
2010-11-12,0.9928805668360151
2010-11-13,0.9904130043777786
2010-11-14,0.9899663276759294
2010-11-15,0.9821371015623674
2010-11-16,0.9709928837682141
2010-11-17,0.9772408549463546
2010-11-18,0.9814973964915829
2010-11-19,0.9849265696577741
2010-11-20,0.9926434773845715
2010-11-21,0.980342209783647
2010-11-22,0.991987554782376
2010-11-23,0.9876941597418448
2010-11-24,0.9852122913429244
2010-11-25,0.9749533395547261
2010-11-26,0.9911235226649379
2010-11-27,0.9783261695736595
2010-11-28,0.9564871977358116
2010-11-29,0.9423286900704761
2010-11-30,0.9347245133619267
2010-12-01,0.947173981165372
2010-12-02,0.9577590040017786
2010-12-03,0.9552775167729918
2010-12-04,0.9283637498562676
2010-12-05,0.9215593175938963
2010-12-06,0.9244769158009752
2010-12-07,0.9474309909616481
2010-12-08,0.9470711398938502
2010-12-09,0.9102960457098461
2010-12-10,0.920229758946723
2010-12-11,0.9396041034532582
2010-12-12,0.929373074282795
2010-12-13,0.9478966577026507
2010-12-14,0.9602523458284877
2010-12-15,0.9482791435368755
2010-12-16,0.9608664716578386
2010-12-17,0.9406404212716982
2010-12-18,0.9404799296438219
2010-12-19,0.9321805383542101
2010-12-20,0.9681833839601666
