t,o
2010-01-19,"{'1d_1w': 0.0239066195790366, '1m_3m': 0.143007571690917, '1w_1m': 0.119821223336629, '1y_2y': 0.0293826811696567, '24h': 0.00350331967792061, '2y_3y': 0, '3m_6m': 0.146376341291143, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.534002243254697, '7y_10y': 0, 'more_10y': 0}"
2010-01-20,"{'1d_1w': 0.0226741709560375, '1m_3m': 0.145015976148286, '1w_1m': 0.118980457345372, '1y_2y': 0.0324023289173909, '24h': 0.00444406941748938, '2y_3y': 0, '3m_6m': 0.146091485950553, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.530391511264872, '7y_10y': 0, 'more_10y': 0}"
2010-01-21,"{'1d_1w': 0.0226722682489924, '1m_3m': 0.14660078929691, '1w_1m': 0.11806460479176, '1y_2y': 0.0349585759068518, '24h': 0.00501007613076579, '2y_3y': 0, '3m_6m': 0.146831353560233, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.525862332064487, '7y_10y': 0, 'more_10y': 0}"
2010-01-22,"{'1d_1w': 0.023396447394105, '1m_3m': 0.14898505340063, '1w_1m': 0.117376174674437, '1y_2y': 0.0374501547642285, '24h': 0.00384819162878893, '2y_3y': 0, '3m_6m': 0.147346437634199, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.521597540503611, '7y_10y': 0, 'more_10y': 0}"
2010-01-23,"{'1d_1w': 0.0234868548902029, '1m_3m': 0.150849587740485, '1w_1m': 0.11618908414536, '1y_2y': 0.0396990644346354, '24h': 0.00446905971516615, '2y_3y': 0, '3m_6m': 0.146525376863496, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.518780972210655, '7y_10y': 0, 'more_10y': 0}"
2010-01-24,"{'1d_1w': 0.0241879751209399, '1m_3m': 0.152695314443677, '1w_1m': 0.115196876295784, '1y_2y': 0.0450587422252937, '24h': 0.00428472702142363, '2y_3y': 0, '3m_6m': 0.146675621285418, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.511900743607464, '7y_10y': 0, 'more_10y': 0}"
2010-01-25,"{'1d_1w': 0.0230583191337328, '1m_3m': 0.154997883801462, '1w_1m': 0.113209668553839, '1y_2y': 0.049799373385368, '24h': 0.00758533501896334, '2y_3y': 0, '3m_6m': 0.146979349200242, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.504370070906393, '7y_10y': 0, 'more_10y': 0}"
2010-01-26,"{'1d_1w': 0.0266947322380471, '1m_3m': 0.157452037943195, '1w_1m': 0.111321369016703, '1y_2y': 0.0524589267652607, '24h': 0.00572647002542303, '2y_3y': 0, '3m_6m': 0.147343992783139, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.499002471228233, '7y_10y': 0, 'more_10y': 0}"
2010-01-27,"{'1d_1w': 0.0278405225200708, '1m_3m': 0.158708749489727, '1w_1m': 0.111151095387128, '1y_2y': 0.054810178255545, '24h': 0.00489862566335556, '2y_3y': 0, '3m_6m': 0.148047097564294, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.49454373111988, '7y_10y': 0, 'more_10y': 0}"
2010-01-28,"{'1d_1w': 0.0277883104923894, '1m_3m': 0.161252180271925, '1w_1m': 0.110266155679541, '1y_2y': 0.0574183413682899, '24h': 0.00536265641081198, '2y_3y': 0, '3m_6m': 0.148149899788744, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.4897624559883, '7y_10y': 0, 'more_10y': 0}"
