t,indicators_sopr_less_155
2010-07-18,1.32599439454205
2010-07-19,1.11794580873402
2010-07-20,0.998935782726389
2010-07-21,0.923286037926233
2010-07-22,0.799953713289691
2010-07-23,0.91407799360022
2010-07-24,0.89548348329739
2010-07-25,0.947670775079147
2010-07-26,0.893524560805268
2010-07-27,0.979542908058608
2010-07-28,1.02115838567557
2010-07-29,1.03680789966033
2010-07-30,1.10903837545068
2010-07-31,0.990643474050574
2010-08-01,1.00964648932865
2010-08-02,1.00932764790106
2010-08-03,0.978973881394112
2010-08-04,0.97123676131884
2010-08-05,0.985401331025695
2010-08-06,1.00890675362105
2010-08-07,0.983315205669182
2010-08-08,0.989546206890362
2010-08-09,1.05240675832949
2010-08-10,1.05045752277173
2010-08-11,1.03297904982939
2010-08-12,0.96144618322506
2010-08-13,1.01681805711461
2010-08-14,1.00606276034986
2010-08-15,0.995396989689586
2010-08-16,0.993577800315692
2010-08-17,1.02060852454997
2010-08-18,1.06354392176187
2010-08-19,1.01873028966954
2010-08-20,0.976949575639687
2010-08-21,0.980983071045092
2010-08-22,0.987719185783515
2010-08-23,1.01541106959767
2010-08-24,1.00442452285195
2010-08-25,1.00752693637177
2010-08-26,0.997352594885326
2010-08-27,1.00819212482641
2010-08-28,1.00485791011109
2010-08-29,0.941287247989774
2010-08-30,0.960463775620307
2010-08-31,0.993313710107728
2010-09-01,0.945752065564479
2010-09-02,0.973729549275472
2010-09-03,0.965733415613528
2010-09-04,0.97778065557485
2010-09-05,1.01781062362415
2010-09-06,0.986979895855007
2010-09-07,0.948577761167187
2010-09-08,0.994005163237387
2010-09-09,0.976084106725496
2010-09-10,0.984798286789723
2010-09-11,0.948342151337277
2010-09-12,0.989075690972339
2010-09-13,1.0029849040889
2010-09-14,0.998879033705926
2010-09-15,1.0180165521861
2010-09-16,0.99883261238432
2010-09-17,0.977624968387137
2010-09-18,0.972379278059197
2010-09-19,1.008444972764
2010-09-20,0.996682252117835
2010-09-21,1.01390515487363
2010-09-22,0.999757807014851
