t,market_mvrv_more_155
2010-12-19,4.84952583694529
2010-12-20,3.99325580465482
2010-12-21,3.02045442081666
2010-12-22,3.14934654971516
2010-12-23,3.23154151063689
2010-12-24,3.31653890639883
2010-12-25,3.44751684650432
2010-12-26,4.06938400026502
2010-12-27,4.13172172690709
2010-12-28,4.50020930905404
2010-12-29,4.81772559229784
2010-12-30,4.83990505247867
2010-12-31,4.84496899368051
2011-01-01,4.83268368720381
2011-01-02,4.82876232356821
2011-01-03,4.75203383048186
2011-01-04,4.81868397409839
2011-01-05,4.81932454755828
2011-01-06,4.81374023700372
2011-01-07,5.17686859303579
2011-01-08,5.22392692225982
2011-01-09,5.22727852893772
2011-01-10,5.28997446051178
2011-01-11,5.26544935961709
2011-01-12,5.11412475495087
2011-01-13,5.07332207982803
2011-01-14,6.37955821471238
2011-01-15,6.1191337908733
2011-01-16,6.11630587887647
2011-01-17,5.51738924093165
2011-01-18,4.93750766565581
2011-01-19,4.92879496382783
2011-01-20,6.13277792438056
2011-01-21,6.59731577917784
2011-01-22,6.96930509308532
2011-01-23,6.94003955094475
2011-01-24,6.59159635823806
2011-01-25,6.43280887988394
2011-01-26,6.49031811017629
2011-01-27,6.60697551050671
2011-01-28,6.82073170310529
2011-01-29,6.88275586954839
2011-01-30,7.52109657267343
2011-01-31,8.62176957064078
2011-02-01,11.0939322108971
2011-02-02,11.2244407011764
2011-02-03,10.9258152637735
2011-02-04,12.7308335923505
2011-02-05,14.2505829543252
2011-02-06,14.0910473340892
2011-02-07,13.9882848581862
2011-02-08,14.4352284163895
2011-02-09,17.0617060901467
2011-02-10,15.3532117716495
2011-02-11,16.8539421896919
2011-02-12,17.0259263881913
2011-02-13,16.5574449472219
2011-02-14,16.9727027029498
2011-02-15,16.576307992612
2011-02-16,16.2428534610561
2011-02-17,16.4309431149516
2011-02-18,14.2079467846849
2011-02-19,15.0048495108911
2011-02-20,13.4593976990651
2011-02-21,13.2191792461978
2011-02-22,14.2583014157419
2011-02-23,14.2598311903247
2011-02-24,15.7467934909519
2011-02-25,14.4425547597336
2011-02-26,15.2057876328123
2011-02-27,14.1284359475654
2011-02-28,13.8548511422499
2011-03-01,14.6138353004697
2011-03-02,14.9353203111829
2011-03-03,14.9275072785388
2011-03-04,14.3277422904967
2011-03-05,14.470157009783
2011-03-06,14.1057669306468
2011-03-07,14.0810218033865
2011-03-08,13.8480641363455
2011-03-09,13.7642204124843
2011-03-10,14.8529337057881
2011-03-11,14.0095503861241
2011-03-12,14.5929302214226
2011-03-13,13.9808618777564
2011-03-14,13.927634293
2011-03-15,13.5267572051643
2011-03-16,13.2349423086139
2011-03-17,12.6695784132008
2011-03-18,12.4823849492047
2011-03-19,11.6346794405469
2011-03-20,11.223748404849
2011-03-21,11.4627668844345
2011-03-22,12.0548496672121
2011-03-23,12.5799375645546
2011-03-24,12.8630299978001
2011-03-25,13.0093244124077
2011-03-26,12.5284315912201
2011-03-27,12.0878403189994
2011-03-28,11.5940537514485
2011-03-29,11.3522706100682
2011-03-30,10.6484006410307
2011-03-31,10.3436934546027
2011-04-01,10.1076912363917
2011-04-02,10.12343636183
2011-04-03,10.0044031663855
2011-04-04,8.60433543107713
2011-04-05,8.91375101790691
2011-04-06,9.08446518152074
2011-04-07,9.19784276721144
2011-04-08,8.99456076314925
2011-04-09,8.7128358172187
2011-04-10,8.45417194480384
2011-04-11,8.728097402065
2011-04-12,7.88545928287609
2011-04-13,8.49803393260154
2011-04-14,8.97422132388856
2011-04-15,8.79457510409449
2011-04-16,9.32641693510621
2011-04-17,9.9675920145457
2011-04-18,10.0396233170037
2011-04-19,10.3560628280018
2011-04-20,9.75484737487051
2011-04-21,10.2351214713468
2011-04-22,11.845465361059
2011-04-23,13.8690756241049
2011-04-24,13.5334121197949
2011-04-25,13.0691699835049
2011-04-26,14.5532331303342
2011-04-27,15.360217585908
2011-04-28,17.7504553881315
2011-04-29,22.4957238392577
2011-04-30,25.8449692941098
2011-05-01,22.331088037006
2011-05-02,23.469395956991
2011-05-03,24.7503297612368
2011-05-04,24.6240133147542
2011-05-05,24.0373715507857
2011-05-06,24.8430330223722
2011-05-07,26.1450643367616
2011-05-08,27.6557276357018
2011-05-09,27.1193022588935
2011-05-10,41.3225380986998
2011-05-11,39.5358235835036
2011-05-12,47.2650719005741
2011-05-13,60.7689150880412
2011-05-14,52.0956795930693
2011-05-15,51.3049385130053
2011-05-16,57.5309138644861
2011-05-17,51.899400448263
2011-05-18,48.4302065783973
2011-05-19,49.5042447932901
2011-05-20,40.2097517637692
2011-05-21,44.0379098968203
2011-05-22,47.8786598183254
2011-05-23,49.1981204448489
2011-05-24,51.3337485248954
2011-05-25,57.9087709983971
2011-05-26,59.9511149330839
2011-05-27,57.9747749219291
