t,entities_active_count
2010-12-21,363
2010-12-22,391
2010-12-23,324
2010-12-24,304
2010-12-25,316
2010-12-26,326
2010-12-27,325
2010-12-28,400
2010-12-29,388
2010-12-30,408
2010-12-31,372
2011-01-01,410
2011-01-02,392
2011-01-03,427
2011-01-04,365
2011-01-05,432
2011-01-06,420
2011-01-07,453
2011-01-08,500
2011-01-09,521
2011-01-10,526
2011-01-11,587
2011-01-12,596
2011-01-13,617
2011-01-14,650
2011-01-15,696
2011-01-16,674
2011-01-17,613
2011-01-18,606
2011-01-19,657
2011-01-20,645
2011-01-21,846
2011-01-22,820
2011-01-23,758
2011-01-24,880
2011-01-25,656
2011-01-26,718
2011-01-27,659
2011-01-28,833
2011-01-29,945
2011-01-30,734
2011-01-31,949
2011-02-01,907
2011-02-02,727
2011-02-03,661
2011-02-04,769
2011-02-05,762
2011-02-06,717
2011-02-07,792
2011-02-08,721
2011-02-09,1040
2011-02-10,1697
2011-02-11,1931
2011-02-12,1651
2011-02-13,1608
2011-02-14,1606
2011-02-15,1512
2011-02-16,1356
2011-02-17,1684
2011-02-18,1695
2011-02-19,1393
2011-02-20,1561
2011-02-21,1609
2011-02-22,1663
2011-02-23,1376
2011-02-24,1298
2011-02-25,1242
2011-02-26,1330
2011-02-27,1408
2011-02-28,1338
2011-03-01,2143
2011-03-02,1624
2011-03-03,1706
2011-03-04,1468
2011-03-05,1493
2011-03-06,1381
2011-03-07,1425
2011-03-08,1398
2011-03-09,1350
2011-03-10,1238
2011-03-11,1361
2011-03-12,1315
2011-03-13,1289
2011-03-14,1218
2011-03-15,1227
2011-03-16,1313
2011-03-17,1430
2011-03-18,1406
2011-03-19,1464
2011-03-20,1397
2011-03-21,2039
2011-03-22,1853
2011-03-23,2754
2011-03-24,2058
2011-03-25,1843
2011-03-26,1820
2011-03-27,1687
2011-03-28,1858
2011-03-29,1688
2011-03-30,1625
2011-03-31,1720
2011-04-01,1567
2011-04-02,1363
2011-04-03,1607
2011-04-04,1918
2011-04-05,1975
2011-04-06,1814
2011-04-07,1588
2011-04-08,1766
2011-04-09,1782
2011-04-10,1640
2011-04-11,1882
2011-04-12,1927
2011-04-13,1817
2011-04-14,1657
2011-04-15,1816
2011-04-16,1737
2011-04-17,1830
2011-04-18,2174
2011-04-19,2206
