t,distribution_herfindahl
2010-01-01,0.00422315492896629
2010-01-02,0.00421473999121282
2010-01-03,0.00419423817920333
2010-01-04,0.00419377964712971
2010-01-05,0.00417188230539881
2010-01-06,0.00416368434995264
2010-01-07,0.00415669605734814
2010-01-08,0.00414621387198251
2010-01-09,0.00414105149365489
2010-01-10,0.00413591477471958
2010-01-11,0.00412234456634356
2010-01-12,0.00468517244959554
2010-01-13,0.00466460644357207
2010-01-14,0.00464798032175753
2010-01-15,0.00464945650446483
2010-01-16,0.00464655703195907
2010-01-17,0.00463729079064317
2010-01-18,0.00463286936369029
2010-01-19,0.00462788521575697
2010-01-20,0.00462257159515381
2010-01-21,0.0046070051320581
2010-01-22,0.00459691279133675
2010-01-23,0.00458424520902823
2010-01-24,0.00457400645511316
2010-01-25,0.00455863721475755
2010-01-26,0.00454907967564268
2010-01-27,0.00453451119575025
2010-01-28,0.00452209317831933
2010-01-29,0.0045068095682301
2010-01-30,0.00448965242002023
2010-01-31,0.00448798868496621
2010-02-01,0.00447617318978708
2010-02-02,0.00446819970127855
2010-02-03,0.0044405078045557
2010-02-04,0.00442674016962228
2010-02-05,0.00426957474006283
2010-02-06,0.00425248172373013
2010-02-07,0.00423227117100396
2010-02-08,0.00424160833916359
2010-02-09,0.00423519243283321
2010-02-10,0.0043771256128405
2010-02-11,0.00437266437613861
2010-02-12,0.00439275121499551
2010-02-13,0.00430642087187826
2010-02-14,0.00430221976658882
2010-02-15,0.00433040032268604
2010-02-16,0.00430849213507881
2010-02-17,0.00439982890593451
2010-02-18,0.00439115766915005
2010-02-19,0.00436437959392108
2010-02-20,0.00434474572370233
2010-02-21,0.00437329381006904
2010-02-22,0.00440023125243706
2010-02-23,0.00436522198854171
2010-02-24,0.00438534204134499
2010-02-25,0.00445025982715334
2010-02-26,0.00456576760869762
2010-02-27,0.00454538197575076
2010-02-28,0.00452486349452724
2010-03-01,0.00451616845615713
2010-03-02,0.004517411570279
2010-03-03,0.00463153520104354
2010-03-04,0.00487606493505592
2010-03-05,0.00484608439916429
2010-03-06,0.00475562200667408
2010-03-07,0.00484119685488446
2010-03-08,0.00492429314164069
2010-03-09,0.00495892935126926
2010-03-10,0.00494334918395668
2010-03-11,0.00496985734491414
2010-03-12,0.00495296440450096
2010-03-13,0.00493075167189462
2010-03-14,0.00493574921192476
2010-03-15,0.00491406354058752
2010-03-16,0.00489442674274094
2010-03-17,0.00487561712703773
2010-03-18,0.00486248860024114
2010-03-19,0.0048932411144097
2010-03-20,0.00488273872267272
2010-03-21,0.00485441868842245
2010-03-22,0.0048423721435923
2010-03-23,0.00480734023663375
2010-03-24,0.00479404262499406
2010-03-25,0.00480238928896397
2010-03-26,0.00477080979118731
2010-03-27,0.00472054280089074
2010-03-28,0.00472845583359559
2010-03-29,0.00471793593174183
2010-03-30,0.00468598765115192
2010-03-31,0.00465890789696667
2010-04-01,0.00463751881333153
2010-04-02,0.0046143113173537
2010-04-03,0.00460466935010428
2010-04-04,0.00458803993071442
2010-04-05,0.00457299598282642
2010-04-06,0.0045719666511059
2010-04-07,0.00455173638779091
2010-04-08,0.00456162096101072
2010-04-09,0.00455819388976715
2010-04-10,0.00454051574531572
2010-04-11,0.00447396261448787
2010-04-12,0.00445824635844515
2010-04-13,0.00444319959546483
2010-04-14,0.00442146839645254
2010-04-15,0.00439589337573563
2010-04-16,0.00435855626176743
2010-04-17,0.00433633955583645
2010-04-18,0.00432509960786458
2010-04-19,0.00429699984944675
2010-04-20,0.00428156214509787
2010-04-21,0.00425805290115254
2010-04-22,0.0042941272221042
2010-04-23,0.00427985326797552
2010-04-24,0.00425894163144517
2010-04-25,0.00424531445295607
2010-04-26,0.00423141076011167
2010-04-27,0.00420397522240818
2010-04-28,0.00419128038269468
2010-04-29,0.00419142411415861
2010-04-30,0.00417734690626964
2010-05-01,0.00416502676453146
2010-05-02,0.00415480119333948
2010-05-03,0.00414711278237177
2010-05-04,0.00410405969659397
2010-05-05,0.00403089237092534
2010-05-06,0.00406177800923006
2010-05-07,0.0040197790670106
2010-05-08,0.00409784952825904
2010-05-09,0.00408586867336362
2010-05-10,0.00410142139455695
2010-05-11,0.00409419371505547
