t,addresses_accumulation_count
2010-12-21,873
2010-12-22,890
2010-12-23,882
2010-12-24,904
2010-12-25,922
2010-12-26,945
2010-12-27,953
2010-12-28,971
2010-12-29,972
2010-12-30,989
2010-12-31,1002
2011-01-01,1004
2011-01-02,1008
2011-01-03,1026
2011-01-04,1045
2011-01-05,1052
2011-01-06,1066
2011-01-07,1078
2011-01-08,1089
2011-01-09,1112
2011-01-10,1118
2011-01-11,1135
2011-01-12,1149
2011-01-13,1174
2011-01-14,1179
2011-01-15,1193
2011-01-16,1194
2011-01-17,1217
2011-01-18,1226
2011-01-19,1253
2011-01-20,1266
2011-01-21,1274
2011-01-22,1271
2011-01-23,1281
2011-01-24,1286
2011-01-25,1295
2011-01-26,1312
2011-01-27,1319
2011-01-28,1328
2011-01-29,1332
2011-01-30,1331
2011-01-31,1359
2011-02-01,1366
2011-02-02,1371
2011-02-03,1380
2011-02-04,1398
2011-02-05,1397
2011-02-06,1411
2011-02-07,1420
2011-02-08,1410
2011-02-09,1433
2011-02-10,1473
2011-02-11,1524
2011-02-12,1598
2011-02-13,1670
2011-02-14,1686
2011-02-15,1741
2011-02-16,1779
2011-02-17,1810
2011-02-18,1840
2011-02-19,1857
2011-02-20,1887
2011-02-21,1913
2011-02-22,1971
2011-02-23,2005
2011-02-24,2033
2011-02-25,2046
2011-02-26,2072
2011-02-27,2122
2011-02-28,2146
2011-03-01,2221
2011-03-02,2294
2011-03-03,2329
2011-03-04,2364
2011-03-05,2366
2011-03-06,2394
2011-03-07,2436
2011-03-08,2464
2011-03-09,2488
2011-03-10,2502
2011-03-11,2539
2011-03-12,2575
2011-03-13,2602
2011-03-14,2600
2011-03-15,2606
2011-03-16,2620
2011-03-17,2659
2011-03-18,2681
2011-03-19,2710
2011-03-20,2728
2011-03-21,2761
2011-03-22,2767
2011-03-23,2804
2011-03-24,2872
2011-03-25,2950
2011-03-26,3032
2011-03-27,3077
2011-03-28,3124
2011-03-29,3173
2011-03-30,3221
2011-03-31,3275
2011-04-01,3329
2011-04-02,3359
2011-04-03,3390
2011-04-04,3439
2011-04-05,3512
2011-04-06,3549
2011-04-07,3591
2011-04-08,3623
2011-04-09,3669
2011-04-10,3668
2011-04-11,3697
2011-04-12,3682
2011-04-13,3690
2011-04-14,3684
2011-04-15,3678
2011-04-16,3670
2011-04-17,3711
2011-04-18,3753
2011-04-19,3789
2011-04-20,3816
2011-04-21,3845
2011-04-22,3875
2011-04-23,3913
2011-04-24,3929
2011-04-25,3991
2011-04-26,4035
2011-04-27,4064
2011-04-28,4079
2011-04-29,4128
2011-04-30,4176
2011-05-01,4209
2011-05-02,4275
2011-05-03,4332
2011-05-04,4374
2011-05-05,4424
2011-05-06,4467
2011-05-07,4520
2011-05-08,4589
2011-05-09,4642
2011-05-10,4679
2011-05-11,4733
2011-05-12,4813
2011-05-13,4831
2011-05-14,4949
2011-05-15,5017
2011-05-16,5357
2011-05-17,5718
2011-05-18,6028
2011-05-19,6233
2011-05-20,6457
2011-05-21,6680
2011-05-22,6930
2011-05-23,7120
2011-05-24,7425
2011-05-25,7657
2011-05-26,7830
2011-05-27,7969
2011-05-28,8212
2011-05-29,8450
2011-05-30,8783
2011-05-31,8999
2011-06-01,9274
2011-06-02,9501
2011-06-03,9711
2011-06-04,9996
2011-06-05,10344
2011-06-06,10651
2011-06-07,10894
2011-06-08,11084
2011-06-09,11598
2011-06-10,12015
2011-06-11,12450
2011-06-12,12899
2011-06-13,13362
2011-06-14,14027
2011-06-15,14523
2011-06-16,14870
2011-06-17,15277
2011-06-18,15697
2011-06-19,16082
2011-06-20,16588
2011-06-21,16998
2011-06-22,17649
2011-06-23,18145
2011-06-24,18543
2011-06-25,18808
2011-06-26,18977
2011-06-27,19073
2011-06-28,19251
2011-06-29,19491
2011-06-30,19702
2011-07-01,19936
2011-07-02,20148
2011-07-03,20389
2011-07-04,20550
2011-07-05,20676
2011-07-06,20821
2011-07-07,20939
2011-07-08,21215
2011-07-09,21413
2011-07-10,21527
2011-07-11,21791
2011-07-12,21958
2011-07-13,22168
2011-07-14,22344
2011-07-15,22578
2011-07-16,22778
2011-07-17,22888
2011-07-18,22975
2011-07-19,23048
2011-07-20,23199
2011-07-21,23315
2011-07-22,23411
2011-07-23,23526
2011-07-24,23648
2011-07-25,23784
2011-07-26,23868
2011-07-27,24022
2011-07-28,24217
2011-07-29,24374
2011-07-30,24458
2011-07-31,24638
2011-08-01,24773
2011-08-02,24866
2011-08-03,24871
2011-08-04,24953
2011-08-05,25048
2011-08-06,25085
2011-08-07,25194
2011-08-08,24972
2011-08-09,25094
2011-08-10,25290
2011-08-11,25371
2011-08-12,25469
2011-08-13,25576
2011-08-14,25700
2011-08-15,25767
2011-08-16,25867
2011-08-17,25869
2011-08-18,25981
2011-08-19,25998
2011-08-20,26141
2011-08-21,26208
2011-08-22,26286
2011-08-23,26302
2011-08-24,26372
2011-08-25,26462
2011-08-26,26501
2011-08-27,26586
2011-08-28,26667
2011-08-29,26705
2011-08-30,26796
2011-08-31,26879
2011-09-01,26913
2011-09-02,27028
2011-09-03,27113
2011-09-04,27176
2011-09-05,27277
2011-09-06,27355
2011-09-07,27434
2011-09-08,27467
2011-09-09,27420
2011-09-10,27515
2011-09-11,27551
2011-09-12,27523
2011-09-13,27580
2011-09-14,27688
2011-09-15,27705
2011-09-16,27842
2011-09-17,27830
2011-09-18,27881
2011-09-19,27873
2011-09-20,27970
2011-09-21,27955
2011-09-22,27950
2011-09-23,28246
2011-09-24,28052
2011-09-25,28104
2011-09-26,28182
2011-09-27,28208
2011-09-28,28253
2011-09-29,28314
2011-09-30,28318
2011-10-01,28370
2011-10-02,28414
2011-10-03,28458
2011-10-04,28489
2011-10-05,28521
2011-10-06,28591
2011-10-07,28633
2011-10-08,28697
2011-10-09,28763
2011-10-10,28838
2011-10-11,28870
2011-10-12,28951
2011-10-13,28988
2011-10-14,28926
2011-10-15,28980
2011-10-16,28992
2011-10-17,29032
2011-10-18,29080
2011-10-19,29109
2011-10-20,29175
2011-10-21,29253
2011-10-22,29351
2011-10-23,29404
2011-10-24,29441
2011-10-25,29505
2011-10-26,29555
2011-10-27,29573
2011-10-28,29583
2011-10-29,29698
2011-10-30,29741
2011-10-31,29787
2011-11-01,29856
2011-11-02,29934
2011-11-03,30132
2011-11-04,30355
2011-11-05,30452
2011-11-06,30573
2011-11-07,30668
2011-11-08,30717
2011-11-09,30796
2011-11-10,30835
2011-11-11,30857
2011-11-12,30865
2011-11-13,31021
2011-11-14,31178
2011-11-15,31011
2011-11-16,31035
2011-11-17,30898
2011-11-18,30735
2011-11-19,30759
2011-11-20,30427
2011-11-21,30477
2011-11-22,30509
2011-11-23,30558
2011-11-24,30572
2011-11-25,30619
2011-11-26,30635
2011-11-27,30698
2011-11-28,30713
2011-11-29,30758
2011-11-30,30759
2011-12-01,30792
2011-12-02,30833
2011-12-03,30844
2011-12-04,30864
2011-12-05,30930
2011-12-06,31010
2011-12-07,31066
2011-12-08,31110
2011-12-09,31150
2011-12-10,31191
2011-12-11,31193
2011-12-12,31206
2011-12-13,31221
2011-12-14,31238
2011-12-15,31257
2011-12-16,31299
2011-12-17,31310
2011-12-18,31342
2011-12-19,31356
2011-12-20,31356
2011-12-21,31370
2011-12-22,31408
2011-12-23,31459
2011-12-24,31466
2011-12-25,31625
2011-12-26,31756
2011-12-27,31714
2011-12-28,31756
2011-12-29,31788
2011-12-30,31793
2011-12-31,31823
2012-01-01,31553
2012-01-02,31558
2012-01-03,31522
2012-01-04,31554
2012-01-05,31542
2012-01-06,31546
2012-01-07,31541
2012-01-08,31410
2012-01-09,31225
2012-01-10,30789
2012-01-11,30678
2012-01-12,30689
2012-01-13,30732
2012-01-14,30772
2012-01-15,30846
2012-01-16,30812
2012-01-17,30876
2012-01-18,30884
2012-01-19,30955
2012-01-20,31102
2012-01-21,31013
2012-01-22,31059
2012-01-23,31128
2012-01-24,31124
2012-01-25,31098
2012-01-26,31130
2012-01-27,31249
2012-01-28,31210
2012-01-29,31265
2012-01-30,31345
2012-01-31,31480
2012-02-01,31391
2012-02-02,31462
2012-02-03,31503
2012-02-04,31553
2012-02-05,31583
2012-02-06,31644
2012-02-07,31700
2012-02-08,31813
2012-02-09,31857
2012-02-10,31913
2012-02-11,31904
2012-02-12,32006
2012-02-13,32083
2012-02-14,32184
2012-02-15,32276
2012-02-16,32364
2012-02-17,32477
2012-02-18,32599
2012-02-19,32711
2012-02-20,32847
2012-02-21,32928
2012-02-22,33040
2012-02-23,33148
2012-02-24,33186
2012-02-25,33253
2012-02-26,33334
2012-02-27,33478
2012-02-28,33625
2012-02-29,33798
2012-03-01,33800
2012-03-02,33832
2012-03-03,33833
2012-03-04,33842
2012-03-05,33934
2012-03-06,34007
2012-03-07,34140
2012-03-08,34179
2012-03-09,34218
2012-03-10,34203
2012-03-11,34325
2012-03-12,34397
2012-03-13,34404
2012-03-14,34423
2012-03-15,34414
2012-03-16,34528
2012-03-17,34529
2012-03-18,34529
2012-03-19,34631
2012-03-20,34699
2012-03-21,34760
2012-03-22,34750
2012-03-23,34771
2012-03-24,34814
2012-03-25,34807
2012-03-26,34683
2012-03-27,34681
2012-03-28,34737
2012-03-29,34770
2012-03-30,34803
2012-03-31,34796
2012-04-01,34817
2012-04-02,34867
2012-04-03,34931
2012-04-04,34966
2012-04-05,34877
2012-04-06,34895
2012-04-07,34916
2012-04-08,34960
2012-04-09,34979
2012-04-10,35003
2012-04-11,35044
2012-04-12,35097
2012-04-13,35140
2012-04-14,35178
2012-04-15,35311
2012-04-16,35384
2012-04-17,35343
2012-04-18,35411
2012-04-19,35431
2012-04-20,35444
2012-04-21,35457
2012-04-22,35472
2012-04-23,35504
2012-04-24,35536
2012-04-25,35582
2012-04-26,35622
2012-04-27,35644
2012-04-28,35688
2012-04-29,35749
2012-04-30,35797
2012-05-01,35727
2012-05-02,35743
2012-05-03,35801
2012-05-04,35785
2012-05-05,35839
2012-05-06,35801
2012-05-07,35592
2012-05-08,35648
2012-05-09,35697
2012-05-10,35767
2012-05-11,35792
2012-05-12,35849
2012-05-13,35879
2012-05-14,35926
2012-05-15,35993
2012-05-16,35900
2012-05-17,35928
2012-05-18,35990
2012-05-19,36062
2012-05-20,36218
2012-05-21,36262
2012-05-22,36301
2012-05-23,36267
2012-05-24,36284
2012-05-25,36268
2012-05-26,36259
2012-05-27,36316
2012-05-28,36270
2012-05-29,36319
2012-05-30,36391
2012-05-31,36400
2012-06-01,36423
2012-06-02,36494
2012-06-03,36531
2012-06-04,36452
2012-06-05,36533
2012-06-06,36617
2012-06-07,36657
2012-06-08,36348
2012-06-09,36358
2012-06-10,36389
2012-06-11,36405
2012-06-12,36535
2012-06-13,36597
2012-06-14,36577
2012-06-15,36658
2012-06-16,36817
2012-06-17,36866
2012-06-18,36971
2012-06-19,36901
2012-06-20,36981
2012-06-21,37047
2012-06-22,37070
2012-06-23,37150
2012-06-24,37204
2012-06-25,37194
2012-06-26,37232
2012-06-27,37235
2012-06-28,37256
2012-06-29,37289
2012-06-30,37341
2012-07-01,37357
2012-07-02,37366
2012-07-03,37405
2012-07-04,37394
2012-07-05,37499
2012-07-06,37599
2012-07-07,37654
2012-07-08,37710
2012-07-09,37722
2012-07-10,37754
2012-07-11,37708
2012-07-12,37787
2012-07-13,37872
2012-07-14,37870
2012-07-15,37996
2012-07-16,38046
2012-07-17,38122
2012-07-18,38070
2012-07-19,37935
