t,transactions_transfers_volume_from_exchanges_sum
2012-04-04,270.24179179
2012-04-05,299.68110793
2012-04-06,2030.4659696
2012-04-07,97.32161417
2012-04-08,258.37079506
2012-04-09,60.69992561
2012-04-10,181.96516102
2012-04-11,338.83300395
2012-04-12,420.05730628
2012-04-13,657.7982271
2012-04-14,3436.34592514
2012-04-15,0.0
2012-04-16,3047.04879517
2012-04-17,2721.37793539
2012-04-18,667.7548593
2012-04-19,904.16864
2012-04-20,1101.2232
2012-04-21,231.53075385
2012-04-22,60.50274951
2012-04-23,1326.78738108
2012-04-24,2929.68730709
2012-04-25,805.70722549
2012-04-26,713.20785831
2012-04-27,698.4278
2012-04-28,52.16489785
2012-04-29,504.4427909
2012-04-30,286.8513468
2012-05-01,2333.94957045
2012-05-02,159.15083025
2012-05-03,570.06134303
2012-05-04,868.94706332
2012-05-05,2078.51503139
2012-05-06,770.06363624
2012-05-07,1328.56099361
2012-05-08,1099.21669782
2012-05-09,360.1514243
2012-05-10,2306.354
2012-05-11,659.64246103
2012-05-12,274.0035
2012-05-13,786.50251601
2012-05-14,834.02497385
2012-05-15,504.96410177
2012-05-16,791.02728623
2012-05-17,568.42994528
2012-05-18,2408.20277592
2012-05-19,274.166
2012-05-20,1865.68806794
2012-05-21,1311.17966784
2012-05-22,921.55778605
2012-05-23,836.15623332
2012-05-24,593.08183884
2012-05-25,191.69144516
2012-05-26,2934.99598565
2012-05-27,911.8587
2012-05-28,30.91258394
2012-05-29,3015.42234603
2012-05-30,4892.29933301
2012-05-31,432.86568505
2012-06-01,711.88183842
2012-06-02,82.1618197
2012-06-03,190.0106
2012-06-04,2179.09112889
2012-06-05,2064.16921572
2012-06-06,2333.2117509
2012-06-07,1613.09465497
2012-06-08,5104.80538422
2012-06-09,3743.87874776
2012-06-10,612.37341846
2012-06-11,3874.51170842
2012-06-12,8143.00640231
2012-06-13,11627.62062098
2012-06-14,12777.98754451
2012-06-15,2265.55489351
2012-06-16,805.87235579
2012-06-17,3016.01864344
2012-06-18,2008.50828326
2012-06-19,1438.87158267
2012-06-20,3304.62111474
2012-06-21,782.507
2012-06-22,16280.81345017
2012-06-23,782.61351116
2012-06-24,673.86898936
2012-06-25,1932.63021572
2012-06-26,15597.46222997
2012-06-27,14130.63622969
2012-06-28,3873.19042291
2012-06-29,1459.20122288
2012-06-30,115.77490222
2012-07-01,205.08504257
2012-07-02,12870.7840896
2012-07-03,2847.09916134
2012-07-04,5243.98051111
2012-07-05,1854.153918
2012-07-06,1612.74778647
2012-07-07,1649.45688492
2012-07-08,1379.97078687
2012-07-09,1162.99375405
2012-07-10,1476.14871104
2012-07-11,611.71494913
2012-07-12,1349.49404728
2012-07-13,2017.05241929
2012-07-14,1511.55735473
2012-07-15,257.39137045
2012-07-16,6165.3679952
2012-07-17,5565.27116707
2012-07-18,2346.41240829
2012-07-19,1201.89294009
2012-07-20,7019.81087921
2012-07-21,1491.06447511
2012-07-22,642.22196016
2012-07-23,1856.35171736
2012-07-24,1036.65701518
2012-07-25,8330.41346009
2012-07-26,520.48331645
2012-07-27,4053.07773169
2012-07-28,695.86680992
2012-07-29,708.38255376
2012-07-30,3039.37208065
2012-07-31,4339.56363263
2012-08-01,1536.8836183
2012-08-02,3275.47487501
2012-08-03,933.20810331
2012-08-04,415.20213211
2012-08-05,8480.09301974
2012-08-06,1733.32189881
2012-08-07,508.12573254
2012-08-08,2146.78672787
2012-08-09,1792.37733998
2012-08-10,3364.03318389
2012-08-11,1720.96365103
2012-08-12,538.72787238
2012-08-13,2172.6501015
2012-08-14,1126.04192338
2012-08-15,949.64816206
2012-08-16,1986.91275776
2012-08-17,4284.56787031
2012-08-18,6529.53554946
2012-08-19,1271.52501245
2012-08-20,2724.01692518
2012-08-21,1452.75582893
2012-08-22,4461.51676041
2012-08-23,2244.37808285
2012-08-24,2902.33835533
2012-08-25,1157.63480178
2012-08-26,1316.47491582
2012-08-27,2495.09012885
2012-08-28,3764.0481478
2012-08-29,25641.8016344
2012-08-30,1266.06275744
2012-08-31,1463.68047044
2012-09-01,733.62271688
2012-09-02,1351.25164539
2012-09-03,490.31462221
2012-09-04,3264.68196804
2012-09-05,2905.48524671
2012-09-06,2516.8642837
2012-09-07,863.51621418
2012-09-08,3982.9961637
2012-09-09,1801.87070092
2012-09-10,638.63793624
2012-09-11,4552.16529151
2012-09-12,1361.74256154
2012-09-13,1694.40673168
2012-09-14,2216.12447542
2012-09-15,459.24914319
2012-09-16,1411.83000882
2012-09-17,640.23995686
2012-09-18,3221.0671623
2012-09-19,1610.53509695
2012-09-20,1521.64118789
2012-09-21,7290.13725966
2012-09-22,788.83361473
2012-09-23,847.13351726
2012-09-24,3268.57654943
2012-09-25,2249.46468709
2012-09-26,2257.3474404
2012-09-27,2878.63470422
2012-09-28,2793.90750267
2012-09-29,438.45157213
2012-09-30,394.249024
2012-10-01,1743.48846754
2012-10-02,2201.19951226775
2012-10-03,5984.51059442
2012-10-04,4344.94722793
2012-10-05,5557.85684751
2012-10-06,1286.89343355
2012-10-07,2872.94696962
2012-10-08,8730.67293685
2012-10-09,1439.58282362
2012-10-10,2072.11017425
2012-10-11,2077.30247069
2012-10-12,773.83749591
2012-10-13,783.48580099
2012-10-14,278.76954983
2012-10-15,3595.96925722
2012-10-16,1462.06919268
2012-10-17,3087.65886397
2012-10-18,1116.94911928
2012-10-19,3517.82405106
2012-10-20,784.5525
2012-10-21,1042.5712672
2012-10-22,3179.6657557
2012-10-23,4797.29986654
2012-10-24,5438.74228391
2012-10-25,6101.13329139
2012-10-26,9266.43220495
2012-10-27,983.02282217
2012-10-28,5908.19273941
2012-10-29,1635.67438186
2012-10-30,2223.36439499
2012-10-31,2201.33993754
2012-11-01,2709.13809234
2012-11-02,1586.47074742
2012-11-03,1804.16143989
2012-11-04,2129.66259633
2012-11-05,8226.53937652
2012-11-06,2300.58244186
2012-11-07,2598.3448252
2012-11-08,13364.49517926
2012-11-09,2298.35088633
2012-11-10,3060.17366048
2012-11-11,299.37006986
2012-11-12,1226.03076523
2012-11-13,2123.2346519
2012-11-14,1428.96624168
2012-11-15,2235.94136364
2012-11-16,8254.42464931
2012-11-17,688.88301094
2012-11-18,947.16485928
2012-11-19,4905.36961435
2012-11-20,5748.01555841
2012-11-21,1752.35865015
2012-11-22,10573.79455132
2012-11-23,4170.27664187
2012-11-24,2724.19422218
2012-11-25,1271.42024143
2012-11-26,3813.00620468
2012-11-27,2729.89801577
2012-11-28,3495.09835066
2012-11-29,2801.03868896
2012-11-30,5148.34743458
2012-12-01,1615.98667052
2012-12-02,1361.02770362
2012-12-03,2790.95633742
2012-12-04,8045.95747535
2012-12-05,8653.6865349
2012-12-06,4489.53384967
2012-12-07,3007.89657143
2012-12-08,1183.31880222
2012-12-09,656.17182041
2012-12-10,4314.76390292
2012-12-11,3529.57079825
2012-12-12,2647.10508458
2012-12-13,3646.98293753
2012-12-14,4195.09250575
2012-12-15,1335.83843316
2012-12-16,2100.54897652
2012-12-17,6159.98133977
2012-12-18,4394.94351569
2012-12-19,2326.83329131
2012-12-20,2052.23773392
2012-12-21,1496.70555261
2012-12-22,1915.75097348
2012-12-23,404.95166835
2012-12-24,1575.96601364
2012-12-25,758.77325179
2012-12-26,5252.01393371
2012-12-27,4118.22154557
2012-12-28,4571.08135833
2012-12-29,888.88194324
2012-12-30,496.8090567
2012-12-31,1178.88774923
2013-01-01,1943.88805381
2013-01-02,2665.9540267
2013-01-03,2271.75454078
2013-01-04,3123.31700937
2013-01-05,1774.83929958
2013-01-06,452.21056819
2013-01-07,5419.55506905
2013-01-08,7217.76003532
2013-01-09,1697.8677458
2013-01-10,2473.07356346
2013-01-11,3216.63943013
2013-01-12,1920.67591882
2013-01-13,1360.54092495
2013-01-14,5292.36797464
2013-01-15,4831.06799596
2013-01-16,8667.64626286
2013-01-17,2555.14110376
2013-01-18,5522.29465281817
2013-01-19,2103.42943992
2013-01-20,1352.27787159
2013-01-21,3787.86819945
2013-01-22,2272.52613601
2013-01-23,5668.30322031
2013-01-24,5546.40054967
2013-01-25,7504.70716957
2013-01-26,2375.55507115313
2013-01-27,3246.44991093
2013-01-28,3204.74354312
2013-01-29,5133.00852163
2013-01-30,5264.88315518
2013-01-31,2317.70572918
2013-02-01,3400.56644934733
2013-02-02,5035.29513623
2013-02-03,3051.56300382
2013-02-04,2139.76176734
2013-02-05,3160.76961027
2013-02-06,8248.88603555
2013-02-07,1561.72229632095
2013-02-08,5888.32730214
2013-02-09,1287.16531009
2013-02-10,2339.76610456
2013-02-11,3352.36893741164
2013-02-12,4008.28170274
2013-02-13,3285.12160866
2013-02-14,6671.55667357
2013-02-15,2695.10423266
2013-02-16,3349.63998775
2013-02-17,3633.50979575
2013-02-18,2565.80695047
2013-02-19,6425.18380959
2013-02-20,4676.31507928
2013-02-21,2023.64329131
2013-02-22,11952.8626785656
2013-02-23,1687.28616437471
2013-02-24,2250.98801760367
2013-02-25,1377.52367286
2013-02-26,4448.89518959476
2013-02-27,2533.0181891
2013-02-28,5788.71604085936
2013-03-01,1895.68194176102
2013-03-02,782.72289505
2013-03-03,11241.4814650285
2013-03-04,6749.18386520078
2013-03-05,6601.76198769716
2013-03-06,3422.10676941
2013-03-07,5819.83841930572
2013-03-08,6422.53838459
2013-03-09,2807.0644284
2013-03-10,3469.86609177613
2013-03-11,8207.39569506262
2013-03-12,5054.82085761116
2013-03-13,4004.80789905
2013-03-14,2086.79073535086
2013-03-15,1488.01580035282
2013-03-16,2013.26561655563
2013-03-17,868.810825428454
2013-03-18,2289.43050575
2013-03-19,3497.16758858
2013-03-20,5353.08802300833
2013-03-21,7595.13221329
2013-03-22,5523.43992120306
2013-03-23,6697.84577123968
2013-03-24,2946.45315022975
2013-03-25,5768.88863621956
2013-03-26,3642.9039116
2013-03-27,9738.38783190573
2013-03-28,4075.93453667705
2013-03-29,3922.37571002
2013-03-30,2854.13344198579
2013-03-31,3535.84591263
2013-04-01,3310.81823817814
2013-04-02,8216.52549649462
2013-04-03,5537.39606102
2013-04-04,4806.77835128382
2013-04-05,3587.31910706968
2013-04-06,2176.08257634803
2013-04-07,2190.97098181427
2013-04-08,3522.04196426267
2013-04-09,8235.74593810537
2013-04-10,9380.04938361911
2013-04-11,27139.57958811
2013-04-12,19230.9629137525
2013-04-13,7887.89326243498
2013-04-14,3001.31335939299
2013-04-15,9687.68835615968
2013-04-16,9942.45844305966
2013-04-17,14255.3828017936
2013-04-18,5644.00264651074
2013-04-19,6256.33459686853
2013-04-20,9435.9209569817
2013-04-21,7208.89683219107
2013-04-22,4630.5722357673
2013-04-23,5398.78428711192
2013-04-24,6631.73048328386
2013-04-25,4120.62062592736
2013-04-26,3754.79499344831
2013-04-27,8705.6341605487
2013-04-28,3102.13321993639
2013-04-29,4044.3298916577
2013-04-30,3855.84313861
2013-05-01,10344.6274679526
2013-05-02,9087.49865671403
2013-05-03,11140.6794768809
2013-05-04,5364.50868369432
2013-05-05,1933.73786193545
2013-05-06,8383.51136930843
2013-05-07,7448.51452421
2013-05-08,4643.88423604044
2013-05-09,5639.45023822288
2013-05-10,7129.31619878267
2013-05-11,2755.35059225948
2013-05-12,3399.89720944484
2013-05-13,2718.67925589813
2013-05-14,6399.68081471564
2013-05-15,6217.59751261825
2013-05-16,9054.15024630853
2013-05-17,4312.84044913048
2013-05-18,4519.78650254984
2013-05-19,3957.15532184054
2013-05-20,2971.91946760539
2013-05-21,3778.19352531275
2013-05-22,5420.76592609108
2013-05-23,8252.52829578561
2013-05-24,17575.6165998063
