t,addresses_new_non_zero_count
2010-01-01,134
2010-01-02,126
2010-01-03,186
2010-01-04,183
2010-01-05,198
2010-01-06,163
2010-01-07,154
2010-01-08,153
2010-01-09,151
2010-01-10,190
2010-01-11,159
2010-01-12,159
2010-01-13,166
2010-01-14,145
2010-01-15,141
2010-01-16,126
2010-01-17,131
2010-01-18,127
2010-01-19,124
2010-01-20,158
2010-01-21,183
2010-01-22,135
2010-01-23,161
2010-01-24,154
2010-01-25,215
2010-01-26,197
2010-01-27,164
2010-01-28,177
2010-01-29,198
2010-01-30,212
2010-01-31,166
2010-02-01,192
2010-02-02,145
2010-02-03,270
2010-02-04,233
2010-02-05,227
2010-02-06,194
2010-02-07,222
2010-02-08,205
2010-02-09,210
2010-02-10,169
2010-02-11,169
2010-02-12,187
2010-02-13,234
2010-02-14,212
2010-02-15,183
2010-02-16,199
2010-02-17,243
2010-02-18,211
2010-02-19,197
2010-02-20,209
2010-02-21,225
2010-02-22,263
2010-02-23,251
2010-02-24,173
2010-02-25,156
2010-02-26,174
2010-02-27,172
2010-02-28,157
2010-03-01,196
2010-03-02,189
2010-03-03,152
2010-03-04,186
2010-03-05,172
2010-03-06,178
2010-03-07,180
2010-03-08,128
2010-03-09,147
2010-03-10,168
2010-03-11,134
2010-03-12,121
2010-03-13,154
2010-03-14,125
2010-03-15,143
2010-03-16,129
2010-03-17,138
2010-03-18,148
2010-03-19,159
2010-03-20,202
2010-03-21,185
2010-03-22,181
2010-03-23,212
2010-03-24,177
2010-03-25,194
2010-03-26,199
2010-03-27,180
2010-03-28,186
2010-03-29,196
2010-03-30,216
2010-03-31,211
2010-04-01,168
2010-04-02,156
2010-04-03,164
2010-04-04,173
2010-04-05,174
2010-04-06,163
2010-04-07,198
2010-04-08,191
2010-04-09,225
2010-04-10,288
2010-04-11,247
2010-04-12,223
2010-04-13,193
2010-04-14,206
2010-04-15,275
2010-04-16,219
2010-04-17,233
2010-04-18,3345
2010-04-19,253
2010-04-20,220
2010-04-21,237
2010-04-22,179
2010-04-23,187
2010-04-24,183
2010-04-25,172
2010-04-26,190
2010-04-27,210
2010-04-28,199
2010-04-29,160
2010-04-30,160
2010-05-01,192
2010-05-02,161
2010-05-03,168
2010-05-04,149
2010-05-05,145
2010-05-06,155
2010-05-07,138
2010-05-08,165
2010-05-09,169
2010-05-10,136
2010-05-11,116
2010-05-12,133
2010-05-13,141
2010-05-14,138
2010-05-15,94
2010-05-16,117
2010-05-17,152
2010-05-18,192
2010-05-19,193
2010-05-20,217
2010-05-21,192
2010-05-22,209
2010-05-23,288
2010-05-24,226
2010-05-25,233
2010-05-26,262
2010-05-27,231
2010-05-28,265
2010-05-29,220
2010-05-30,186
2010-05-31,179
2010-06-01,166
2010-06-02,177
2010-06-03,208
2010-06-04,162
2010-06-05,169
2010-06-06,179
2010-06-07,187
2010-06-08,212
2010-06-09,210
2010-06-10,202
2010-06-11,234
2010-06-12,193
2010-06-13,220
2010-06-14,233
2010-06-15,255
2010-06-16,183
2010-06-17,188
2010-06-18,174
2010-06-19,204
2010-06-20,222
2010-06-21,243
2010-06-22,219
2010-06-23,251
2010-06-24,222
2010-06-25,195
2010-06-26,186
2010-06-27,211
2010-06-28,194
2010-06-29,229
2010-06-30,244
2010-07-01,249
2010-07-02,205
2010-07-03,244
2010-07-04,191
2010-07-05,204
2010-07-06,188
2010-07-07,207
2010-07-08,208
2010-07-09,253
2010-07-10,229
2010-07-11,432
2010-07-12,3323
2010-07-13,1733
2010-07-14,6478
2010-07-15,1508
2010-07-16,1340
2010-07-17,447
2010-07-18,467
2010-07-19,605
2010-07-20,674
2010-07-21,469
2010-07-22,434
2010-07-23,434
2010-07-24,706
2010-07-25,1847
2010-07-26,461
2010-07-27,471
2010-07-28,392
2010-07-29,387
2010-07-30,348
2010-07-31,317
2010-08-01,397
2010-08-02,390
2010-08-03,653
2010-08-04,460
2010-08-05,595
2010-08-06,380
2010-08-07,275
2010-08-08,409
2010-08-09,466
2010-08-10,341
2010-08-11,406
2010-08-12,415
2010-08-13,566
2010-08-14,408
2010-08-15,278
2010-08-16,465
2010-08-17,331
2010-08-18,415
2010-08-19,316
2010-08-20,403
2010-08-21,340
2010-08-22,346
2010-08-23,379
2010-08-24,396
2010-08-25,355
2010-08-26,347
2010-08-27,300
2010-08-28,350
2010-08-29,264
2010-08-30,323
2010-08-31,411
2010-09-01,389
2010-09-02,305
2010-09-03,339
2010-09-04,275
2010-09-05,323
2010-09-06,277
2010-09-07,255
2010-09-08,351
2010-09-09,312
2010-09-10,357
2010-09-11,289
2010-09-12,372
2010-09-13,444
2010-09-14,399
2010-09-15,417
2010-09-16,384
2010-09-17,344
2010-09-18,379
2010-09-19,356
2010-09-20,489
2010-09-21,922
2010-09-22,785
2010-09-23,664
2010-09-24,528
2010-09-25,570
2010-09-26,409
2010-09-27,654
2010-09-28,448
2010-09-29,935
2010-09-30,419
2010-10-01,624
2010-10-02,524
2010-10-03,387
2010-10-04,448
2010-10-05,441
2010-10-06,420
2010-10-07,359
2010-10-08,407
2010-10-09,445
2010-10-10,389
2010-10-11,376
2010-10-12,402
2010-10-13,405
2010-10-14,398
2010-10-15,362
2010-10-16,477
2010-10-17,499
2010-10-18,643
2010-10-19,958
2010-10-20,728
2010-10-21,557
2010-10-22,591
2010-10-23,518
2010-10-24,530
2010-10-25,469
2010-10-26,621
2010-10-27,666
2010-10-28,546
2010-10-29,474
2010-10-30,424
2010-10-31,302
2010-11-01,347
2010-11-02,294
2010-11-03,356
2010-11-04,341
2010-11-05,428
2010-11-06,404
2010-11-07,421
2010-11-08,517
2010-11-09,400
2010-11-10,409
2010-11-11,392
2010-11-12,281
2010-11-13,333
2010-11-14,417
2010-11-15,4164
2010-11-16,3030
2010-11-17,450
2010-11-18,424
2010-11-19,354
2010-11-20,558
2010-11-21,509
2010-11-22,374
2010-11-23,369
2010-11-24,552
2010-11-25,591
2010-11-26,911
2010-11-27,521
