t,o
2010-01-21,"{'0001_001': 0, '001_01': 4.478280340349305e-08, '01_1': 8.396775638154949e-07, '100_1k': 0.004673007165248544, '10_100': 0.9148254590237349, '10k_100k': 0.07029719547693684, '1_10': 1.5360501567398117e-05, '1k_10k': 0.010188093372145095, 'above_100k': 0, 'less_0001': 0}"
2010-01-22,"{'0001_001': 0, '001_01': 4.46167145366833e-08, '01_1': 8.36563397562812e-07, '100_1k': 0.004767217868994172, '10_100': 0.9150292518334681, '10k_100k': 0.07003647974122305, '1_10': 1.5861242017790912e-05, '1k_10k': 0.010150308134184768, 'above_100k': 0, 'less_0001': 0}"
2010-01-23,"{'0001_001': 0, '001_01': 4.441853363315843e-08, '01_1': 8.328475056217206e-07, '100_1k': 0.0047471530496099494, '10_100': 0.9154055689736542, '10k_100k': 0.0697253879681297, '1_10': 1.5790788706587822e-05, '1k_10k': 0.010105221953860247, 'above_100k': 0, 'less_0001': 0}"
2010-01-24,"{'0001_001': 0, '001_01': 4.422944022114719e-08, '01_1': 8.2930200414651e-07, '100_1k': 0.004754587422252937, '10_100': 0.9157380511402903, '10k_100k': 0.0694285611610228, '1_10': 1.572356599861783e-05, '1k_10k': 0.010062203178991015, 'above_100k': 0, 'less_0001': 0}"
2010-01-25,"{'0001_001': 0, '001_01': 4.397295663167152e-08, '01_1': 8.24492936843841e-07, '100_1k': 0.004478568680261639, '10_100': 0.9147151102072225, '10k_100k': 0.06902594954103226, '1_10': 1.673170999835101e-05, '1k_10k': 0.01176277139559171, 'above_100k': 0, 'less_0001': 0}"
2010-01-26,"{'0001_001': 0, '001_01': 4.3738552800634204e-08, '01_1': 8.200978650118915e-07, '100_1k': 0.004454695060277193, '10_100': 0.9148154506437768, '10k_100k': 0.06865799732101363, '1_10': 1.554905552062546e-05, '1k_10k': 0.012055444082993904, 'above_100k': 0, 'less_0001': 0}"
2010-01-27,"{'0001_001': 0, '001_01': 4.3543339229827184e-08, '01_1': 8.164376105592597e-07, '100_1k': 0.0044348128997142465, '10_100': 0.9146513539257042, '10k_100k': 0.06835156347802422, '1_10': 1.5479657096203565e-05, '1k_10k': 0.012545930058511361, 'above_100k': 0, 'less_0001': 0}"
2010-01-28,"{'0001_001': 0, '001_01': 4.333459725908672e-08, '01_1': 8.125236986078761e-07, '100_1k': 0.004413552895292779, '10_100': 0.9144917393423975, '10k_100k': 0.06802389361356373, '1_10': 1.540544932560533e-05, '1k_10k': 0.013054552841124532, 'above_100k': 0, 'less_0001': 0}"
2010-01-29,"{'0001_001': 0, '001_01': 4.310460949917831e-08, '01_1': 8.082114281095935e-07, '100_1k': 0.004390129044424688, '10_100': 0.9144606266332606, '10k_100k': 0.06766287346103074, '1_10': 1.532368867695789e-05, '1k_10k': 0.013470195856569412, 'above_100k': 0, 'less_0001': 0}"
2010-01-30,"{'0001_001': 0, '001_01': 4.2862117924401934e-08, '01_1': 8.036647110825364e-07, '100_1k': 0.004499375820407725, '10_100': 0.9140578102815505, '10k_100k': 0.06728222561547322, '1_10': 1.5237482922124888e-05, '1k_10k': 0.01414450427281738, 'above_100k': 0, 'less_0001': 0}"
2010-01-31,"{'0001_001': 0, '001_01': 4.267349442577479e-08, '01_1': 8.001280204832775e-07, '100_1k': 0.004532917266762682, '10_100': 0.9139826105510216, '10k_100k': 0.06698613644849843, '1_10': 1.5170427268362938e-05, '1k_10k': 0.014482322504934123, 'above_100k': 0, 'less_0001': 0}"
2010-02-01,"{'0001_001': 0, '001_01': 4.246509899676203e-08, '01_1': 7.962206061892881e-07, '100_1k': 0.00467002494824566, '10_100': 0.91416380911938, '10k_100k': 0.06665901056319337, '1_10': 1.5096342693348903e-05, '1k_10k': 0.014491220340782419, 'above_100k': 0, 'less_0001': 0}"
2010-02-02,"{'0001_001': 0, '001_01': 4.23023028316104e-08, '01_1': 7.93168178092695e-07, '100_1k': 0.004652121724876398, '10_100': 0.913937656981202, '10k_100k': 0.06640346350104434, '1_10': 1.5038468656637496e-05, '1k_10k': 0.014990883853739789, 'above_100k': 0, 'less_0001': 0}"
2010-02-03,"{'0001_001': 0, '001_01': 4.200246764497414e-08, '01_1': 7.875462683432652e-07, '100_1k': 0.0046191478749376515, '10_100': 0.9143901504213372, '10k_100k': 0.06593280130207649, '1_10': 1.4931877247788307e-05, '1k_10k': 0.01504213897566482, 'above_100k': 0, 'less_0001': 0}"
2010-02-04,"{'0001_001': 0, '001_01': 4.697040864255519e-08, '01_1': 7.828401440425865e-07, '100_1k': 0.004722023902719064, '10_100': 0.9138840248421272, '10k_100k': 0.07135791973279056, '1_10': 1.4842649131047439e-05, '1k_10k': 0.0100203590626794, 'above_100k': 0, 'less_0001': 0}"
2010-02-05,"{'0001_001': 0, '001_01': 4.669866389933843e-08, '01_1': 7.783110649889739e-07, '100_1k': 0.004772535996886755, '10_100': 0.9080946322480218, '10k_100k': 0.07715486314697106, '1_10': 1.4756777792190945e-05, '1k_10k': 0.009962386820599299, 'above_100k': 0, 'less_0001': 0}"
2010-02-06,"{'0001_001': 0, '001_01': 4.646720189999226e-08, '01_1': 7.74453364999871e-07, '100_1k': 0.004877956475720887, '10_100': 0.9078015230916179, '10k_100k': 0.07677244494927331, '1_10': 1.4683635800397553e-05, '1k_10k': 0.010532570927020679, 'above_100k': 0, 'less_0001': 0}"
2010-02-07,"{'0001_001': 0, '001_01': 4.620834830826103e-08, '01_1': 7.701391384710172e-07, '100_1k': 0.00490212558402218, '10_100': 0.908134404682446, '10k_100k': 0.07647312727832829, '1_10': 1.5628690250038506e-05, '1k_10k': 0.010473897417466757, 'above_100k': 0, 'less_0001': 0}"
2010-02-08,"{'0001_001': 0, '001_01': 4.597231445063084e-08, '01_1': 7.662052408438474e-07, '100_1k': 0.00482600500587424, '10_100': 0.9055904275425243, '10k_100k': 0.07802355314910353, '1_10': 1.5038054860295244e-05, '1k_10k': 0.011544164070082238, 'above_100k': 0, 'less_0001': 0}"
2010-02-09,"{'0001_001': 0, '001_01': 4.573054546378395e-08, '01_1': 7.621757577297325e-07, '100_1k': 0.004876842559894311, '10_100': 0.8954926856533116, '10k_100k': 0.08726745255455907, '1_10': 1.4958969538375548e-05, '1k_10k': 0.012347252356393383, 'above_100k': 0, 'less_0001': 0}"
2010-02-10,"{'0001_001': 0, '001_01': 4.553618862101242e-08, '01_1': 7.589364770168737e-07, '100_1k': 0.00478022211540894, '10_100': 0.8806316274127854, '10k_100k': 0.10227767461863442, '1_10': 1.4895393255584506e-05, '1k_10k': 0.012294775987249866, 'above_100k': 0, 'less_0001': 0}"
2010-02-11,"{'0001_001': 0, '001_01': 4.534233462642954e-08, '01_1': 7.55705577107159e-07, '100_1k': 0.0048102524056627535, '10_100': 0.8792757216988261, '10k_100k': 0.10330329487631618, '1_10': 1.4831981460023175e-05, '1k_10k': 0.012595097989823164, 'above_100k': 0, 'less_0001': 0}"
2010-02-12,"{'0001_001': 0, '001_01': 4.5134274466537946e-08, '01_1': 7.522379077756325e-07, '100_1k': 0.004788179835009152, '10_100': 0.87892699781851, '10k_100k': 0.10282927208445124, '1_10': 1.4763922669943079e-05, '1k_10k': 0.013439988967177352, 'above_100k': 0, 'less_0001': 0}"
2010-02-13,"{'0001_001': 0, '001_01': 4.4873233116446045e-08, '01_1': 7.478872186074341e-07, '100_1k': 0.004760486625283574, '10_100': 0.8775420487123875, '10k_100k': 0.10248333956572683, '1_10': 1.4678533143868572e-05, '1k_10k': 0.015198653803006506, 'above_100k': 0, 'less_0001': 0}"
2010-02-14,"{'0001_001': 0, '001_01': 4.46417499565983e-08, '01_1': 7.44029165943305e-07, '100_1k': 0.004735929168423403, '10_100': 0.876958512933707, '10k_100k': 0.10210347461620496, '1_10': 1.4602812430247266e-05, '1k_10k': 0.016186691798318494, 'above_100k': 0, 'less_0001': 0}"
2010-02-15,"{'0001_001': 0, '001_01': 4.938637429933081e-08, '01_1': 7.407956144899622e-07, '100_1k': 0.004888199125861174, '10_100': 0.8753439514038077, '10k_100k': 0.10299316492579697, '1_10': 1.5527076079709605e-05, '1k_10k': 0.01675836728646566, 'above_100k': 0, 'less_0001': 0}"
2010-02-16,"{'0001_001': 0, '001_01': 4.9149710016710895e-08, '01_1': 7.372456502506635e-07, '100_1k': 0.0044715718077263334, '10_100': 0.875614779317802, '10k_100k': 0.10272078541236607, '1_10': 1.5944165929421016e-05, '1k_10k': 0.017176132900815884, 'above_100k': 0, 'less_0001': 0}"
2010-02-17,"{'0001_001': 0, '001_01': 4.886272018763284e-08, '01_1': 1.187364100559478e-06, '100_1k': 0.0043965991546749406, '10_100': 0.8758524492438493, '10k_100k': 0.10003813246683442, '1_10': 1.5362439226991766e-05, '1k_10k': 0.019696220468593484, 'above_100k': 0, 'less_0001': 0}"
2010-02-18,"{'0001_001': 0, '001_01': 4.861566883006392e-08, '01_1': 1.1813607525705533e-06, '100_1k': 0.004495908991467949, '10_100': 0.8750945963684095, '10k_100k': 0.10011572473808307, '1_10': 1.52847662801721e-05, '1k_10k': 0.020277255159337853, 'above_100k': 0, 'less_0001': 0}"
