t,addresses_count
2010-11-16,148485
2010-11-17,148935
2010-11-18,149359
2010-11-19,149713
2010-11-20,150271
2010-11-21,150780
2010-11-22,151154
2010-11-23,151523
2010-11-24,152075
2010-11-25,152666
2010-11-26,153577
2010-11-27,154098
2010-11-28,154602
2010-11-29,155113
2010-11-30,155638
2010-12-01,156285
2010-12-02,156806
2010-12-03,157240
2010-12-04,157736
2010-12-05,158238
2010-12-06,158757
2010-12-07,159435
2010-12-08,160055
2010-12-09,160610
2010-12-10,161068
2010-12-11,161842
2010-12-12,162750
2010-12-13,163660
2010-12-14,164468
2010-12-15,165226
2010-12-16,165867
2010-12-17,166400
2010-12-18,167011
2010-12-19,167687
2010-12-20,168714
2010-12-21,169457
2010-12-22,170244
2010-12-23,170925
2010-12-24,171540
2010-12-25,172359
2010-12-26,173079
2010-12-27,173686
2010-12-28,174437
2010-12-29,175037
2010-12-30,175713
2010-12-31,176325
2011-01-01,177075
2011-01-02,177703
2011-01-03,178613
2011-01-04,179379
2011-01-05,180349
2011-01-06,181058
2011-01-07,181921
2011-01-08,182957
2011-01-09,183891
2011-01-10,184882
2011-01-11,185953
2011-01-12,186834
2011-01-13,187820
2011-01-14,188720
2011-01-15,189713
2011-01-16,190766
2011-01-17,191698
2011-01-18,192677
2011-01-19,193720
2011-01-20,194736
2011-01-21,196067
2011-01-22,197598
2011-01-23,198841
2011-01-24,200306
2011-01-25,201289
2011-01-26,202333
2011-01-27,203283
2011-01-28,204492
2011-01-29,205993
2011-01-30,208653
2011-01-31,210242
2011-02-01,211382
2011-02-02,212317
2011-02-03,213133
2011-02-04,214105
2011-02-05,214980
2011-02-06,215896
2011-02-07,216799
2011-02-08,217704
2011-02-09,219190
2011-02-10,221884
2011-02-11,225292
2011-02-12,227881
2011-02-13,230197
2011-02-14,232690
2011-02-15,235195
2011-02-16,237405
2011-02-17,240160
2011-02-18,242720
2011-02-19,244693
2011-02-20,247034
2011-02-21,249532
2011-02-22,252315
2011-02-23,255101
2011-02-24,257738
2011-02-25,260294
2011-02-26,262755
2011-02-27,265429
2011-02-28,267541
2011-03-01,271449
2011-03-02,273951
2011-03-03,277783
2011-03-04,280055
2011-03-05,282445
2011-03-06,284813
2011-03-07,287160
2011-03-08,290078
2011-03-09,292451
2011-03-10,294608
2011-03-11,296705
2011-03-12,298944
2011-03-13,300980
2011-03-14,302786
2011-03-15,305232
2011-03-16,307317
2011-03-17,309582
2011-03-18,311669
