t,volumes
2014-09-07,"{'BitMinter': 0.0132332, 'F2Pool': 82.0889, 'SlushPool': 7.35460583, 'other': 318.003507293462}"
2014-09-08,"{'F2Pool': 84.3051, 'SlushPool': 4.08203069, 'other': 104.609446849816}"
2014-09-09,"{'F2Pool': 87.1756, 'SlushPool': 1.5913387, 'other': 654.623905912599}"
2014-09-10,"{'BitFury': 4000, 'F2Pool': 87.3512, 'SlushPool': 2.00007778, 'other': 86.6021650522177}"
2014-09-11,"{'F2Pool': 87.7702, 'SlushPool': 5.39502544, 'other': 54.4977921563569}"
2014-09-12,"{'BitFury': 4000, 'F2Pool': 89.8548, 'SlushPool': 8.70401281, 'other': 91.4623701208541}"
2014-09-13,"{'F2Pool': 91.9719, 'SlushPool': 6.68780134, 'other': 829.039348932563}"
2014-09-14,"{'F2Pool': 95.2747, 'SlushPool': 6.11874862, 'other': 74.6492747602489}"
2014-09-15,"{'BitFury': 4000, 'F2Pool': 95.5833, 'SlushPool': 2.67414046, 'other': 70.4709442307179}"
2014-09-16,"{'F2Pool': 94.7303, 'SlushPool': 2.23567679, 'other': 221.409779168187}"
2014-09-17,"{'BitMinter': 0.04104506, 'F2Pool': 93.7975, 'SlushPool': 6.47801584, 'other': 290.396131592068}"
2014-09-18,"{'BitMinter': 1.24743588, 'F2Pool': 108.2901, 'SlushPool': 4.55873634, 'other': 93.706892437113}"
2014-09-19,"{'F2Pool': 98.0369, 'SlushPool': 3.79434257, 'other': 276.546047393765}"
2014-09-20,"{'F2Pool': 196.2879, 'SlushPool': 5.73617594, 'other': 96.185610377007}"
2014-09-21,"{'F2Pool': 88.427, 'SlushPool': 6.87275685, 'other': 158.033229064055}"
2014-09-22,"{'BitMinter': 0.0701396, 'F2Pool': 110.6437, 'SlushPool': 11.61495834, 'other': 554.514954923216}"
2014-09-23,"{'BitMinter': 0.17809502, 'F2Pool': 258.7538, 'SlushPool': 8.12088662, 'other': 92.5483364472858}"
2014-09-24,"{'BitMinter': 0.15375345, 'F2Pool': 105.082, 'SlushPool': 10.53238203, 'other': 87.0820338558377}"
2014-09-25,"{'F2Pool': 93.1229, 'SlushPool': 5.383367, 'other': 77.7841647681969}"
2014-09-26,"{'F2Pool': 96.2831, 'SlushPool': 5.37635841, 'other': 414.071399027593}"
2014-09-27,"{'F2Pool': 4.5035, 'SlushPool': 3.70605394, 'other': 31.768255863344}"
2014-09-28,"{'F2Pool': 82.234, 'SlushPool': 1.16629944, 'other': 2742.21359842936}"
2014-09-29,"{'F2Pool': 82.4297, 'SlushPool': 4.72711703, 'other': 333.965870964221}"
2014-09-30,"{'F2Pool': 91.3539, 'SlushPool': 8.82687468, 'other': 338.120624655285}"
2014-10-01,"{'F2Pool': 91.1076139, 'SlushPool': 5.88283635, 'other': 92.1890731639779}"
2014-10-02,"{'F2Pool': 83.96914857, 'SlushPool': 4.16990279, 'other': 70.11121619157569}"
2014-10-03,"{'F2Pool': 85.26385748, 'SlushPool': 7.02205688, 'other': 3074.0410864767}"
2014-10-04,"{'F2Pool': 89.38904437, 'SlushPool': 8.62907871, 'other': 188.81341252362}"
2014-10-05,"{'BitMinter': 0.02016516, 'F2Pool': 88.4487718, 'SlushPool': 3.32273841, 'other': 434.791808867412}"
2014-10-06,"{'BitMinter': 0.42130838, 'F2Pool': 89.97733092, 'SlushPool': 10.6232953, 'other': 47.9039106517109}"
2014-10-07,"{'BitMinter': 0.02400206, 'F2Pool': 102.27451416, 'SlushPool': 8.69643338, 'other': 154.778768984682}"
2014-10-08,"{'BitMinter': 0.32861653, 'F2Pool': 83.43211663, 'SlushPool': 3.4952915, 'other': 504.748094793989}"
2014-10-09,"{'F2Pool': 73.22309672, 'SlushPool': 9.54413364, 'other': 120.10703105019}"
2014-10-10,"{'BitMinter': 0.31874232, 'F2Pool': 173.2860589, 'SlushPool': 3.93328574, 'other': 1788.98501468294}"
2014-10-11,"{'F2Pool': 96.37444731, 'SlushPool': 3.21425834, 'other': 120.858713767301}"
2014-10-12,"{'BitMinter': 0.4585192, 'F2Pool': 107.33855764, 'SlushPool': 3.38229571, 'other': 102.013463026105}"
2014-10-13,"{'F2Pool': 84.60793722, 'SlushPool': 2.47914037, 'other': 111.980467832372}"
2014-10-14,"{'F2Pool': 91.40631084, 'SlushPool': 5.48228056, 'other': 73.5186267874449}"
2014-10-15,"{'F2Pool': 81.35700028, 'SlushPool': 0.12116245, 'other': 133.059128014531}"
2014-10-16,"{'BitMinter': 0.6272379, 'F2Pool': 83.1787435, 'SlushPool': 3.99366056, 'other': 66.2627133380275}"
2014-10-17,"{'F2Pool': 83.96960383, 'SlushPool': 3.89972532, 'other': 2098.84202867512}"
2014-10-18,"{'F2Pool': 85.17646835, 'SlushPool': 3.53844863, 'other': 69.7792092209439}"
2014-10-19,"{'F2Pool': 510.10167129, 'SlushPool': 12.58594564, 'other': 46.1562627170598}"
2014-10-20,"{'F2Pool': 84.59424985, 'SlushPool': 13.69264423, 'other': 138.372950821995}"
2014-10-21,"{'BitMinter': 0.0611382, 'F2Pool': 93.61771227, 'SlushPool': 9.05110495, 'other': 79.6563955485294}"
2014-10-22,"{'F2Pool': 83.86304665, 'SlushPool': 2.94238334, 'other': 185.925967350386}"
2014-10-23,"{'BitMinter': 0.05221965, 'F2Pool': 83.78407675, 'SlushPool': 6.77611167, 'other': 103.189900746043}"
2014-10-24,"{'F2Pool': 81.7145886, 'SlushPool': 2.67711377, 'other': 457.619855124154}"
2014-10-25,"{'F2Pool': 80.34044672, 'SlushPool': 4.04015282, 'other': 190.018516050162}"
2014-10-26,"{'BitMinter': 5.88828474, 'F2Pool': 78.57112039, 'SlushPool': 0.23611953, 'other': 93.5725437326612}"
2014-10-27,"{'BitMinter': 0.0687972, 'F2Pool': 92.96845347, 'SlushPool': 7.74336825, 'other': 133.9361977751}"
2014-10-28,"{'F2Pool': 79.13244881, 'SlushPool': 2.01467366, 'other': 103.600184787613}"
2014-10-29,"{'BitMinter': 0.12928143, 'F2Pool': 79.6868551, 'SlushPool': 6.12389213, 'other': 251.714387565618}"
2014-10-30,"{'F2Pool': 106.01252927, 'SlushPool': 5.16532562, 'other': 246.258701096361}"
2014-10-31,"{'F2Pool': 80.79454821, 'SlushPool': 1.66217942, 'other': 428.566671344186}"
2014-11-01,"{'F2Pool': 81.81747526, 'SlushPool': 8.2602338, 'other': 160.217530677829}"
2014-11-02,"{'F2Pool': 80.70909549, 'SlushPool': 8.50759069, 'other': 93.3395622659472}"
2014-11-03,"{'F2Pool': 107.31028304, 'SlushPool': 1.53196208, 'other': 107.024110520272}"
2014-11-04,"{'BitMinter': 0.32038607, 'F2Pool': 84.14893244, 'SlushPool': 2.62320761, 'other': 8268.17609650155}"
2014-11-05,"{'F2Pool': 83.02053233, 'SlushPool': 4.94030925, 'other': 987.822487803183}"
2014-11-06,"{'AntPool': 0.007, 'F2Pool': 76.92025653, 'SlushPool': 2.24320426, 'other': 202.614824176392}"
2014-11-07,"{'BitMinter': 0.5991049, 'F2Pool': 74.4496563, 'SlushPool': 3.97968145, 'other': 148.654947111488}"
2014-11-08,"{'F2Pool': 77.88656696, 'SlushPool': 1.27671549, 'other': 24.7679998050733}"
2014-11-09,"{'F2Pool': 102.22013922, 'SlushPool': 9.85919591, 'other': 30.4238840774413}"
2014-11-10,"{'F2Pool': 76.93675166, 'SlushPool': 8.74533567, 'other': 451.607616399037}"
2014-11-11,"{'F2Pool': 71.77973015, 'SlushPool': 6.76678637, 'other': 226.46985305268}"
2014-11-12,"{'BitMinter': 0.01867019, 'F2Pool': 77.68718957, 'SlushPool': 7.84959362, 'other': 698.164732117035}"
2014-11-13,"{'F2Pool': 77.72527888, 'SlushPool': 11.43840981, 'other': 257.826552282157}"
2014-11-14,"{'F2Pool': 78.02271719, 'SlushPool': 3.74918691, 'other': 107.458421475934}"
2014-11-15,"{'AntPool': 0.016, 'F2Pool': 80.26962622, 'SlushPool': 3.43088302, 'other': 61.9141511006416}"
2014-11-16,"{'AntPool': 0.138, 'F2Pool': 81.68081808, 'SlushPool': 1.36268796, 'other': 129.54102923852898}"
2014-11-17,"{'AntPool': 0.244, 'BitMinter': 0.005, 'F2Pool': 81.27670395, 'SlushPool': 5.97019108, 'other': 17873.8909503876}"
2014-11-18,"{'AntPool': 0.084, 'BitMinter': 0.42840329, 'F2Pool': 79.49674236, 'SlushPool': 7.03278127, 'other': 97.3101572104503}"
2014-11-19,"{'F2Pool': 79.4607878, 'SlushPool': 7.61951008, 'other': 110.299239319437}"
2014-11-20,"{'F2Pool': 77.72431473, 'SlushPool': 6.40593271, 'other': 152.817987704273}"
2014-11-21,"{'F2Pool': 77.87108375, 'SlushPool': 11.19372223, 'other': 37.2791429141204}"
2014-11-22,"{'F2Pool': 77.11621025, 'SlushPool': 8.94060407, 'other': 69.0885193346963}"
2014-11-23,"{'F2Pool': 78.27527091, 'other': 71.10575745067}"
2014-11-24,"{'F2Pool': 79.65597075, 'SlushPool': 8.23986307, 'other': 245.0248696941}"
2014-11-25,"{'F2Pool': 78.3152444, 'SlushPool': 0.66723671, 'other': 241.499241412042}"
2014-11-26,"{'F2Pool': 76.7413329, 'SlushPool': 1.85136502, 'other': 68.1925935490626}"
2014-11-27,"{'F2Pool': 79.02869795, 'SlushPool': 6.48635421, 'other': 19.6668606941629}"
2014-11-28,"{'F2Pool': 81.357084, 'SlushPool': 8.09652266, 'other': 229.41420804534}"
2014-11-29,"{'BitMinter': 5.87344088, 'F2Pool': 82.25512685, 'SlushPool': 4.20237038, 'other': 76.5467212707272}"
2014-11-30,"{'BitMinter': 0.08266688, 'F2Pool': 80.99642977, 'SlushPool': 2.5586552, 'other': 291.14652211414}"
2014-12-01,"{'BitMinter': 0.04730167, 'F2Pool': 81.14510849, 'SlushPool': 4.53522037, 'other': 181.312724650666}"
2014-12-02,"{'BitMinter': 5.41476393, 'F2Pool': 74.37012307, 'SlushPool': 1.0758276, 'other': 191.143506334453}"
2014-12-03,"{'F2Pool': 75.32170558, 'SlushPool': 3.51572067, 'other': 1292.71250046271}"
2014-12-04,"{'BitMinter': 0.12733976, 'F2Pool': 77.86115902, 'SlushPool': 8.14702591, 'other': 327.02756871357997}"
2014-12-05,"{'F2Pool': 77.63261579, 'SlushPool': 1.61383329, 'other': 15.8270371382571}"
2014-12-06,"{'F2Pool': 83.64414727, 'SlushPool': 9.0283783, 'other': 110.224266243437}"
2014-12-07,"{'F2Pool': 79.26940807, 'SlushPool': 4.99945993, 'other': 33.8317851818686}"
2014-12-08,"{'BitMinter': 0.04806222, 'F2Pool': 80.8623823, 'SlushPool': 10.50968109, 'other': 34.4251038624163}"
2014-12-09,"{'F2Pool': 81.69750868, 'SlushPool': 5.47727518, 'other': 127.602958831896}"
2014-12-10,"{'F2Pool': 83.32772361, 'SlushPool': 1.31655713, 'other': 514.181438344591}"
2014-12-11,"{'BitMinter': 1.91820016, 'F2Pool': 82.70309434, 'SlushPool': 4.83208929, 'other': 88.5363235302773}"
2014-12-12,"{'BitMinter': 0.0306286, 'F2Pool': 82.59373161, 'SlushPool': 2.66965074, 'other': 110.042170632715}"
2014-12-13,"{'F2Pool': 81.70497807, 'SlushPool': 3.40996224, 'other': 102.353714829252}"
2014-12-14,"{'F2Pool': 82.16723398, 'SlushPool': 7.5743333, 'other': 145.789132406123}"
2014-12-15,"{'F2Pool': 82.63085434, 'SlushPool': 10.26250958, 'other': 120.71895511504}"
2014-12-16,"{'F2Pool': 82.71579837, 'SlushPool': 3.15781417, 'other': 1099.92727463945}"
2014-12-17,"{'BitMinter': 5.22096672, 'F2Pool': 97.0881257, 'SlushPool': 4.23110974, 'other': 254.725497769315}"
2014-12-18,"{'F2Pool': 84.61050784, 'SlushPool': 5.13102747, 'other': 200.885102918323}"
2014-12-19,"{'F2Pool': 86.54433909, 'SlushPool': 4.0532319, 'other': 126.073809088576}"
2014-12-20,"{'F2Pool': 85.69286077, 'SlushPool': 1.97613383, 'other': 24.1971616862903}"
2014-12-21,"{'F2Pool': 85.43865381, 'SlushPool': 6.59667661, 'other': 39.513989157495104}"
2014-12-22,"{'F2Pool': 80.94894515, 'SlushPool': 6.5023582, 'other': 2043.7640933790601}"
2014-12-23,"{'F2Pool': 84.31459262, 'SlushPool': 5.98554234, 'other': 6425.414832042459}"
2014-12-24,"{'BitMinter': 0.0352926, 'F2Pool': 85.55541967, 'SlushPool': 20.35866868, 'other': 107.47029133050201}"
2014-12-25,"{'F2Pool': 84.57659766, 'SlushPool': 14.99194749, 'other': 80.2930616136056}"
2014-12-26,"{'F2Pool': 84.16047368, 'SlushPool': 18.35930852, 'other': 51.310953428576}"
2014-12-27,"{'F2Pool': 85.81078614, 'SlushPool': 6.97105966, 'other': 49.50663844390709}"
2014-12-28,"{'BitMinter': 0.4294167, 'F2Pool': 86.60926891, 'SlushPool': 9.4907701, 'other': 31.04239751432}"
2014-12-29,"{'F2Pool': 85.24540692, 'SlushPool': 11.76492313, 'other': 268.72828193687303}"
2014-12-30,"{'F2Pool': 89.52297526, 'SlushPool': 6.54629014, 'other': 158.837828406912}"
2014-12-31,"{'F2Pool': 83.26431132, 'SlushPool': 13.47952023, 'other': 912.271838465412}"
2015-01-01,"{'F2Pool': 81.10872254, 'SlushPool': 8.01351395, 'other': 40.4995060292718}"
2015-01-02,"{'BitMinter': 0.01392316, 'F2Pool': 83.38561588, 'SlushPool': 10.45389519, 'other': 356.399345541797}"
2015-01-03,"{'BitMinter': 9.64409883, 'F2Pool': 81.93691345, 'SlushPool': 8.86182626, 'other': 1014.7654275886399}"
2015-01-04,"{'F2Pool': 79.74332171, 'SlushPool': 10.22673476, 'other': 338.30264868559004}"
2015-01-05,"{'F2Pool': 75.53840295, 'SlushPool': 11.60847249, 'other': 221.471795382732}"
2015-01-06,"{'F2Pool': 74.91036668, 'SlushPool': 24.09779332, 'other': 76.4169407096673}"
2015-01-07,"{'F2Pool': 75.16549124, 'SlushPool': 23.29099867, 'other': 119.58473016435599}"
2015-01-08,"{'F2Pool': 92.94597084, 'SlushPool': 6.41222501, 'other': 69.6248823496353}"
2015-01-09,"{'F2Pool': 73.7665408, 'SlushPool': 6.19360359, 'other': 537.4629366444731}"
2015-01-10,"{'BitMinter': 8.81954367, 'F2Pool': 76.29709355, 'SlushPool': 0.10353755, 'other': 110.852824666709}"
2015-01-11,"{'BitMinter': 0.09094962, 'F2Pool': 77.92377882, 'SlushPool': 2.12474518, 'other': 166.466903927262}"
2015-01-12,"{'BitMinter': 0.10631445, 'F2Pool': 78.87623123, 'SlushPool': 5.57467887, 'other': 94.380245443256}"
2015-01-13,"{'F2Pool': 75.83493867, 'SlushPool': 1.91037115, 'other': 587.861300397469}"
2015-01-14,"{'F2Pool': 69.659409, 'SlushPool': 3.74370952, 'other': 1037.06082817823}"
2015-01-15,"{'BitFury': 1, 'F2Pool': 58.6863633, 'other': 55.678347134319296}"
2015-01-16,"{'F2Pool': 59.04157563, 'SlushPool': 8.58744145, 'other': 72.3836589010953}"
2015-01-17,"{'BitMinter': 0.00024368, 'F2Pool': 70.06053281, 'SlushPool': 1.51560868, 'other': 130.747654663592}"
2015-01-18,"{'F2Pool': 63.64472067, 'SlushPool': 1.94893007, 'other': 252.43155606276997}"
2015-01-19,"{'F2Pool': 62.56307994, 'SlushPool': 5.97286666, 'other': 222.98967936506702}"
2015-01-20,"{'BitMinter': 5.27313451, 'F2Pool': 61.38067675, 'SlushPool': 4.51565129, 'other': 305.705625453861}"
2015-01-21,"{'F2Pool': 67.45513389, 'SlushPool': 5.13989919, 'other': 10646.9683307376}"
2015-01-22,"{'F2Pool': 63.01989043, 'SlushPool': 2.41667892, 'other': 340.071240791635}"
2015-01-23,"{'F2Pool': 64.07529466, 'SlushPool': 1.50493737, 'other': 125.264424867777}"
2015-01-24,"{'F2Pool': 62.70766009, 'SlushPool': 3.69368136, 'other': 70.2787254994014}"
2015-01-25,"{'F2Pool': 63.23614775, 'SlushPool': 5.03123186, 'other': 100.4834558696661}"
2015-01-26,"{'BitMinter': 0.00376621, 'F2Pool': 63.01299366, 'SlushPool': 8.26886737, 'other': 562.6409015423869}"
2015-01-27,"{'BitMinter': 3.00664055, 'F2Pool': 67.36438975, 'SlushPool': 11.2327572, 'other': 139.175164237086}"
2015-01-28,"{'F2Pool': 70.05921796, 'SlushPool': 3.07369072, 'other': 4690.02580103265}"
2015-01-29,"{'F2Pool': 71.75889022, 'SlushPool': 3.0748074, 'other': 1595.25922429636}"
2015-01-30,"{'BitMinter': 2.22206116, 'F2Pool': 73.87299988, 'SlushPool': 2.38247168, 'other': 1744.46507623849}"
2015-01-31,"{'BitMinter': 1.70554885, 'F2Pool': 70.94817442, 'SlushPool': 2.57575674, 'other': 101.1338004506712}"
2015-02-01,"{'F2Pool': 68.21818106, 'SlushPool': 7.77166491, 'other': 94.3920159663864}"
2015-02-02,"{'F2Pool': 67.60259853, 'SlushPool': 5.20910682, 'other': 1396.2878737133599}"
2015-02-03,"{'F2Pool': 65.36759086, 'SlushPool': 7.70822473, 'other': 1546.38680732937}"
2015-02-04,"{'BitMinter': 3.34672808, 'F2Pool': 66.03186009, 'SlushPool': 13.61251714, 'other': 1347.93751656221}"
2015-02-05,"{'F2Pool': 68.21104827, 'SlushPool': 5.97079507, 'other': 2032.8890747931398}"
2015-02-06,"{'F2Pool': 66.27427292, 'SlushPool': 3.42154776, 'other': 155.618106529075}"
2015-02-07,"{'F2Pool': 67.15218148, 'SlushPool': 0.21914428, 'other': 204.447627778397}"
2015-02-08,"{'BitMinter': 0.03279533, 'F2Pool': 68.34200679, 'SlushPool': 6.27548592, 'other': 3834.73161164132}"
2015-02-09,"{'F2Pool': 73.56630433, 'SlushPool': 9.91566917, 'other': 193.533661643711}"
2015-02-10,"{'F2Pool': 69.40375448, 'SlushPool': 4.88887683, 'other': 3937.03799495982}"
2015-02-11,"{'BitMinter': 1.59172217, 'F2Pool': 65.09971946, 'SlushPool': 6.08855563, 'other': 2688.9276227385}"
2015-02-12,"{'F2Pool': 65.04247408, 'SlushPool': 13.2530791, 'other': 108.298235363261}"
2015-02-13,"{'BitMinter': 1.63979114, 'F2Pool': 65.69974616, 'SlushPool': 2.35329331, 'other': 1138.40389128016}"
2015-02-14,"{'F2Pool': 65.85051795, 'SlushPool': 6.00322847, 'other': 178.524808810742}"
2015-02-15,"{'F2Pool': 65.07222702, 'SlushPool': 9.6754177, 'other': 86.3716628016796}"
2015-02-16,"{'F2Pool': 64.87856512, 'SlushPool': 2.84354337, 'other': 260.618483155497}"
2015-02-17,"{'BitFury': 150, 'F2Pool': 65.57599657, 'SlushPool': 3.95256267, 'other': 184.685853200203}"
2015-02-18,"{'BitMinter': 0.19564313, 'F2Pool': 64.9117106, 'SlushPool': 5.13535241, 'other': 307.663274710436}"
2015-02-19,"{'F2Pool': 66.26492149, 'SlushPool': 4.22679091, 'other': 214.060414069682}"
2015-02-20,"{'F2Pool': 67.92041394, 'SlushPool': 1.76449409, 'other': 173.980798648905}"
2015-02-21,"{'F2Pool': 66.28688165, 'SlushPool': 5.77996529, 'other': 42.4940938575356}"
2015-02-22,"{'F2Pool': 65.70397677, 'SlushPool': 3.76304376, 'other': 335.497340573522}"
2015-02-23,"{'F2Pool': 65.76353972, 'SlushPool': 3.37126739, 'other': 118.65020535330899}"
2015-02-24,"{'F2Pool': 64.70378654, 'SlushPool': 4.42634995, 'other': 109.884660452465}"
2015-02-25,"{'F2Pool': 64.26888625, 'SlushPool': 6.03350887, 'other': 72.7399301321732}"
2015-02-26,"{'F2Pool': 62.19932266, 'SlushPool': 5.32224262, 'other': 117.17898026808801}"
2015-02-27,"{'F2Pool': 60.9318256, 'SlushPool': 6.46283877, 'other': 658.774653708539}"
2015-02-28,"{'F2Pool': 61.37877662, 'SlushPool': 3.14523455, 'other': 124.59825823439101}"
2015-03-01,"{'F2Pool': 59.28008403, 'SlushPool': 7.54775662, 'other': 49.2375763448417}"
2015-03-02,"{'BitMinter': 0.0298069, 'F2Pool': 59.73599317, 'SlushPool': 2.71709794, 'other': 522.851543662435}"
2015-03-03,"{'BitMinter': 5.24358534, 'F2Pool': 60.58542305, 'SlushPool': 10.52151103, 'other': 154.164354859041}"
2015-03-04,"{'F2Pool': 60.42592385, 'SlushPool': 2.99681616, 'other': 319.64459715571}"
2015-03-05,"{'F2Pool': 59.84364651, 'SlushPool': 4.66346393, 'other': 108.660878698419}"
2015-03-06,"{'BitMinter': 1.65980304, 'F2Pool': 62.0138178, 'SlushPool': 11.2260171, 'other': 121.9909120664}"
2015-03-07,"{'BitMinter': 1.79075494, 'F2Pool': 63.33525164, 'SlushPool': 6.81414466, 'other': 119.919079928611}"
2015-03-08,"{'F2Pool': 63.45226128, 'SlushPool': 2.9757356, 'other': 96.9111006455813}"
2015-03-09,"{'BitMinter': 1.61615165, 'F2Pool': 62.04750821, 'other': 453.698325082554}"
2015-03-10,"{'BitMinter': 1.60687817, 'F2Pool': 62.04674632, 'SlushPool': 8.12803622, 'other': 131.330223909349}"
2015-03-11,"{'BitMinter': 0.42248241, 'F2Pool': 60.87989123, 'SlushPool': 4.57257018, 'other': 131.29380526935103}"
2015-03-12,"{'BitMinter': 1.51650758, 'F2Pool': 62.40786357, 'SlushPool': 4.21044782, 'other': 199.813192629767}"
2015-03-13,"{'BitMinter': 2.13829846, 'F2Pool': 64.15890479, 'SlushPool': 6.29902619, 'other': 84.231802179254}"
2015-03-14,"{'BitMinter': 1.9287673, 'F2Pool': 65.06242067, 'SlushPool': 1.27881225, 'other': 98.4688798041717}"
2015-03-15,"{'BitMinter': 0.29561518, 'F2Pool': 61.14638167, 'SlushPool': 6.58424093, 'other': 157.022751739623}"
2015-03-16,"{'F2Pool': 65.2349173, 'SlushPool': 3.85880419, 'other': 133.375915962675}"
2015-03-17,"{'F2Pool': 64.1721167, 'SlushPool': 6.22827853, 'other': 128.924713932666}"
2015-03-18,"{'F2Pool': 65.44219551, 'SlushPool': 18.69080471, 'other': 297.821964421867}"
2015-03-19,"{'F2Pool': 65.86576808, 'SlushPool': 6.16898524, 'other': 348.83176187217}"
2015-03-20,"{'BitMinter': 3.85399134, 'F2Pool': 88.9647524, 'SlushPool': 9.80896111, 'other': 123.867900049309}"
2015-03-21,"{'F2Pool': 66.65626544, 'SlushPool': 6.58234862, 'other': 308.518597670644}"
2015-03-22,"{'F2Pool': 65.77763789, 'SlushPool': 1.76388795, 'other': 301.270999636097}"
2015-03-23,"{'BitMinter': 2.10366139, 'F2Pool': 64.13960653, 'SlushPool': 5.57227213, 'other': 759.467031686144}"
2015-03-24,"{'BitMinter': 1.33741126, 'F2Pool': 66.27733752, 'SlushPool': 15.19832093, 'other': 170.09329772254}"
2015-03-25,"{'BitMinter': 1.38362949, 'F2Pool': 67.63314638, 'SlushPool': 16.68778256, 'other': 136.945561756105}"
2015-03-26,"{'F2Pool': 66.27566062, 'SlushPool': 10.91213515, 'other': 122.219863853763}"
2015-03-27,"{'F2Pool': 65.28926947, 'SlushPool': 20.34775453, 'other': 114.877309441866}"
2015-03-28,"{'BitMinter': 0.05299993, 'F2Pool': 62.30104425, 'SlushPool': 18.56287178, 'other': 156.48633551987902}"
2015-03-29,"{'BitMinter': 1.40551477, 'F2Pool': 60.3066301, 'SlushPool': 11.85226203, 'other': 187.323631064073}"
2015-03-30,"{'F2Pool': 58.19906297, 'SlushPool': 13.44251388, 'other': 757.917341414364}"
2015-03-31,"{'F2Pool': 57.79185704, 'SlushPool': 14.74736324, 'other': 125.400050421759}"
2015-04-01,"{'BitMinter': 0.27650481, 'F2Pool': 64.85730833, 'SlushPool': 13.88238234, 'other': 821.69152312068}"
2015-04-02,"{'BitMinter': 1.42786906, 'F2Pool': 59.43155728, 'SlushPool': 9.32037767, 'other': 229.206625680937}"
2015-04-03,"{'BitMinter': 0.56923423, 'F2Pool': 58.66662234, 'SlushPool': 3.65663217, 'other': 245.82216681233}"
2015-04-04,"{'BitMinter': 0.00335275, 'F2Pool': 61.58809258, 'SlushPool': 9.2543922, 'other': 170.07387618015198}"
2015-04-05,"{'BitMinter': 0.14660977, 'F2Pool': 60.81199099, 'SlushPool': 17.45516777, 'other': 279.342789401517}"
2015-04-06,"{'F2Pool': 59.97658156, 'SlushPool': 6.00495493, 'other': 322.530023666549}"
2015-04-07,"{'F2Pool': 58.36468422, 'SlushPool': 23.48120553, 'other': 232.726351936166}"
2015-04-08,"{'F2Pool': 58.36797367, 'SlushPool': 10.82246649, 'other': 208.213881595984}"
2015-04-09,"{'BitMinter': 0.66774725, 'F2Pool': 57.30799557, 'SlushPool': 6.7794369, 'other': 83.9392542036572}"
2015-04-10,"{'BitMinter': 0.68489319, 'F2Pool': 58.08692392, 'SlushPool': 12.74552799, 'other': 192.66826810066198}"
2015-04-11,"{'F2Pool': 57.55229024, 'SlushPool': 18.75083969, 'other': 100.9154779575849}"
2015-04-12,"{'F2Pool': 58.16122513, 'SlushPool': 6.29013698, 'other': 88.4137332564195}"
2015-04-13,"{'BitMinter': 0.09885201, 'F2Pool': 57.88228581, 'SlushPool': 10.28870844, 'other': 3157.26578453466}"
2015-04-14,"{'BitMinter': 0.41961049, 'F2Pool': 58.83715075, 'SlushPool': 10.48356236, 'other': 222.93042447509}"
2015-04-15,"{'BitFury': 35.57, 'F2Pool': 57.72216376, 'SlushPool': 5.89433256, 'other': 175.063584767053}"
2015-04-16,"{'F2Pool': 57.51236924, 'SlushPool': 14.25618678, 'other': 367.697564203086}"
2015-04-17,"{'F2Pool': 57.79291601, 'SlushPool': 6.05616328, 'other': 160.378834941497}"
2015-04-18,"{'F2Pool': 58.12890381, 'SlushPool': 11.04703896, 'other': 40.4285726091882}"
2015-04-19,"{'F2Pool': 58.32321771, 'SlushPool': 28.60616905, 'other': 92.1927142674539}"
2015-04-20,"{'BitMinter': 0.32047786, 'F2Pool': 58.45183405, 'SlushPool': 15.43574345, 'other': 235.477052366232}"
2015-04-21,"{'BitMinter': 0.16579834, 'F2Pool': 59.38671476, 'SlushPool': 5.32886129, 'other': 181.74457539402}"
2015-04-22,"{'F2Pool': 60.63757301, 'SlushPool': 21.15405196, 'other': 174.684122502013}"
2015-04-23,"{'BitMinter': 0.73691593, 'F2Pool': 61.32556689, 'SlushPool': 11.92213733, 'other': 164.46685041231}"
2015-04-24,"{'BitMinter': 0.14187094, 'F2Pool': 61.89972584, 'other': 94.9001156635213}"
2015-04-25,"{'BitMinter': 0.65873287, 'F2Pool': 65.2280797, 'SlushPool': 11.67162138, 'other': 130.121640970286}"
2015-04-26,"{'F2Pool': 73.67850049, 'SlushPool': 6.84921504, 'other': 79.2239686305549}"
2015-04-27,"{'F2Pool': 62.7305199, 'SlushPool': 5.62838041, 'other': 467.720257890897}"
2015-04-28,"{'BitMinter': 0.20905565, 'F2Pool': 60.75303233, 'SlushPool': 7.90152127, 'other': 424.000648815826}"
2015-04-29,"{'BitMinter': 0.66022688, 'F2Pool': 62.21004373, 'SlushPool': 21.32547443, 'other': 105.340476905661}"
2015-04-30,"{'F2Pool': 62.15063566, 'SlushPool': 13.0867165, 'other': 187.898651645372}"
2015-05-01,"{'F2Pool': 63.97562998, 'SlushPool': 1.94201293, 'other': 133.829609645346}"
2015-05-02,"{'F2Pool': 62.12399687, 'SlushPool': 6.28413309, 'other': 119.610418611488}"
2015-05-03,"{'F2Pool': 62.14128252, 'SlushPool': 3.24572958, 'other': 129.486035064125}"
2015-05-04,"{'F2Pool': 62.85939317, 'SlushPool': 11.59163469, 'other': 1776.31482942568}"
2015-05-05,"{'F2Pool': 62.12150012, 'SlushPool': 16.56937054, 'other': 173.929193277276}"
2015-05-06,"{'F2Pool': 63.55148612, 'SlushPool': 4.73441651, 'other': 183.001021660155}"
