t,transactions_entity_adjusted_count
2010-12-19,509
2010-12-20,904
2010-12-21,591
2010-12-22,620
2010-12-23,506
2010-12-24,517
2010-12-25,624
2010-12-26,562
2010-12-27,500
2010-12-28,637
2010-12-29,499
2010-12-30,573
2010-12-31,537
2011-01-01,622
2011-01-02,553
2011-01-03,1023
2011-01-04,926
2011-01-05,1297
2011-01-06,673
2011-01-07,983
2011-01-08,1356
2011-01-09,1183
2011-01-10,1242
2011-01-11,1320
2011-01-12,1126
2011-01-13,1248
2011-01-14,1241
2011-01-15,886
2011-01-16,857
2011-01-17,801
2011-01-18,756
2011-01-19,860
2011-01-20,890
2011-01-21,1092
2011-01-22,1283
2011-01-23,1026
2011-01-24,1249
2011-01-25,862
2011-01-26,979
2011-01-27,818
2011-01-28,1035
2011-01-29,1267
2011-01-30,2119
2011-01-31,1346
2011-02-01,994
2011-02-02,874
2011-02-03,763
2011-02-04,919
2011-02-05,822
2011-02-06,895
2011-02-07,875
2011-02-08,824
2011-02-09,1190
2011-02-10,1974
2011-02-11,2254
2011-02-12,1816
2011-02-13,1763
2011-02-14,1925
2011-02-15,2062
2011-02-16,1599
2011-02-17,2092
2011-02-18,1958
2011-02-19,1520
2011-02-20,1868
2011-02-21,1909
2011-02-22,2111
2011-02-23,2149
2011-02-24,2009
2011-02-25,1960
2011-02-26,1865
2011-02-27,2072
2011-02-28,1646
2011-03-01,2571
2011-03-02,1918
2011-03-03,3097
2011-03-04,1871
2011-03-05,1929
2011-03-06,1839
2011-03-07,1835
2011-03-08,2130
2011-03-09,1544
2011-03-10,1383
2011-03-11,1501
2011-03-12,1976
2011-03-13,2070
2011-03-14,1911
2011-03-15,2205
2011-03-16,2354
2011-03-17,2382
2011-03-18,1884
2011-03-19,2350
2011-03-20,2658
2011-03-21,4268
2011-03-22,2008
2011-03-23,4114
2011-03-24,1885
2011-03-25,1719
2011-03-26,3073
2011-03-27,2143
2011-03-28,2471
2011-03-29,2443
2011-03-30,1471
2011-03-31,1784
2011-04-01,1378
2011-04-02,1555
2011-04-03,1646
2011-04-04,2123
2011-04-05,1920
2011-04-06,1697
2011-04-07,1480
2011-04-08,1597
2011-04-09,1555
2011-04-10,1551
2011-04-11,1769
2011-04-12,1898
2011-04-13,2150
2011-04-14,2717
2011-04-15,1870
2011-04-16,1917
