t,o
2010-02-27,"{'crossed': 0, 'ma30': 21325243.969494324, 'ma60': 15494470.104395045}"
2010-02-28,"{'crossed': 0, 'ma30': 21863464.95772873, 'ma60': 15850767.103923352}"
2010-03-01,"{'crossed': 0, 'ma30': 22601574.05661257, 'ma60': 16317750.278323421}"
2010-03-02,"{'crossed': 0, 'ma30': 23411831.734899588, 'ma60': 16807336.740296587}"
2010-03-03,"{'crossed': 0, 'ma30': 23951447.48964115, 'ma60': 17195170.81642621}"
2010-03-04,"{'crossed': 0, 'ma30': 24792241.240540486, 'ma60': 17595727.474354297}"
2010-03-05,"{'crossed': 0, 'ma30': 25287952.13380556, 'ma60': 17958688.951272383}"
2010-03-06,"{'crossed': 0, 'ma30': 25858021.48696165, 'ma60': 18303817.911177687}"
2010-03-07,"{'crossed': 0, 'ma30': 26306251.37028612, 'ma60': 18706049.53449666}"
2010-03-08,"{'crossed': 0, 'ma30': 26658354.53148462, 'ma60': 19019590.174779925}"
2010-03-09,"{'crossed': 0, 'ma30': 27091104.89353735, 'ma60': 19416252.36811957}"
2010-03-10,"{'crossed': 0, 'ma30': 27718050.49843422, 'ma60': 19877775.56585826}"
2010-03-11,"{'crossed': 0, 'ma30': 28093220.384517156, 'ma60': 20188047.0172959}"
2010-03-12,"{'crossed': 0, 'ma30': 28496455.85431029, 'ma60': 20487555.616989397}"
2010-03-13,"{'crossed': 0, 'ma30': 29139191.958438575, 'ma60': 20889266.13941523}"
2010-03-14,"{'crossed': 0, 'ma30': 29522377.197195664, 'ma60': 21182350.636768803}"
2010-03-15,"{'crossed': 0, 'ma30': 29842482.66214602, 'ma60': 21533100.590268504}"
2010-03-16,"{'crossed': 0, 'ma30': 30154634.478564333, 'ma60': 21853217.544382144}"
2010-03-17,"{'crossed': 0, 'ma30': 30442151.47548976, 'ma60': 22229533.286230467}"
2010-03-18,"{'crossed': 0, 'ma30': 30641661.412234604, 'ma60': 22594619.072493043}"
2010-03-19,"{'crossed': 0, 'ma30': 30779191.385990802, 'ma60': 23030214.212876596}"
2010-03-20,"{'crossed': 0, 'ma30': 31290409.63839879, 'ma60': 23587655.27349584}"
2010-03-21,"{'crossed': 0, 'ma30': 31853816.80899588, 'ma60': 24100471.844326284}"
2010-03-22,"{'crossed': 0, 'ma30': 32326454.785171457, 'ma60': 24582367.2626404}"
