t,entities_profit_relative
2010-07-18,0.9974395530856295
2010-07-19,0.9882639311483961
2010-07-20,0.9830758122743682
2010-07-21,0.9873956834532374
2010-07-22,0.9752087458035638
2010-07-23,0.9717342793385593
2010-07-24,0.9615976736229901
2010-07-25,0.000312588803637397
2010-07-26,0.964379835076086
2010-07-27,0.9652591441886739
2010-07-28,0.9629034983944567
2010-07-29,0.9828850855745721
2010-07-30,0.9762558869701727
2010-07-31,0.9779728294291944
2010-08-01,0.9642170922558547
2010-08-02,0.9497875413114116
2010-08-03,0.9470198675496688
2010-08-04,0.9393202542138712
2010-08-05,0.956315629909324
2010-08-06,0.9652525586001981
2010-08-07,0.9356964388676863
2010-08-08,0.9477838993503823
2010-08-09,0.9846317919549346
2010-08-10,0.9743974670415154
2010-08-11,0.9706026457618814
2010-08-12,0.9809523809523809
2010-08-13,0.9602231187890932
2010-08-14,0.9678682327528014
2010-08-15,0.9582715982866841
2010-08-16,0.9590902974027722
2010-08-17,0.9804327375352775
2010-08-18,0.9672548809268398
2010-08-19,0.958198323648341
2010-08-20,0.9508954824913125
2010-08-21,0.9546194274737881
2010-08-22,0.953586834957661
2010-08-23,0.9421803971608581
2010-08-24,0.9398912899376906
2010-08-25,0.937746590758639
2010-08-26,0.9332399503131855
2010-08-27,0.9357577995200296
2010-08-28,0.9317505856341958
2010-08-29,0.9277532576712905
2010-08-30,0.9298940411246328
2010-08-31,0.8916540053439513
2010-09-01,0.9053008521093627
2010-09-02,0.9226512125721148
2010-09-03,0.8948808841161445
2010-09-04,0.9159663865546218
2010-09-05,0.900340250902574
2010-09-06,0.8986826409418599
2010-09-07,0.898061272095796
2010-09-08,0.8959519619008179
2010-09-09,0.8914610515437282
2010-09-10,0.8967081689995617
2010-09-11,0.9306535510119998
2010-09-12,0.8910544856136381
2010-09-13,0.9040585666581042
2010-09-14,0.8948569377499743
2010-09-15,0.8716044957628204
2010-09-16,0.8893010642652477
2010-09-17,0.8655099276825186
2010-09-18,0.879842784952274
2010-09-19,0.9138993582560864
2010-09-20,0.8984950938024302
2010-09-21,0.9083174603174603
2010-09-22,0.8929902395740905
2010-09-23,0.8946583034043198
2010-09-24,0.8925818273726779
2010-09-25,0.8888327693317845
2010-09-26,0.8901109989909183
2010-09-27,0.8897347988302914
2010-09-28,0.878734489441494
2010-09-29,0.874195494770716
2010-09-30,0.8749905866405603
2010-10-01,0.877165275375398
2010-10-02,0.8663429529697394
2010-10-03,0.8617162293974939
2010-10-04,0.8623617249731566
2010-10-05,0.8633992962842811
2010-10-06,0.9094264339152119
2010-10-07,0.9655937017290348
2010-10-08,0.9922600233941415
2010-10-09,0.9952018695306285
2010-10-10,0.9946875853337637
2010-10-11,0.9929841088826635
2010-10-12,0.9920754810430648
2010-10-13,0.9952750841084504
2010-10-14,0.9930346292545571
2010-10-15,0.9946208700372591
2010-10-16,0.9899223851176543
2010-10-17,0.9882376101186082
2010-10-18,0.9877110625015361
2010-10-19,0.9809696642715257
2010-10-20,0.9812147930443301
2010-10-21,0.9950588292849979
2010-10-22,0.993304335076487
2010-10-23,0.9901144767995314
2010-10-24,0.9941963959130923
2010-10-25,0.9948370756417125
2010-10-26,0.9933637998930429
2010-10-27,0.9953906989156013
2010-10-28,0.9905546137079196
2010-10-29,0.9941944847605225
2010-10-30,0.9953117448042532
2010-10-31,0.992373413138968
2010-11-01,0.9945268233875829
2010-11-02,0.9916664659553458
2010-11-03,0.9901595168779924
2010-11-04,0.9939686658977317
2010-11-05,0.9951279220467527
2010-11-06,0.9950605442992447
2010-11-07,0.9924309564300942
2010-11-08,0.9868056219523855
2010-11-09,0.9825478680227283
2010-11-10,0.9856278005529603
2010-11-11,0.9816828032447605
2010-11-12,0.9898725751236211
2010-11-13,0.9883433835050568
2010-11-14,0.9876736358033471
2010-11-15,0.9814490972681728
2010-11-16,0.971998112762444
2010-11-17,0.9769627588156314
2010-11-18,0.980574761300033
2010-11-19,0.9833904994596626
2010-11-20,0.9895317451003404
2010-11-21,0.9813425839114944
2010-11-22,0.989535047057171
2010-11-23,0.9865497076023392
2010-11-24,0.9847101939821191
2010-11-25,0.9775995897531526
2010-11-26,0.988975975068028
2010-11-27,0.9795766802822131
2010-11-28,0.9636418408490522
2010-11-29,0.9506070065903572
2010-11-30,0.9443444552125155
2010-12-01,0.9517487344684767
2010-12-02,0.9610651974288338
